Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Moldova,2017,Romania,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,600.622298
Moldova,2017,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,254.537745
Moldova,2017,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,236.025912
Moldova,2017,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,166.125354
Moldova,2017,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,136.149067
Moldova,2017,Romania,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,694.530119
Moldova,2017,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,571.709708
Moldova,2017,Ukraine,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,511.098841
Moldova,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,505.377734
Moldova,2017,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,390.602157
Moldova,2017,World,Animal,Export,Export(US$ Mil),47.051491
Moldova,2017,World,Vegetable,Export,Export(US$ Mil),716.28421
Moldova,2017,World,Food Products,Export,Export(US$ Mil),367.728781
Moldova,2017,World,Minerals,Export,Export(US$ Mil),10.44623
Moldova,2017,World,Fuels,Export,Export(US$ Mil),18.237953
Moldova,2017,World,Chemicals,Export,Export(US$ Mil),98.588888
Moldova,2017,World,Plastic or Rubber,Export,Export(US$ Mil),33.415062
Moldova,2017,World,Hides and Skins,Export,Export(US$ Mil),20.850463
Moldova,2017,World,Wood,Export,Export(US$ Mil),24.336952
Moldova,2017,World,Textiles and Clothing,Export,Export(US$ Mil),346.757112
Moldova,2017,World,Footwear,Export,Export(US$ Mil),33.996524
Moldova,2017,World,Stone and Glass,Export,Export(US$ Mil),43.293717
Moldova,2017,World,Metals,Export,Export(US$ Mil),48.312747
Moldova,2017,World,Mach and Elec,Export,Export(US$ Mil),389.645426
Moldova,2017,World,Transportation,Export,Export(US$ Mil),41.392649
Moldova,2017,World,Miscellaneous,Export,Export(US$ Mil),184.780547
Moldova,2017,World,Raw materials,Export,Export(US$ Mil),755.361999
Moldova,2017,World,Intermediate goods,Export,Export(US$ Mil),286.860849
Moldova,2017,World,Consumer goods,Export,Export(US$ Mil),1243.620258
Moldova,2017,World,Capital goods,Export,Export(US$ Mil),138.823064
Moldova,2017,World,Raw materials,Import,Import(US$ Mil),286.678807
Moldova,2017,World,Intermediate goods,Import,Import(US$ Mil),1106.599344
Moldova,2017,World,Consumer goods,Import,Import(US$ Mil),2401.374454
Moldova,2017,World,Capital goods,Import,Import(US$ Mil),806.141883
Moldova,2017,World,All Products,Export,Exports (in US$ Mil),2425.118752
Moldova,2017,World,All Products,Import,Imports (in US$ Mil),4831.414613
Moldova,2016,World,All Products,Tariff,Duty Free Imports (US$ Thousand),2208273.543
Moldova,2017,...,...,Development,GDP (current US$ Mil),8128.49343207741
Moldova,2016,...,...,Tariff,No. Of Tariff Agreement,9
Moldova,2017,...,...,Import,No. Of Import partners,169
Moldova,2017,...,...,Import,No. Of Import products,3821
Moldova,2017,...,...,Export,No. Of Export partners,131
Moldova,2017,...,...,Export,No. Of Export products,2210
Moldova,2016,...,...,Others,Population,3551954
Moldova,2018,...,...,Others,Ease of Doing Business Rank,44
