Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Madagascar,2017,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,645.324035541881
Madagascar,2017,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,531.304221152061
Madagascar,2017,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,203.480943129963
Madagascar,2017,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,172.692150793956
Madagascar,2017,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,133.851628709805
Madagascar,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,758.526535853647
Madagascar,2017,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,276.448598814597
Madagascar,2017,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,273.316194040405
Madagascar,2017,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,243.061621584195
Madagascar,2017,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,190.441011745181
Madagascar,2017,World,Animal,Export,Export(US$ Mil),130.521358905443
Madagascar,2017,World,Vegetable,Export,Export(US$ Mil),1057.19886680457
Madagascar,2017,World,Food Products,Export,Export(US$ Mil),130.182798626235
Madagascar,2017,World,Minerals,Export,Export(US$ Mil),130.411687430528
Madagascar,2017,World,Fuels,Export,Export(US$ Mil),46.369531212732
Madagascar,2017,World,Chemicals,Export,Export(US$ Mil),64.1335575649135
Madagascar,2017,World,Plastic or Rubber,Export,Export(US$ Mil),4.14337669900128
Madagascar,2017,World,Hides and Skins,Export,Export(US$ Mil),8.05455127732476
Madagascar,2017,World,Wood,Export,Export(US$ Mil),24.1490836771294
Madagascar,2017,World,Textiles and Clothing,Export,Export(US$ Mil),580.075836024885
Madagascar,2017,World,Footwear,Export,Export(US$ Mil),3.15474945860854
Madagascar,2017,World,Stone and Glass,Export,Export(US$ Mil),110.155808542981
Madagascar,2017,World,Metals,Export,Export(US$ Mil),497.381959571436
Madagascar,2017,World,Mach and Elec,Export,Export(US$ Mil),24.9192105494755
Madagascar,2017,World,Transportation,Export,Export(US$ Mil),5.64465077874169
Madagascar,2017,World,Miscellaneous,Export,Export(US$ Mil),30.4959792427672
Madagascar,2017,World,Raw materials,Export,Export(US$ Mil),518.28719138856
Madagascar,2017,World,Intermediate goods,Export,Export(US$ Mil),609.11316409739
Madagascar,2017,World,Consumer goods,Export,Export(US$ Mil),1680.47543328663
Madagascar,2017,World,Capital goods,Export,Export(US$ Mil),33.387025662721
Madagascar,2017,World,Raw materials,Import,Import(US$ Mil),198.662605363751
Madagascar,2017,World,Intermediate goods,Import,Import(US$ Mil),1047.38772774233
Madagascar,2017,World,Consumer goods,Import,Import(US$ Mil),1685.6801243089
Madagascar,2017,World,Capital goods,Import,Import(US$ Mil),711.310475378769
Madagascar,2017,World,All Products,Export,Exports (in US$ Mil),2846.99300636677
Madagascar,2017,World,All Products,Import,Imports (in US$ Mil),3654.46720119282
Madagascar,2017,World,All Products,Tariff,Duty Free Imports (US$ Thousand),719885.852125745
Madagascar,2017,...,...,Development,Trade Balance (current US$ Mil),-415.91482868063
Madagascar,2017,...,...,Development,GDP (current US$ Mil),11499.8038065729
Madagascar,2017,...,...,Tariff,No. Of Tariff Agreement,8
Madagascar,2017,...,...,Import,No. Of Import partners,162
Madagascar,2017,...,...,Import,No. Of Import products,3715
Madagascar,2017,...,...,Export,No. Of Export partners,147
Madagascar,2017,...,...,Export,No. Of Export products,1753
Madagascar,2016,...,...,Others,Population,24894551
Madagascar,2018,...,...,Others,Ease of Doing Business Rank,162
Madagascar,2018,...,...,Others,Trading Across Borders Rank,134
Madagascar,2017,...,...,Others,CPIA Trade Ratings,4
Madagascar,2016,...,...,Others,LPI Rank,147
Madagascar,2016,...,...,Others,LPI Score,2.154639
Madagascar,,...,...,Others,Services Trade Restrictions Index - Over All,18.7
Madagascar,2017,France,All Products,Export,Partner share(%)-Top 5 Export Partner,22.6669
Madagascar,2017,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,18.6619
Madagascar,2017,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,7.1472
Madagascar,2017,China,All Products,Export,Partner share(%)-Top 5 Export Partner,6.0658
Madagascar,2017,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,4.7015
Madagascar,2017,China,All Products,Import,Partner share(%)-Top 5 Import Partner,20.7561
Madagascar,2017,United Arab Emirates,All Products,Import,Partner share(%)-Top 5 Import Partner,7.5647
Madagascar,2017,India,All Products,Import,Partner share(%)-Top 5 Import Partner,7.479
Madagascar,2017,France,All Products,Import,Partner share(%)-Top 5 Import Partner,6.6511
Madagascar,2017,South Africa,All Products,Import,Partner share(%)-Top 5 Import Partner,5.2112
Madagascar,2017,World,Animal,Export,Export Product share(%),4.5845
Madagascar,2017,World,Vegetable,Export,Export Product share(%),37.1339
Madagascar,2017,World,Food Products,Export,Export Product share(%),4.5726
Madagascar,2017,World,Minerals,Export,Export Product share(%),4.5807
Madagascar,2017,World,Fuels,Export,Export Product share(%),1.6287
Madagascar,2017,World,Chemicals,Export,Export Product share(%),2.2527
Madagascar,2017,World,Plastic or Rubber,Export,Export Product share(%),0.1455
Madagascar,2017,World,Hides and Skins,Export,Export Product share(%),0.2829
Madagascar,2017,World,Wood,Export,Export Product share(%),0.8482
Madagascar,2017,World,Textiles and Clothing,Export,Export Product share(%),20.375
Madagascar,2017,World,Footwear,Export,Export Product share(%),0.1108
Madagascar,2017,World,Stone and Glass,Export,Export Product share(%),3.8692
Madagascar,2017,World,Metals,Export,Export Product share(%),17.4704
Madagascar,2017,World,Mach and Elec,Export,Export Product share(%),0.8753
