Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Mexico,2017,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,327357.936007
Mexico,2017,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,11376.493835
Mexico,2017,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6949.907291
Mexico,2017,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6713.028343
Mexico,2017,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4244.585804
Mexico,2017,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,194992.230974
Mexico,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,74145.284394
Mexico,2017,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,18184.834934
Mexico,2017,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,16420.972265
Mexico,2017,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,15756.395473
Mexico,2017,World,Animal,Export,Export(US$ Mil),3850.577498
Mexico,2017,World,Vegetable,Export,Export(US$ Mil),15404.719537
Mexico,2017,World,Food Products,Export,Export(US$ Mil),13276.107403
Mexico,2017,World,Minerals,Export,Export(US$ Mil),5452.522653
Mexico,2017,World,Fuels,Export,Export(US$ Mil),22617.826177
Mexico,2017,World,Chemicals,Export,Export(US$ Mil),9799.021749
Mexico,2017,World,Plastic or Rubber,Export,Export(US$ Mil),11863.141876
Mexico,2017,World,Hides and Skins,Export,Export(US$ Mil),640.449809
Mexico,2017,World,Wood,Export,Export(US$ Mil),3055.869517
Mexico,2017,World,Textiles and Clothing,Export,Export(US$ Mil),6464.30804
Mexico,2017,World,Footwear,Export,Export(US$ Mil),694.880033
Mexico,2017,World,Stone and Glass,Export,Export(US$ Mil),10514.180767
Mexico,2017,World,Metals,Export,Export(US$ Mil),16755.929717
Mexico,2017,World,Mach and Elec,Export,Export(US$ Mil),147409.57349
Mexico,2017,World,Transportation,Export,Export(US$ Mil),105475.071761
Mexico,2017,World,Miscellaneous,Export,Export(US$ Mil),36177.198143
Mexico,2017,World,Raw materials,Export,Export(US$ Mil),44943.328358
Mexico,2017,World,Intermediate goods,Export,Export(US$ Mil),37189.859875
Mexico,2017,World,Consumer goods,Export,Export(US$ Mil),124893.550045
Mexico,2017,World,Capital goods,Export,Export(US$ Mil),197115.926477
Mexico,2017,World,Raw materials,Import,Import(US$ Mil),19221.652985
Mexico,2017,World,Intermediate goods,Import,Import(US$ Mil),79141.9226720001
