Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
"Macedonia, FYR",2017,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2662.46664258
"Macedonia, FYR",2017,"Serbia, FR(Serbia/Montenegro)",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,474.63477541
"Macedonia, FYR",2017,Bulgaria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,332.91468747
"Macedonia, FYR",2017,Greece,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,203.51300382
"Macedonia, FYR",2017,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,200.67330879
"Macedonia, FYR",2017,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,910.251916300001
"Macedonia, FYR",2017,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,780.17578649
"Macedonia, FYR",2017,Greece,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,617.9527098
"Macedonia, FYR",2017,"Serbia, FR(Serbia/Montenegro)",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,590.390431159999
"Macedonia, FYR",2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,444.00365011
"Macedonia, FYR",2017,World,Animal,Export,Export(US$ Mil),28.18474073
"Macedonia, FYR",2017,World,Vegetable,Export,Export(US$ Mil),157.80232123
"Macedonia, FYR",2017,World,Food Products,Export,Export(US$ Mil),415.75060285
"Macedonia, FYR",2017,World,Minerals,Export,Export(US$ Mil),268.35085121
"Macedonia, FYR",2017,World,Fuels,Export,Export(US$ Mil),85.4823056
"Macedonia, FYR",2017,World,Chemicals,Export,Export(US$ Mil),1298.29548041
"Macedonia, FYR",2017,World,Plastic or Rubber,Export,Export(US$ Mil),102.6098593
"Macedonia, FYR",2017,World,Hides and Skins,Export,Export(US$ Mil),12.88512872
"Macedonia, FYR",2017,World,Wood,Export,Export(US$ Mil),36.35786756
"Macedonia, FYR",2017,World,Textiles and Clothing,Export,Export(US$ Mil),591.09429728
"Macedonia, FYR",2017,World,Footwear,Export,Export(US$ Mil),67.01608375
"Macedonia, FYR",2017,World,Stone and Glass,Export,Export(US$ Mil),53.59368369
"Macedonia, FYR",2017,World,Metals,Export,Export(US$ Mil),627.40706636
"Macedonia, FYR",2017,World,Mach and Elec,Export,Export(US$ Mil),1402.10716139
