Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Malta,2016,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,820.755238
Malta,2016,Bunkers,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,430.924601
Malta,2016,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,430.875866
Malta,2016,"Egypt, Arab Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,335.548526
Malta,2016,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,254.411791
Malta,2016,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1378.278064
Malta,2016,Cayman Islands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,729.924671
Malta,2016,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,643.548873
Malta,2016,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,412.498296
Malta,2016,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,384.1859
Malta,2016,World,Animal,Export,Export(US$ Mil),176.731746
Malta,2016,World,Vegetable,Export,Export(US$ Mil),11.916085
Malta,2016,World,Food Products,Export,Export(US$ Mil),124.983883
Malta,2016,World,Minerals,Export,Export(US$ Mil),0.570236
Malta,2016,World,Fuels,Export,Export(US$ Mil),1024.529761
Malta,2016,World,Chemicals,Export,Export(US$ Mil),1010.704225
Malta,2016,World,Plastic or Rubber,Export,Export(US$ Mil),120.260005
Malta,2016,World,Hides and Skins,Export,Export(US$ Mil),1.85778
Malta,2016,World,Wood,Export,Export(US$ Mil),109.735596
Malta,2016,World,Textiles and Clothing,Export,Export(US$ Mil),43.312677
Malta,2016,World,Footwear,Export,Export(US$ Mil),7.121674
Malta,2016,World,Stone and Glass,Export,Export(US$ Mil),16.654688
Malta,2016,World,Metals,Export,Export(US$ Mil),39.350298
Malta,2016,World,Mach and Elec,Export,Export(US$ Mil),880.312021
Malta,2016,World,Transportation,Export,Export(US$ Mil),186.351166
