Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Myanmar,2017,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5398.06508596
Myanmar,2017,Thailand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2698.6572198
Myanmar,2017,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,903.02591553
Myanmar,2017,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,735.22416492
Myanmar,2017,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,708.11507809
Myanmar,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,6115.76371265
Myanmar,2017,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2931.13411673999
Myanmar,2017,Thailand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2166.67712450074
Myanmar,2017,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1055.09970211759
Myanmar,2017,Malaysia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,999.105309913037
Myanmar,2017,World,Animal,Export,Export(US$ Mil),629.25768281
Myanmar,2017,World,Vegetable,Export,Export(US$ Mil),2879.77466697
Myanmar,2017,World,Food Products,Export,Export(US$ Mil),918.36907168
Myanmar,2017,World,Minerals,Export,Export(US$ Mil),28.07503749
Myanmar,2017,World,Fuels,Export,Export(US$ Mil),3700.95619221
Myanmar,2017,World,Chemicals,Export,Export(US$ Mil),25.80907582
Myanmar,2017,World,Plastic or Rubber,Export,Export(US$ Mil),280.80491558
Myanmar,2017,World,Hides and Skins,Export,Export(US$ Mil),95.97101662
Myanmar,2017,World,Wood,Export,Export(US$ Mil),235.9834932
Myanmar,2017,World,Textiles and Clothing,Export,Export(US$ Mil),2507.15892008
Myanmar,2017,World,Footwear,Export,Export(US$ Mil),261.46679428
Myanmar,2017,World,Stone and Glass,Export,Export(US$ Mil),394.28132409
Myanmar,2017,World,Metals,Export,Export(US$ Mil),944.54533672
Myanmar,2017,World,Mach and Elec,Export,Export(US$ Mil),226.88417647
Myanmar,2017,World,Transportation,Export,Export(US$ Mil),514.87419273
Myanmar,2017,World,Miscellaneous,Export,Export(US$ Mil),234.55258863
Myanmar,2017,World,Raw materials,Export,Export(US$ Mil),2714.00783949
Myanmar,2017,World,Intermediate goods,Export,Export(US$ Mil),2517.71439097
Myanmar,2017,World,Consumer goods,Export,Export(US$ Mil),7710.06919810001
