Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Mongolia,2016,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3883.128125
Mongolia,2016,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,786.875707
Mongolia,2016,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,55.769058
Mongolia,2016,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,43.386472
Mongolia,2016,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,33.579288
Mongolia,2016,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1040.232836
Mongolia,2016,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,861.885671
Mongolia,2016,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,330.608393
Mongolia,2016,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,197.888962
Mongolia,2016,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,139.377416
Mongolia,2016,World,Animal,Export,Export(US$ Mil),29.242186
Mongolia,2016,World,Vegetable,Export,Export(US$ Mil),55.807996
Mongolia,2016,World,Food Products,Export,Export(US$ Mil),11.920239
Mongolia,2016,World,Minerals,Export,Export(US$ Mil),2167.357073
Mongolia,2016,World,Fuels,Export,Export(US$ Mil),1316.689485
Mongolia,2016,World,Chemicals,Export,Export(US$ Mil),1.631413
Mongolia,2016,World,Plastic or Rubber,Export,Export(US$ Mil),7.620843
Mongolia,2016,World,Hides and Skins,Export,Export(US$ Mil),30.210394
Mongolia,2016,World,Wood,Export,Export(US$ Mil),0.497107
Mongolia,2016,World,Textiles and Clothing,Export,Export(US$ Mil),300.223417
Mongolia,2016,World,Footwear,Export,Export(US$ Mil),2.034131
Mongolia,2016,World,Stone and Glass,Export,Export(US$ Mil),761.716939
Mongolia,2016,World,Metals,Export,Export(US$ Mil),86.178147
Mongolia,2016,World,Mach and Elec,Export,Export(US$ Mil),71.419163
Mongolia,2016,World,Transportation,Export,Export(US$ Mil),69.980766
Mongolia,2016,World,Miscellaneous,Export,Export(US$ Mil),3.797158
Mongolia,2016,World,Raw materials,Export,Export(US$ Mil),3799.450515
Mongolia,2016,World,Intermediate goods,Export,Export(US$ Mil),896.459845
Mongolia,2016,World,Consumer goods,Export,Export(US$ Mil),84.4664669999999
Mongolia,2016,World,Capital goods,Export,Export(US$ Mil),135.949635
Mongolia,2016,World,Raw materials,Import,Import(US$ Mil),135.455019
Mongolia,2016,World,Intermediate goods,Import,Import(US$ Mil),567.384025000001
Mongolia,2016,World,Consumer goods,Import,Import(US$ Mil),1774.370876
Mongolia,2016,World,Capital goods,Import,Import(US$ Mil),862.140371000001
Mongolia,2016,World,All Products,Export,Exports (in US$ Mil),4916.326458
Mongolia,2016,World,All Products,Import,Imports (in US$ Mil),3339.603834
Mongolia,2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),73361.143
Mongolia,2017,...,...,Development,Trade Balance (current US$ Mil),270.33209454536
Mongolia,2017,...,...,Development,GDP (current US$ Mil),11433.6358759316
Mongolia,2015,...,...,Tariff,No. Of Tariff Agreement,1
Mongolia,2016,...,...,Import,No. Of Import partners,149
Mongolia,2016,...,...,Import,No. Of Import products,3427
Mongolia,2016,...,...,Export,No. Of Export partners,74
Mongolia,2016,...,...,Export,No. Of Export products,1160
Mongolia,2016,...,...,Others,Population,3027398
Mongolia,2018,...,...,Others,Ease of Doing Business Rank,62
Mongolia,2018,...,...,Others,Trading Across Borders Rank,110
Mongolia,2017,...,...,Others,CPIA Trade Ratings,4
Mongolia,2016,...,...,Others,LPI Rank,108
Mongolia,2016,...,...,Others,LPI Score,2.506056
Mongolia,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0494368
Mongolia,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0494368
Mongolia,,...,...,Others,Services Trade Restrictions Index - Over All,13.7
Mongolia,2016,China,All Products,Export,Partner share(%)-Top 5 Export Partner,78.9843
Mongolia,2016,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,16.0054
Mongolia,2016,Russian Federation,All Products,Export,Partner share(%)-Top 5 Export Partner,1.1344
Mongolia,2016,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,0.8825
Mongolia,2016,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,0.683
Mongolia,2016,China,All Products,Import,Partner share(%)-Top 5 Import Partner,31.1484
Mongolia,2016,Russian Federation,All Products,Import,Partner share(%)-Top 5 Import Partner,25.808
Mongolia,2016,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,9.8996
Mongolia,2016,"Korea, Rep.",All Products,Import,Partner share(%)-Top 5 Import Partner,5.9255
Mongolia,2016,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,4.1735
Mongolia,2016,World,Animal,Export,Export Product share(%),0.5948
Mongolia,2016,World,Vegetable,Export,Export Product share(%),1.1352
Mongolia,2016,World,Food Products,Export,Export Product share(%),0.2425
Mongolia,2016,World,Minerals,Export,Export Product share(%),44.0849
Mongolia,2016,World,Fuels,Export,Export Product share(%),26.782
Mongolia,2016,World,Chemicals,Export,Export Product share(%),0.0332
Mongolia,2016,World,Plastic or Rubber,Export,Export Product share(%),0.155
Mongolia,2016,World,Hides and Skins,Export,Export Product share(%),0.6145
Mongolia,2016,World,Wood,Export,Export Product share(%),0.0101
Mongolia,2016,World,Textiles and Clothing,Export,Export Product share(%),6.1067
Mongolia,2016,World,Footwear,Export,Export Product share(%),0.0414
Mongolia,2016,World,Stone and Glass,Export,Export Product share(%),15.4936
Mongolia,2016,World,Metals,Export,Export Product share(%),1.7529
Mongolia,2016,World,Mach and Elec,Export,Export Product share(%),1.4527
Mongolia,2016,World,Transportation,Export,Export Product share(%),1.4234
Mongolia,2016,World,Miscellaneous,Export,Export Product share(%),0.0772
Mongolia,2016,World,Raw materials,Export,Export Product share(%),77.2823
Mongolia,2016,World,Intermediate goods,Export,Export Product share(%),18.2343
Mongolia,2016,World,Consumer goods,Export,Export Product share(%),1.7181
Mongolia,2016,World,Capital goods,Export,Export Product share(%),2.7653
