Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Montenegro,2017,"Serbia, FR(Serbia/Montenegro)",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,74.7675589035255
Montenegro,2017,Bosnia and Herzegovina,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,53.4621831154644
Montenegro,2017,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,39.459340048565
Montenegro,2017,Hungary,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,35.8976376008375
Montenegro,2017,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,35.8894736592944
Montenegro,2017,"Serbia, FR(Serbia/Montenegro)",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,561.775316254267
Montenegro,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,250.931397145253
Montenegro,2017,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,222.238921254105
Montenegro,2017,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,191.204270723487
Montenegro,2017,Bosnia and Herzegovina,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,172.207865448582
Montenegro,2017,World,Animal,Export,Export(US$ Mil),10.1187653523302
Montenegro,2017,World,Vegetable,Export,Export(US$ Mil),7.95365336240638
Montenegro,2017,World,Food Products,Export,Export(US$ Mil),36.3911203038817
Montenegro,2017,World,Minerals,Export,Export(US$ Mil),59.8162786987471
Montenegro,2017,World,Fuels,Export,Export(US$ Mil),52.1012181495555
Montenegro,2017,World,Chemicals,Export,Export(US$ Mil),21.1850258035283
Montenegro,2017,World,Plastic or Rubber,Export,Export(US$ Mil),3.53131207322094
Montenegro,2017,World,Hides and Skins,Export,Export(US$ Mil),4.55343678397521
Montenegro,2017,World,Wood,Export,Export(US$ Mil),41.3663843687863
Montenegro,2017,World,Textiles and Clothing,Export,Export(US$ Mil),1.06059739362009
Montenegro,2017,World,Footwear,Export,Export(US$ Mil),0.466283319277042
Montenegro,2017,World,Stone and Glass,Export,Export(US$ Mil),5.31589821069146
Montenegro,2017,World,Metals,Export,Export(US$ Mil),126.930497053907
Montenegro,2017,World,Mach and Elec,Export,Export(US$ Mil),21.3767246750211
Montenegro,2017,World,Transportation,Export,Export(US$ Mil),23.8011239944642
Montenegro,2017,World,Miscellaneous,Export,Export(US$ Mil),4.90256840602654
Montenegro,2017,World,Raw materials,Export,Export(US$ Mil),99.1406101395102
Montenegro,2017,World,Intermediate goods,Export,Export(US$ Mil),180.229308601852
Montenegro,2017,World,Consumer goods,Export,Export(US$ Mil),98.6008756833442
Montenegro,2017,World,Capital goods,Export,Export(US$ Mil),42.7689249283043
Montenegro,2017,World,Raw materials,Import,Import(US$ Mil),235.746805588536
Montenegro,2017,World,Intermediate goods,Import,Import(US$ Mil),519.990886630745
Montenegro,2017,World,Consumer goods,Import,Import(US$ Mil),1404.924782818
Montenegro,2017,World,Capital goods,Import,Import(US$ Mil),449.871216377989
Montenegro,2017,World,All Products,Export,Exports (in US$ Mil),420.870887949439
Montenegro,2017,World,All Products,Import,Imports (in US$ Mil),2610.53597202479
Montenegro,2017,World,All Products,Tariff,Duty Free Imports (US$ Thousand),1660863.28159241
Montenegro,2017,...,...,Tariff,No. Of Tariff Agreement,15
Montenegro,2017,...,...,Import,No. Of Import partners,179
Montenegro,2017,...,...,Import,No. Of Import products,3730
Montenegro,2017,...,...,Export,No. Of Export partners,80
Montenegro,2017,...,...,Export,No. Of Export products,1626
Montenegro,2018,...,...,Others,Ease of Doing Business Rank,42
Montenegro,2018,...,...,Others,Trading Across Borders Rank,44
Montenegro,2016,...,...,Others,LPI Rank,123
Montenegro,2016,...,...,Others,LPI Score,2.380016
Montenegro,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0697069
Montenegro,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0925152
Montenegro,2017,"Serbia, FR(Serbia/Montenegro)",All Products,Export,Partner share(%)-Top 5 Export Partner,17.765
Montenegro,2017,Bosnia and Herzegovina,All Products,Export,Partner share(%)-Top 5 Export Partner,12.7028
Montenegro,2017,Unspecified,All Products,Export,Partner share(%)-Top 5 Export Partner,9.3756
Montenegro,2017,Hungary,All Products,Export,Partner share(%)-Top 5 Export Partner,8.5294
Montenegro,2017,"Hong Kong, China",All Products,Export,Partner share(%)-Top 5 Export Partner,8.5274
Montenegro,2017,"Serbia, FR(Serbia/Montenegro)",All Products,Import,Partner share(%)-Top 5 Import Partner,21.5195
Montenegro,2017,China,All Products,Import,Partner share(%)-Top 5 Import Partner,9.6123
Montenegro,2017,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,8.5132
Montenegro,2017,Italy,All Products,Import,Partner share(%)-Top 5 Import Partner,7.3243
Montenegro,2017,Bosnia and Herzegovina,All Products,Import,Partner share(%)-Top 5 Import Partner,6.5966
Montenegro,2017,World,Animal,Export,Export Product share(%),2.4042
Montenegro,2017,World,Vegetable,Export,Export Product share(%),1.8898
Montenegro,2017,World,Food Products,Export,Export Product share(%),8.6466
Montenegro,2017,World,Minerals,Export,Export Product share(%),14.2125
Montenegro,2017,World,Fuels,Export,Export Product share(%),12.3794
Montenegro,2017,World,Chemicals,Export,Export Product share(%),5.0336
Montenegro,2017,World,Plastic or Rubber,Export,Export Product share(%),0.839
Montenegro,2017,World,Hides and Skins,Export,Export Product share(%),1.0819
Montenegro,2017,World,Wood,Export,Export Product share(%),9.8288
Montenegro,2017,World,Textiles and Clothing,Export,Export Product share(%),0.252
Montenegro,2017,World,Footwear,Export,Export Product share(%),0.1108
Montenegro,2017,World,Stone and Glass,Export,Export Product share(%),1.2631
Montenegro,2017,World,Metals,Export,Export Product share(%),30.159
Montenegro,2017,World,Mach and Elec,Export,Export Product share(%),5.0792
Montenegro,2017,World,Transportation,Export,Export Product share(%),5.6552
Montenegro,2017,World,Miscellaneous,Export,Export Product share(%),1.1649
Montenegro,2017,World,Raw materials,Export,Export Product share(%),23.5561
Montenegro,2017,World,Intermediate goods,Export,Export Product share(%),42.8229
Montenegro,2017,World,Consumer goods,Export,Export Product share(%),23.4278
Montenegro,2017,World,Capital goods,Export,Export Product share(%),10.162
Montenegro,2017,World,Raw materials,Import,Import Product share(%),9.0306
Montenegro,2017,World,Intermediate goods,Import,Import Product share(%),19.9189
Montenegro,2017,World,Consumer goods,Import,Import Product share(%),53.8175
Montenegro,2017,World,Capital goods,Import,Import Product share(%),17.2329
Montenegro,2017,World,Raw materials,Tariff,Weighted Average (%),5.68766308617231
Montenegro,2017,World,Intermediate goods,Tariff,Weighted Average (%),0.794169707508703
Montenegro,2017,World,Consumer goods,Tariff,Weighted Average (%),4.2012144797
Montenegro,2017,World,Capital goods,Tariff,Weighted Average (%),0.435635291744943
Montenegro,2017,World,All Products,Trade Indicator,World Growth (%),1.50064825967466
Montenegro,2017,World,All Products,Trade Indicator,Country Growth (%),5.80484250104825
Montenegro,2017,World,All Products,Tariff,Simple Average (%),1.77426352061153
Montenegro,2017,World,All Products,Tariff,Weighted Average (%),3.0732092207144
Montenegro,2017,World,All Products,Tariff,Maximum Rate (%),45
Montenegro,2017,World,All Products,Tariff,Duty Free Tariff Lines Share (%),71.7249102535925
Montenegro,2017,...,...,Trade Indicator,Index of export market penetration,1.73163301288536
Montenegro,2017,...,...,Trade Indicator,HH Market concentration index,0.0609828294181261
