Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Mozambique,2017,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1621.69573459
Mozambique,2017,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,883.86920485
Mozambique,2017,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,472.47283279
Mozambique,2017,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,270.16396484
Mozambique,2017,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,252.60785881
Mozambique,2017,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1648.12392453
Mozambique,2017,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,531.21073423
Mozambique,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,493.35494891
Mozambique,2017,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,490.87564123
Mozambique,2017,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,450.86054692
Mozambique,2017,World,Animal,Export,Export(US$ Mil),41.8484737
Mozambique,2017,World,Vegetable,Export,Export(US$ Mil),175.39392349
Mozambique,2017,World,Food Products,Export,Export(US$ Mil),293.41756023
Mozambique,2017,World,Minerals,Export,Export(US$ Mil),227.60157688
Mozambique,2017,World,Fuels,Export,Export(US$ Mil),2426.24268461
Mozambique,2017,World,Chemicals,Export,Export(US$ Mil),10.01695403
Mozambique,2017,World,Plastic or Rubber,Export,Export(US$ Mil),1.52409222
Mozambique,2017,World,Hides and Skins,Export,Export(US$ Mil),1.7522733
Mozambique,2017,World,Wood,Export,Export(US$ Mil),116.56012095
Mozambique,2017,World,Textiles and Clothing,Export,Export(US$ Mil),18.35746291
Mozambique,2017,World,Footwear,Export,Export(US$ Mil),3.39578654
Mozambique,2017,World,Stone and Glass,Export,Export(US$ Mil),103.09849974
Mozambique,2017,World,Metals,Export,Export(US$ Mil),1219.32982272
Mozambique,2017,World,Mach and Elec,Export,Export(US$ Mil),27.05907192
Mozambique,2017,World,Transportation,Export,Export(US$ Mil),50.47628582
Mozambique,2017,World,Miscellaneous,Export,Export(US$ Mil),2.44368229
Mozambique,2017,World,Raw materials,Export,Export(US$ Mil),812.08489608
Mozambique,2017,World,Intermediate goods,Export,Export(US$ Mil),3270.38621827
Mozambique,2017,World,Consumer goods,Export,Export(US$ Mil),488.21476046
Mozambique,2017,World,Capital goods,Export,Export(US$ Mil),71.2762601799999
Mozambique,2017,World,Raw materials,Import,Import(US$ Mil),252.56767684
Mozambique,2017,World,Intermediate goods,Import,Import(US$ Mil),1597.9932746
Mozambique,2017,World,Consumer goods,Import,Import(US$ Mil),2327.52462598
Mozambique,2017,World,Capital goods,Import,Import(US$ Mil),1350.45953098
Mozambique,2017,World,All Products,Export,Exports (in US$ Mil),4718.51827135
Mozambique,2017,World,All Products,Import,Imports (in US$ Mil),5701.70518144
Mozambique,2016,World,All Products,Tariff,Duty Free Imports (US$ Thousand),4232540.948
Mozambique,2017,...,...,Development,Trade Balance (current US$ Mil),-4041.23144152853
Mozambique,2017,...,...,Development,GDP (current US$ Mil),12645.5086337664
Mozambique,2016,...,...,Tariff,No. Of Tariff Agreement,5
Mozambique,2017,...,...,Import,No. Of Import partners,191
Mozambique,2017,...,...,Import,No. Of Import products,3823
Mozambique,2017,...,...,Export,No. Of Export partners,133
Mozambique,2017,...,...,Export,No. Of Export products,1381
Mozambique,2016,...,...,Others,Population,28829476
Mozambique,2018,...,...,Others,Ease of Doing Business Rank,138
Mozambique,2018,...,...,Others,Trading Across Borders Rank,109
Mozambique,2017,...,...,Others,CPIA Trade Ratings,4
Mozambique,2016,...,...,Others,LPI Rank,84
Mozambique,2016,...,...,Others,LPI Score,2.684105
Mozambique,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0351135
Mozambique,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0589387
Mozambique,,...,...,Others,Services Trade Restrictions Index - Over All,18.6
Mozambique,2017,India,All Products,Export,Partner share(%)-Top 5 Export Partner,34.3687
Mozambique,2017,South Africa,All Products,Export,Partner share(%)-Top 5 Export Partner,18.7319
Mozambique,2017,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,10.0132
Mozambique,2017,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,5.7256
Mozambique,2017,China,All Products,Export,Partner share(%)-Top 5 Export Partner,5.3535
Mozambique,2017,South Africa,All Products,Import,Partner share(%)-Top 5 Import Partner,28.9058
Mozambique,2017,United Arab Emirates,All Products,Import,Partner share(%)-Top 5 Import Partner,9.3167
Mozambique,2017,China,All Products,Import,Partner share(%)-Top 5 Import Partner,8.6528
Mozambique,2017,Netherlands,All Products,Import,Partner share(%)-Top 5 Import Partner,8.6093
Mozambique,2017,India,All Products,Import,Partner share(%)-Top 5 Import Partner,7.9075
Mozambique,2017,World,Animal,Export,Export Product share(%),0.8869
Mozambique,2017,World,Vegetable,Export,Export Product share(%),3.7171
Mozambique,2017,World,Food Products,Export,Export Product share(%),6.2184
Mozambique,2017,World,Minerals,Export,Export Product share(%),4.8236
Mozambique,2017,World,Fuels,Export,Export Product share(%),51.4196
Mozambique,2017,World,Chemicals,Export,Export Product share(%),0.2123
Mozambique,2017,World,Plastic or Rubber,Export,Export Product share(%),0.0323
Mozambique,2017,World,Hides and Skins,Export,Export Product share(%),0.0371
Mozambique,2017,World,Wood,Export,Export Product share(%),2.4703
Mozambique,2017,World,Textiles and Clothing,Export,Export Product share(%),0.3891
Mozambique,2017,World,Footwear,Export,Export Product share(%),0.072
Mozambique,2017,World,Stone and Glass,Export,Export Product share(%),2.185
Mozambique,2017,World,Metals,Export,Export Product share(%),25.8414
Mozambique,2017,World,Mach and Elec,Export,Export Product share(%),0.5735
Mozambique,2017,World,Transportation,Export,Export Product share(%),1.0697
Mozambique,2017,World,Miscellaneous,Export,Export Product share(%),0.0518
Mozambique,2017,World,Raw materials,Export,Export Product share(%),17.2106
Mozambique,2017,World,Intermediate goods,Export,Export Product share(%),69.3096
Mozambique,2017,World,Consumer goods,Export,Export Product share(%),10.3468
Mozambique,2017,World,Capital goods,Export,Export Product share(%),1.5106
Mozambique,2017,World,Raw materials,Import,Import Product share(%),4.4297
Mozambique,2017,World,Intermediate goods,Import,Import Product share(%),28.0266
Mozambique,2017,World,Consumer goods,Import,Import Product share(%),40.8216
Mozambique,2017,World,Capital goods,Import,Import Product share(%),23.6852
Mozambique,2016,World,Raw materials,Tariff,Weighted Average (%),2.66880314076778
Mozambique,2016,World,Intermediate goods,Tariff,Weighted Average (%),2.08140055000177
Mozambique,2016,World,Consumer goods,Tariff,Weighted Average (%),5.67551613751053
Mozambique,2016,World,Capital goods,Tariff,Weighted Average (%),2.71512642574391
Mozambique,2017,World,All Products,Trade Indicator,World Growth (%),1.50064825967466
Mozambique,2017,World,All Products,Trade Indicator,Country Growth (%),15.4912615093715
Mozambique,2016,World,All Products,Tariff,Simple Average (%),7.16129447999561
Mozambique,2016,World,All Products,Tariff,Weighted Average (%),3.55399060408793
Mozambique,2016,World,All Products,Tariff,Maximum Rate (%),20
Mozambique,2016,World,All Products,Tariff,Duty Free Tariff Lines Share (%),36.8043252489462
Mozambique,2017,...,...,Trade Indicator,Index of export market penetration,1.62494754115105
Mozambique,2017,...,...,Trade Indicator,HH Market concentration index,0.0753126612896951
Mozambique,2017,...,...,Development,Trade Balance (% of GDP),-31.9578401989899
Mozambique,2017,...,...,Development,Trade in services (% of GDP),28.8388494252509
Mozambique,2017,...,...,Development,Trade (% of GDP),113.392039161528
Mozambique,2017,...,...,Development,"GNI per capita, Atlas method (current US$)",420
