Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Namibia,2017,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1139.45239482235
Namibia,2017,Botswana,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,639.019831785145
Namibia,2017,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,496.97566954374
Namibia,2017,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,412.523837898905
Namibia,2017,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,252.634732469386
Namibia,2017,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3736.16356367112
Namibia,2017,Bulgaria,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,440.999639770417
Namibia,2017,Botswana,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,413.170437780662
Namibia,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,349.075134773235
Namibia,2017,Zambia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,321.461266933369
Namibia,2017,World,Animal,Export,Export(US$ Mil),951.223511125783
Namibia,2017,World,Vegetable,Export,Export(US$ Mil),62.0432303070723
Namibia,2017,World,Food Products,Export,Export(US$ Mil),155.381501117168
Namibia,2017,World,Minerals,Export,Export(US$ Mil),689.000957978989
Namibia,2017,World,Fuels,Export,Export(US$ Mil),79.6718884851563
Namibia,2017,World,Chemicals,Export,Export(US$ Mil),58.3215245139293
Namibia,2017,World,Plastic or Rubber,Export,Export(US$ Mil),35.4394008884346
Namibia,2017,World,Hides and Skins,Export,Export(US$ Mil),24.1135027723776
Namibia,2017,World,Wood,Export,Export(US$ Mil),42.6177062299096
Namibia,2017,World,Textiles and Clothing,Export,Export(US$ Mil),5.42359995360399
Namibia,2017,World,Footwear,Export,Export(US$ Mil),1.77482629811882
Namibia,2017,World,Stone and Glass,Export,Export(US$ Mil),1975.90153615329
Namibia,2017,World,Metals,Export,Export(US$ Mil),696.921408881416
Namibia,2017,World,Mach and Elec,Export,Export(US$ Mil),110.069931929825
