Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Nigeria,2017,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,7938.34017824448
Nigeria,2017,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5672.18739804762
Nigeria,2017,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4401.17245747062
Nigeria,2017,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3765.99538942382
Nigeria,2017,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3410.70003248042
Nigeria,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5847.73376112
Nigeria,2017,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4022.51024697686
Nigeria,2017,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2876.4142863453
Nigeria,2017,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2494.13443623339
Nigeria,2017,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1528.77925047131
Nigeria,2017,World,Animal,Export,Export(US$ Mil),56.1274335462588
Nigeria,2017,World,Vegetable,Export,Export(US$ Mil),308.812404174986
Nigeria,2017,World,Food Products,Export,Export(US$ Mil),460.08509322672
Nigeria,2017,World,Minerals,Export,Export(US$ Mil),68.8838591166069
Nigeria,2017,World,Fuels,Export,Export(US$ Mil),42701.8249250101
Nigeria,2017,World,Chemicals,Export,Export(US$ Mil),199.765733212649
Nigeria,2017,World,Plastic or Rubber,Export,Export(US$ Mil),145.069239985492
Nigeria,2017,World,Hides and Skins,Export,Export(US$ Mil),73.9060809160512
Nigeria,2017,World,Wood,Export,Export(US$ Mil),39.4917750492657
Nigeria,2017,World,Textiles and Clothing,Export,Export(US$ Mil),19.1291969082126
Nigeria,2017,World,Footwear,Export,Export(US$ Mil),17.608591531155
Nigeria,2017,World,Stone and Glass,Export,Export(US$ Mil),7.0921346807394
Nigeria,2017,World,Metals,Export,Export(US$ Mil),86.1954277265445
Nigeria,2017,World,Mach and Elec,Export,Export(US$ Mil),10.5002987730594
Nigeria,2017,World,Transportation,Export,Export(US$ Mil),269.319684602407
Nigeria,2017,World,Miscellaneous,Export,Export(US$ Mil),2.5548786543246
Nigeria,2017,World,Raw materials,Export,Export(US$ Mil),36600.9202394318
Nigeria,2017,World,Intermediate goods,Export,Export(US$ Mil),1011.67384188583
Nigeria,2017,World,Consumer goods,Export,Export(US$ Mil),6582.16089005896
Nigeria,2017,World,Capital goods,Export,Export(US$ Mil),153.903425887223
Nigeria,2017,World,Raw materials,Import,Import(US$ Mil),3176.23921338089
Nigeria,2017,World,Intermediate goods,Import,Import(US$ Mil),7987.09181739812
Nigeria,2017,World,Consumer goods,Import,Import(US$ Mil),13068.6443646239
Nigeria,2017,World,Capital goods,Import,Import(US$ Mil),7028.38991316841
Nigeria,2017,World,All Products,Export,Exports (in US$ Mil),44466.3667571146
Nigeria,2017,World,All Products,Import,Imports (in US$ Mil),31270.0902650788
Nigeria,2016,World,All Products,Tariff,Duty Free Imports (US$ Thousand),1744772.251
Nigeria,2017,...,...,Development,Trade Balance (current US$ Mil),-16.8138553209991
Nigeria,2017,...,...,Development,GDP (current US$ Mil),375745.486520656
Nigeria,2016,...,...,Tariff,No. Of Tariff Agreement,2
Nigeria,2017,...,...,Import,No. Of Import partners,199
Nigeria,2017,...,...,Import,No. Of Import products,4010
