Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Nicaragua,2017,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2888.14502977
Nicaragua,2017,Mexico,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,323.75383047
Nicaragua,2017,El Salvador,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,276.05845697
Nicaragua,2017,Honduras,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,173.61251217
Nicaragua,2017,Costa Rica,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,155.03252419
Nicaragua,2017,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1808.02062395
Nicaragua,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1172.35348874
Nicaragua,2017,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,849.81355078
Nicaragua,2017,Honduras,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,514.59270176
Nicaragua,2017,Costa Rica,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,488.56327344
Nicaragua,2017,World,Animal,Export,Export(US$ Mil),993.30220953
Nicaragua,2017,World,Vegetable,Export,Export(US$ Mil),877.05321848
Nicaragua,2017,World,Food Products,Export,Export(US$ Mil),558.20185727
Nicaragua,2017,World,Minerals,Export,Export(US$ Mil),4.34145454
Nicaragua,2017,World,Fuels,Export,Export(US$ Mil),11.56321478
Nicaragua,2017,World,Chemicals,Export,Export(US$ Mil),40.61610011
Nicaragua,2017,World,Plastic or Rubber,Export,Export(US$ Mil),10.92853528
Nicaragua,2017,World,Hides and Skins,Export,Export(US$ Mil),21.80233168
Nicaragua,2017,World,Wood,Export,Export(US$ Mil),24.04062694
Nicaragua,2017,World,Textiles and Clothing,Export,Export(US$ Mil),1343.8946235
Nicaragua,2017,World,Footwear,Export,Export(US$ Mil),17.30207032
Nicaragua,2017,World,Stone and Glass,Export,Export(US$ Mil),364.87769495
Nicaragua,2017,World,Metals,Export,Export(US$ Mil),30.04198778
Nicaragua,2017,World,Mach and Elec,Export,Export(US$ Mil),605.20780537
Nicaragua,2017,World,Transportation,Export,Export(US$ Mil),7.84854213
Nicaragua,2017,World,Miscellaneous,Export,Export(US$ Mil),14.558905
Nicaragua,2017,World,Raw materials,Export,Export(US$ Mil),1630.77976728
Nicaragua,2017,World,Intermediate goods,Export,Export(US$ Mil),740.74957409
Nicaragua,2017,World,Consumer goods,Export,Export(US$ Mil),2523.25603598
Nicaragua,2017,World,Capital goods,Export,Export(US$ Mil),30.30544138
Nicaragua,2017,World,Raw materials,Import,Import(US$ Mil),576.63379128
Nicaragua,2017,World,Intermediate goods,Import,Import(US$ Mil),1871.13238929
Nicaragua,2017,World,Consumer goods,Import,Import(US$ Mil),3887.73157741999
Nicaragua,2017,World,Capital goods,Import,Import(US$ Mil),1364.78478972
Nicaragua,2017,World,All Products,Export,Exports (in US$ Mil),4925.58117766
Nicaragua,2017,World,All Products,Import,Imports (in US$ Mil),7703.83655776
Nicaragua,2017,World,All Products,Tariff,Duty Free Imports (US$ Thousand),5283898.38092
Nicaragua,2017,...,...,Development,Trade Balance (current US$ Mil),-1961.23565253273
Nicaragua,2017,...,...,Development,GDP (current US$ Mil),13814.2615355434
Nicaragua,2017,...,...,Tariff,No. Of Tariff Agreement,10
Nicaragua,2017,...,...,Import,No. Of Import partners,178
Nicaragua,2017,...,...,Import,No. Of Import products,3806
Nicaragua,2017,...,...,Export,No. Of Export partners,118
Nicaragua,2017,...,...,Export,No. Of Export products,2022
Nicaragua,2016,...,...,Others,Population,6149928
Nicaragua,2018,...,...,Others,Ease of Doing Business Rank,131
Nicaragua,2018,...,...,Others,Trading Across Borders Rank,74
Nicaragua,2017,...,...,Others,CPIA Trade Ratings,4.5
Nicaragua,2016,...,...,Others,LPI Rank,102
Nicaragua,2016,...,...,Others,LPI Score,2.531062
Nicaragua,2014,...,...,Others,No Of NTM Affected Products (HS 6 Digit),1026
Nicaragua,2014,...,...,Others,No Of NTM Measures,55
Nicaragua,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1165638
Nicaragua,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1543768
Nicaragua,,...,...,Others,Services Trade Restrictions Index - Over All,12.8
Nicaragua,2017,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,58.6356
Nicaragua,2017,Mexico,All Products,Export,Partner share(%)-Top 5 Export Partner,6.5729
Nicaragua,2017,El Salvador,All Products,Export,Partner share(%)-Top 5 Export Partner,5.6046
Nicaragua,2017,Honduras,All Products,Export,Partner share(%)-Top 5 Export Partner,3.5247
Nicaragua,2017,Costa Rica,All Products,Export,Partner share(%)-Top 5 Export Partner,3.1475
Nicaragua,2017,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,23.4691
Nicaragua,2017,China,All Products,Import,Partner share(%)-Top 5 Import Partner,15.2178
Nicaragua,2017,Mexico,All Products,Import,Partner share(%)-Top 5 Import Partner,11.031
Nicaragua,2017,Honduras,All Products,Import,Partner share(%)-Top 5 Import Partner,6.6797
Nicaragua,2017,Costa Rica,All Products,Import,Partner share(%)-Top 5 Import Partner,6.3418
Nicaragua,2017,World,Animal,Export,Export Product share(%),20.1662
Nicaragua,2017,World,Vegetable,Export,Export Product share(%),17.8061
Nicaragua,2017,World,Food Products,Export,Export Product share(%),11.3327
Nicaragua,2017,World,Minerals,Export,Export Product share(%),0.0881
Nicaragua,2017,World,Fuels,Export,Export Product share(%),0.2348
Nicaragua,2017,World,Chemicals,Export,Export Product share(%),0.8246
Nicaragua,2017,World,Plastic or Rubber,Export,Export Product share(%),0.2219
Nicaragua,2017,World,Hides and Skins,Export,Export Product share(%),0.4426
Nicaragua,2017,World,Wood,Export,Export Product share(%),0.4881
Nicaragua,2017,World,Textiles and Clothing,Export,Export Product share(%),27.284
Nicaragua,2017,World,Footwear,Export,Export Product share(%),0.3513
Nicaragua,2017,World,Stone and Glass,Export,Export Product share(%),7.4078
Nicaragua,2017,World,Metals,Export,Export Product share(%),0.6099
Nicaragua,2017,World,Mach and Elec,Export,Export Product share(%),12.287
Nicaragua,2017,World,Transportation,Export,Export Product share(%),0.1593
Nicaragua,2017,World,Miscellaneous,Export,Export Product share(%),0.2956
Nicaragua,2017,World,Raw materials,Export,Export Product share(%),33.1084
Nicaragua,2017,World,Intermediate goods,Export,Export Product share(%),15.0388
Nicaragua,2017,World,Consumer goods,Export,Export Product share(%),51.2276
Nicaragua,2017,World,Capital goods,Export,Export Product share(%),0.6153
Nicaragua,2017,World,Raw materials,Import,Import Product share(%),7.485
Nicaragua,2017,World,Intermediate goods,Import,Import Product share(%),24.2883
Nicaragua,2017,World,Consumer goods,Import,Import Product share(%),50.4649
Nicaragua,2017,World,Capital goods,Import,Import Product share(%),17.7157
Nicaragua,2017,World,Raw materials,Tariff,Weighted Average (%),3.88100381005175
Nicaragua,2017,World,Intermediate goods,Tariff,Weighted Average (%),1.73641506429108
Nicaragua,2017,World,Consumer goods,Tariff,Weighted Average (%),2.24844631366886
Nicaragua,2017,World,Capital goods,Tariff,Weighted Average (%),1.33568498845914
Nicaragua,2017,World,All Products,Trade Indicator,World Growth (%),1.50064825967466
Nicaragua,2017,World,All Products,Trade Indicator,Country Growth (%),-4.3606025798141
Nicaragua,2017,World,All Products,Tariff,Simple Average (%),3.48337773585828
Nicaragua,2017,World,All Products,Tariff,Weighted Average (%),2.33183308131001
