Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Netherlands,2017,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,110857.088812619
Netherlands,2017,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,51883.7046992958
Netherlands,2017,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,43410.6999284878
Netherlands,2017,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,40624.8324651117
Netherlands,2017,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,22037.3069215295
Netherlands,2017,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,83106.3602827993
Netherlands,2017,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,48176.1394257351
Netherlands,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,40594.2437845598
Netherlands,2017,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,34435.6666468275
Netherlands,2017,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,24010.9336183051
Netherlands,2017,World,Animal,Export,Export(US$ Mil),25449.7357552405
Netherlands,2017,World,Vegetable,Export,Export(US$ Mil),36145.1440620712
Netherlands,2017,World,Food Products,Export,Export(US$ Mil),36908.5698148822
Netherlands,2017,World,Minerals,Export,Export(US$ Mil),1964.61211338175
Netherlands,2017,World,Fuels,Export,Export(US$ Mil),54496.9130831361
Netherlands,2017,World,Chemicals,Export,Export(US$ Mil),67860.2169002936
Netherlands,2017,World,Plastic or Rubber,Export,Export(US$ Mil),27807.9694572307
Netherlands,2017,World,Hides and Skins,Export,Export(US$ Mil),2474.87196882251
Netherlands,2017,World,Wood,Export,Export(US$ Mil),10296.9470081789
Netherlands,2017,World,Textiles and Clothing,Export,Export(US$ Mil),13309.06947042
Netherlands,2017,World,Footwear,Export,Export(US$ Mil),3884.50818350528
Netherlands,2017,World,Stone and Glass,Export,Export(US$ Mil),4592.74240983504
Netherlands,2017,World,Metals,Export,Export(US$ Mil),32035.360946058
Netherlands,2017,World,Mach and Elec,Export,Export(US$ Mil),114611.098563985
Netherlands,2017,World,Transportation,Export,Export(US$ Mil),28888.7524128223
Netherlands,2017,World,Miscellaneous,Export,Export(US$ Mil),45214.7930954228
Netherlands,2017,World,Raw materials,Export,Export(US$ Mil),48721.2445604539
Netherlands,2017,World,Intermediate goods,Export,Export(US$ Mil),116092.086734339
Netherlands,2017,World,Consumer goods,Export,Export(US$ Mil),186964.921932459
Netherlands,2017,World,Capital goods,Export,Export(US$ Mil),151776.977507696
Netherlands,2017,World,Raw materials,Import,Import(US$ Mil),67006.4819119822
Netherlands,2017,World,Intermediate goods,Import,Import(US$ Mil),88674.2572933725
Netherlands,2017,World,Consumer goods,Import,Import(US$ Mil),152647.632255879
Netherlands,2017,World,Capital goods,Import,Import(US$ Mil),141248.536156573
Netherlands,2017,World,All Products,Export,Exports (in US$ Mil),505941.305245286
