Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
New Zealand,2017,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,8482.09306912338
New Zealand,2017,Australia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6252.0479326573
New Zealand,2017,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3781.11195564458
New Zealand,2017,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2275.54395658403
New Zealand,2017,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1059.76188640269
New Zealand,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,7748.41097196974
New Zealand,2017,Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4910.884426935
New Zealand,2017,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4286.93656860103
New Zealand,2017,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2960.7235323374
New Zealand,2017,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2142.50314835098
New Zealand,2017,World,Animal,Export,Export(US$ Mil),16392.5696887207
New Zealand,2017,World,Vegetable,Export,Export(US$ Mil),2594.83055135303
New Zealand,2017,World,Food Products,Export,Export(US$ Mil),4541.57366369532
New Zealand,2017,World,Minerals,Export,Export(US$ Mil),71.6249856759222
New Zealand,2017,World,Fuels,Export,Export(US$ Mil),616.935444114762
New Zealand,2017,World,Chemicals,Export,Export(US$ Mil),1672.7140699506
New Zealand,2017,World,Plastic or Rubber,Export,Export(US$ Mil),399.907551829963
New Zealand,2017,World,Hides and Skins,Export,Export(US$ Mil),313.290409574953
New Zealand,2017,World,Wood,Export,Export(US$ Mil),4252.7431340828
New Zealand,2017,World,Textiles and Clothing,Export,Export(US$ Mil),727.151262979317
New Zealand,2017,World,Footwear,Export,Export(US$ Mil),42.2557499185484
New Zealand,2017,World,Stone and Glass,Export,Export(US$ Mil),551.181414233894
New Zealand,2017,World,Metals,Export,Export(US$ Mil),1417.24081322912
New Zealand,2017,World,Mach and Elec,Export,Export(US$ Mil),1882.71060385525
New Zealand,2017,World,Transportation,Export,Export(US$ Mil),468.717687799048
New Zealand,2017,World,Miscellaneous,Export,Export(US$ Mil),2104.83916877078
New Zealand,2017,World,Raw materials,Export,Export(US$ Mil),12520.9725706082
New Zealand,2017,World,Intermediate goods,Export,Export(US$ Mil),11174.1810622717
New Zealand,2017,World,Consumer goods,Export,Export(US$ Mil),10312.700329144
New Zealand,2017,World,Capital goods,Export,Export(US$ Mil),2773.34842587032
New Zealand,2017,World,Raw materials,Import,Import(US$ Mil),3661.60646233712
New Zealand,2017,World,Intermediate goods,Import,Import(US$ Mil),6258.39823788544
New Zealand,2017,World,Consumer goods,Import,Import(US$ Mil),17858.6066346643
New Zealand,2017,World,Capital goods,Import,Import(US$ Mil),12013.9867603806
New Zealand,2017,World,All Products,Export,Exports (in US$ Mil),38050.286199784
New Zealand,2017,World,All Products,Import,Imports (in US$ Mil),40128.439163468
New Zealand,2017,World,All Products,Tariff,Duty Free Imports (US$ Thousand),26830936.3898675
New Zealand,2017,...,...,Development,GDP (current US$ Mil),205852.838254712
New Zealand,2017,...,...,Tariff,No. Of Tariff Agreement,16
New Zealand,2017,...,...,Import,No. Of Import partners,223
New Zealand,2017,...,...,Import,No. Of Import products,4258
New Zealand,2017,...,...,Export,No. Of Export partners,213
New Zealand,2017,...,...,Export,No. Of Export products,3821
New Zealand,2016,...,...,Others,Population,4693200
New Zealand,2018,...,...,Others,Ease of Doing Business Rank,1
New Zealand,2018,...,...,Others,Trading Across Borders Rank,56
New Zealand,2016,...,...,Others,LPI Rank,37
New Zealand,2016,...,...,Others,LPI Score,3.388
New Zealand,2015,...,...,Others,No Of NTM Affected Products (HS 6 Digit),5208
New Zealand,2015,...,...,Others,No Of NTM Measures,75
New Zealand,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1128678
New Zealand,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.120615
New Zealand,,...,...,Others,Services Trade Restrictions Index - Over All,11
New Zealand,2013,...,...,Others,Temporary Trade Barriers in Effect - Simple Average,0.3099573851
New Zealand,2013,...,...,Others,Temporary Trade Barriers in Effect - Weighted Average,0.1107577905
New Zealand,2017,China,All Products,Export,Partner share(%)-Top 5 Export Partner,22.2918
New Zealand,2017,Australia,All Products,Export,Partner share(%)-Top 5 Export Partner,16.431
New Zealand,2017,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,9.9371
