Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
"Other Asia, nes",2016,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,73848.2222
"Other Asia, nes",2016,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,38394.878012
"Other Asia, nes",2016,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,33590.983806
"Other Asia, nes",2016,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,19573.735146
"Other Asia, nes",2016,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,16175.723088
"Other Asia, nes",2016,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,44015.144418
"Other Asia, nes",2016,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,40662.687764
"Other Asia, nes",2016,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,28816.169732
"Other Asia, nes",2016,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,14636.787084
"Other Asia, nes",2016,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,8641.673394
"Other Asia, nes",2016,World,Animal,Export,Export(US$ Mil),1773.123054
"Other Asia, nes",2016,World,Vegetable,Export,Export(US$ Mil),775.485149
"Other Asia, nes",2016,World,Food Products,Export,Export(US$ Mil),1919.450885
"Other Asia, nes",2016,World,Minerals,Export,Export(US$ Mil),1141.475141
"Other Asia, nes",2016,World,Fuels,Export,Export(US$ Mil),9823.001487
"Other Asia, nes",2016,World,Chemicals,Export,Export(US$ Mil),17162.803041
"Other Asia, nes",2016,World,Plastic or Rubber,Export,Export(US$ Mil),19991.122284
"Other Asia, nes",2016,World,Hides and Skins,Export,Export(US$ Mil),675.153824
"Other Asia, nes",2016,World,Wood,Export,Export(US$ Mil),1978.434598
"Other Asia, nes",2016,World,Textiles and Clothing,Export,Export(US$ Mil),9954.755769
"Other Asia, nes",2016,World,Footwear,Export,Export(US$ Mil),382.564683
"Other Asia, nes",2016,World,Stone and Glass,Export,Export(US$ Mil),3609.394167
"Other Asia, nes",2016,World,Metals,Export,Export(US$ Mil),24545.951389
"Other Asia, nes",2016,World,Mach and Elec,Export,Export(US$ Mil),153697.207743
"Other Asia, nes",2016,World,Transportation,Export,Export(US$ Mil),10858.058784
"Other Asia, nes",2016,World,Miscellaneous,Export,Export(US$ Mil),22190.694103
"Other Asia, nes",2016,World,Raw materials,Export,Export(US$ Mil),3819.691676
"Other Asia, nes",2016,World,Intermediate goods,Export,Export(US$ Mil),62155.0401699999
"Other Asia, nes",2016,World,Consumer goods,Export,Export(US$ Mil),49760.614497
"Other Asia, nes",2016,World,Capital goods,Export,Export(US$ Mil),163097.770014
"Other Asia, nes",2016,World,Raw materials,Import,Import(US$ Mil),29458.657385
"Other Asia, nes",2016,World,Intermediate goods,Import,Import(US$ Mil),50717.6349940001
"Other Asia, nes",2016,World,Consumer goods,Import,Import(US$ Mil),46632.514851
"Other Asia, nes",2016,World,Capital goods,Import,Import(US$ Mil),100837.962587
"Other Asia, nes",2016,World,All Products,Export,Exports (in US$ Mil),280478.676099
"Other Asia, nes",2016,World,All Products,Import,Imports (in US$ Mil),230930.098259
"Other Asia, nes",2016,World,All Products,Tariff,Duty Free Imports (US$ Thousand),150453063.096
"Other Asia, nes",2016,...,...,Tariff,No. Of Tariff Agreement,11
"Other Asia, nes",2016,...,...,Import,No. Of Import partners,221
"Other Asia, nes",2016,...,...,Import,No. Of Import products,4434
"Other Asia, nes",2016,...,...,Export,No. Of Export partners,216
"Other Asia, nes",2016,...,...,Export,No. Of Export products,4238
"Other Asia, nes",2016,China,All Products,Export,Partner share(%)-Top 5 Export Partner,26.3294
"Other Asia, nes",2016,"Hong Kong, China",All Products,Export,Partner share(%)-Top 5 Export Partner,13.6891
"Other Asia, nes",2016,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,11.9763
"Other Asia, nes",2016,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,6.9787
"Other Asia, nes",2016,Singapore,All Products,Export,Partner share(%)-Top 5 Export Partner,5.7672
"Other Asia, nes",2016,China,All Products,Import,Partner share(%)-Top 5 Import Partner,19.0599
"Other Asia, nes",2016,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,17.6082
"Other Asia, nes",2016,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,12.4783
"Other Asia, nes",2016,"Korea, Rep.",All Products,Import,Partner share(%)-Top 5 Import Partner,6.3382
"Other Asia, nes",2016,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,3.7421
"Other Asia, nes",2016,World,Animal,Export,Export Product share(%),0.6322
"Other Asia, nes",2016,World,Vegetable,Export,Export Product share(%),0.2765
"Other Asia, nes",2016,World,Food Products,Export,Export Product share(%),0.6843
"Other Asia, nes",2016,World,Minerals,Export,Export Product share(%),0.407
"Other Asia, nes",2016,World,Fuels,Export,Export Product share(%),3.5022
"Other Asia, nes",2016,World,Chemicals,Export,Export Product share(%),6.1191
"Other Asia, nes",2016,World,Plastic or Rubber,Export,Export Product share(%),7.1275
"Other Asia, nes",2016,World,Hides and Skins,Export,Export Product share(%),0.2407
"Other Asia, nes",2016,World,Wood,Export,Export Product share(%),0.7054
"Other Asia, nes",2016,World,Textiles and Clothing,Export,Export Product share(%),3.5492
"Other Asia, nes",2016,World,Footwear,Export,Export Product share(%),0.1364
"Other Asia, nes",2016,World,Stone and Glass,Export,Export Product share(%),1.2869
"Other Asia, nes",2016,World,Metals,Export,Export Product share(%),8.7515
"Other Asia, nes",2016,World,Mach and Elec,Export,Export Product share(%),54.7982
"Other Asia, nes",2016,World,Transportation,Export,Export Product share(%),3.8713
"Other Asia, nes",2016,World,Miscellaneous,Export,Export Product share(%),7.9117
"Other Asia, nes",2016,World,Raw materials,Export,Export Product share(%),1.3618
"Other Asia, nes",2016,World,Intermediate goods,Export,Export Product share(%),22.1603
"Other Asia, nes",2016,World,Consumer goods,Export,Export Product share(%),17.7413
"Other Asia, nes",2016,World,Capital goods,Export,Export Product share(%),58.1498
"Other Asia, nes",2016,World,Raw materials,Import,Import Product share(%),12.7565
"Other Asia, nes",2016,World,Intermediate goods,Import,Import Product share(%),21.9623
"Other Asia, nes",2016,World,Consumer goods,Import,Import Product share(%),20.1933
"Other Asia, nes",2016,World,Capital goods,Import,Import Product share(%),43.666
"Other Asia, nes",2016,World,Raw materials,Tariff,Weighted Average (%),1.47522525712773
"Other Asia, nes",2016,World,Intermediate goods,Tariff,Weighted Average (%),1.66344825016154
"Other Asia, nes",2016,World,Consumer goods,Tariff,Weighted Average (%),5.42774361555401
"Other Asia, nes",2016,World,Capital goods,Tariff,Weighted Average (%),0.875445770127256
"Other Asia, nes",2016,World,All Products,Trade Indicator,World Growth (%),-1.59063243474449
"Other Asia, nes",2016,World,All Products,Trade Indicator,Country Growth (%),-1.26441040026167
"Other Asia, nes",2016,World,All Products,Tariff,Simple Average (%),5.64092314915033
"Other Asia, nes",2016,World,All Products,Tariff,Weighted Average (%),2.12622153840614
"Other Asia, nes",2016,World,All Products,Tariff,Maximum Rate (%),1121.96496582031
"Other Asia, nes",2016,World,All Products,Tariff,Duty Free Tariff Lines Share (%),34.5323163008753
"Other Asia, nes",2016,...,...,Trade Indicator,Index of export market penetration,21.2722770908775
"Other Asia, nes",2016,...,...,Trade Indicator,HH Market concentration index,0.159460421298798
