Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Oman,2017,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,20549.1813937465
Oman,2017,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2255.42457204428
Oman,2017,Qatar,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1339.49289895148
Oman,2017,Saudi Arabia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1314.02076080184
Oman,2017,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,935.677666114101
Oman,2017,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,10282.7202995226
Oman,2017,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2910.89999549622
Oman,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1561.2631234655
Oman,2017,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1364.6983817285
Oman,2017,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,901.50410352002
Oman,2017,World,Animal,Export,Export(US$ Mil),474.31405874216
Oman,2017,World,Vegetable,Export,Export(US$ Mil),416.27608997338
Oman,2017,World,Food Products,Export,Export(US$ Mil),770.01880456046
Oman,2017,World,Minerals,Export,Export(US$ Mil),1225.78082335982
Oman,2017,World,Fuels,Export,Export(US$ Mil),21977.8736890913
Oman,2017,World,Chemicals,Export,Export(US$ Mil),2277.14088218344
Oman,2017,World,Plastic or Rubber,Export,Export(US$ Mil),599.22857805902
Oman,2017,World,Hides and Skins,Export,Export(US$ Mil),9.33402776852
Oman,2017,World,Wood,Export,Export(US$ Mil),137.07106438662
Oman,2017,World,Textiles and Clothing,Export,Export(US$ Mil),98.1534372
Oman,2017,World,Footwear,Export,Export(US$ Mil),28.17290253596
Oman,2017,World,Stone and Glass,Export,Export(US$ Mil),341.60441919058
Oman,2017,World,Metals,Export,Export(US$ Mil),1753.23019071382
Oman,2017,World,Mach and Elec,Export,Export(US$ Mil),1035.47429692434
Oman,2017,World,Transportation,Export,Export(US$ Mil),1542.43593660338
Oman,2017,World,Miscellaneous,Export,Export(US$ Mil),217.9380037926
Oman,2017,World,Raw materials,Export,Export(US$ Mil),16656.8501965921
Oman,2017,World,Intermediate goods,Export,Export(US$ Mil),4547.93993918992
Oman,2017,World,Consumer goods,Export,Export(US$ Mil),9437.05618577541
Oman,2017,World,Capital goods,Export,Export(US$ Mil),826.56772534882
Oman,2017,World,Raw materials,Import,Import(US$ Mil),2328.85422993496
