Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Pakistan,2017,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3560.30069233364
Pakistan,2017,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1634.95549809172
Pakistan,2017,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1508.07965808023
Pakistan,2017,Afghanistan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1390.08139058008
Pakistan,2017,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1286.4906287545
Pakistan,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,15383.3978032361
Pakistan,2017,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,7523.99444249576
Pakistan,2017,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2842.5467602097
Pakistan,2017,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2730.37130427203
Pakistan,2017,Indonesia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2583.26702214447
Pakistan,2017,World,Animal,Export,Export(US$ Mil),689.287429282285
Pakistan,2017,World,Vegetable,Export,Export(US$ Mil),2659.17266424217
Pakistan,2017,World,Food Products,Export,Export(US$ Mil),1125.0994551986
Pakistan,2017,World,Minerals,Export,Export(US$ Mil),498.363397998669
Pakistan,2017,World,Fuels,Export,Export(US$ Mil),258.510962496914
Pakistan,2017,World,Chemicals,Export,Export(US$ Mil),417.398922674807
Pakistan,2017,World,Plastic or Rubber,Export,Export(US$ Mil),299.034458700645
Pakistan,2017,World,Hides and Skins,Export,Export(US$ Mil),967.383156024489
Pakistan,2017,World,Wood,Export,Export(US$ Mil),149.660534373662
Pakistan,2017,World,Textiles and Clothing,Export,Export(US$ Mil),13001.8015041898
Pakistan,2017,World,Footwear,Export,Export(US$ Mil),101.684308321575
Pakistan,2017,World,Stone and Glass,Export,Export(US$ Mil),64.883850754658
Pakistan,2017,World,Metals,Export,Export(US$ Mil),421.266873255135
Pakistan,2017,World,Mach and Elec,Export,Export(US$ Mil),274.692503020042
Pakistan,2017,World,Transportation,Export,Export(US$ Mil),81.2083052249664
Pakistan,2017,World,Miscellaneous,Export,Export(US$ Mil),868.338838683951
Pakistan,2017,World,Raw materials,Export,Export(US$ Mil),2020.56660697117
Pakistan,2017,World,Intermediate goods,Export,Export(US$ Mil),5677.34695402597
Pakistan,2017,World,Consumer goods,Export,Export(US$ Mil),13293.1738095957
Pakistan,2017,World,Capital goods,Export,Export(US$ Mil),885.565141611816
