Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Panama,2016,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2307.907929
Panama,2016,Colombia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1063.7784
Panama,2016,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1003.87018
Panama,2016,Costa Rica,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,752.971343
Panama,2016,Venezuela,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,602.271296
Panama,2016,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2894.238038
Panama,2016,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1748.889077
Panama,2016,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,880.418203
Panama,2016,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,481.362579
Panama,2016,Vietnam,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,314.241651
Panama,2016,World,Animal,Export,Export(US$ Mil),185.215159
Panama,2016,World,Vegetable,Export,Export(US$ Mil),181.603475
Panama,2016,World,Food Products,Export,Export(US$ Mil),605.735106
Panama,2016,World,Minerals,Export,Export(US$ Mil),1.104189
Panama,2016,World,Fuels,Export,Export(US$ Mil),2.308148
Panama,2016,World,Chemicals,Export,Export(US$ Mil),4055.538992
Panama,2016,World,Plastic or Rubber,Export,Export(US$ Mil),363.465836
Panama,2016,World,Hides and Skins,Export,Export(US$ Mil),157.433845
Panama,2016,World,Wood,Export,Export(US$ Mil),123.666042
Panama,2016,World,Textiles and Clothing,Export,Export(US$ Mil),1502.920121
Panama,2016,World,Footwear,Export,Export(US$ Mil),897.643303
Panama,2016,World,Stone and Glass,Export,Export(US$ Mil),239.208585
Panama,2016,World,Metals,Export,Export(US$ Mil),302.593904
Panama,2016,World,Mach and Elec,Export,Export(US$ Mil),1851.491814
Panama,2016,World,Transportation,Export,Export(US$ Mil),207.794748
Panama,2016,World,Miscellaneous,Export,Export(US$ Mil),517.208107
Panama,2016,World,Raw materials,Export,Export(US$ Mil),431.29626
Panama,2016,World,Intermediate goods,Export,Export(US$ Mil),2337.107349
Panama,2016,World,Consumer goods,Export,Export(US$ Mil),6770.44519999999
Panama,2016,World,Capital goods,Export,Export(US$ Mil),1655.290468
Panama,2016,World,Raw materials,Import,Import(US$ Mil),24.302033
Panama,2016,World,Intermediate goods,Import,Import(US$ Mil),2115.749637
Panama,2016,World,Consumer goods,Import,Import(US$ Mil),5706.48038999999
Panama,2016,World,Capital goods,Import,Import(US$ Mil),1390.509642
Panama,2016,World,All Products,Export,Exports (in US$ Mil),11194.931374
Panama,2016,World,All Products,Import,Imports (in US$ Mil),9238.038728
