Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Palau,2017,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2.49542329
Palau,2017,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1.49910869
Palau,2017,Guam,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.93187797
Palau,2017,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.54014764
Palau,2017,Australia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.53439
Palau,2017,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,56.5628455400001
Palau,2017,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,24.09423067
Palau,2017,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,19.79216121
Palau,2017,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,11.54234771
Palau,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,11.44582483
Palau,2017,World,Animal,Export,Export(US$ Mil),1.29148606
Palau,2017,World,Vegetable,Export,Export(US$ Mil),0.00216
Palau,2017,World,Food Products,Export,Export(US$ Mil),0.10360315
Palau,2017,World,Minerals,Export,Export(US$ Mil),0.04478
Palau,2017,World,Fuels,Export,Export(US$ Mil),0.02946121
Palau,2017,World,Chemicals,Export,Export(US$ Mil),0.00135669
Palau,2017,World,Plastic or Rubber,Export,Export(US$ Mil),0.01964963
Palau,2017,World,Hides and Skins,Export,Export(US$ Mil),0.0032659
Palau,2017,World,Wood,Export,Export(US$ Mil),0.06530553
Palau,2017,World,Textiles and Clothing,Export,Export(US$ Mil),0.01665808
Palau,2017,World,Footwear,Export,Export(US$ Mil),0.0029004
Palau,2017,World,Stone and Glass,Export,Export(US$ Mil),0.00581952
Palau,2017,World,Metals,Export,Export(US$ Mil),0.40620473
Palau,2017,World,Mach and Elec,Export,Export(US$ Mil),2.07871483
Palau,2017,World,Transportation,Export,Export(US$ Mil),1.15538043
Palau,2017,World,Miscellaneous,Export,Export(US$ Mil),1.1930137
Palau,2017,World,Raw materials,Export,Export(US$ Mil),1.50723356
Palau,2017,World,Intermediate goods,Export,Export(US$ Mil),0.04134387
Palau,2017,World,Consumer goods,Export,Export(US$ Mil),0.50359049
Palau,2017,World,Capital goods,Export,Export(US$ Mil),4.36759194
Palau,2017,World,Raw materials,Import,Import(US$ Mil),10.22284859
Palau,2017,World,Intermediate goods,Import,Import(US$ Mil),15.4511241
Palau,2017,World,Consumer goods,Import,Import(US$ Mil),97.9896250899998
Palau,2017,World,Capital goods,Import,Import(US$ Mil),33.66079676
Palau,2017,World,All Products,Export,Exports (in US$ Mil),6.41975986
Palau,2017,World,All Products,Import,Imports (in US$ Mil),157.81325684
Palau,2017,World,All Products,Tariff,Duty Free Imports (US$ Thousand),30863.98072
Palau,2017,...,...,Development,Trade Balance (current US$ Mil),-76.821704387665
Palau,2017,...,...,Development,GDP (current US$ Mil),289.8235
Palau,2017,...,...,Tariff,No. Of Tariff Agreement,1
Palau,2017,...,...,Import,No. Of Import partners,104
Palau,2017,...,...,Import,No. Of Import products,2940
Palau,2017,...,...,Export,No. Of Export partners,13
Palau,2017,...,...,Export,No. Of Export products,249
Palau,2016,...,...,Others,Population,21503
Palau,2018,...,...,Others,Ease of Doing Business Rank,130
Palau,2018,...,...,Others,Trading Across Borders Rank,133
Palau,2017,Unspecified,All Products,Export,Partner share(%)-Top 5 Export Partner,38.871
Palau,2017,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,23.3515
Palau,2017,Guam,All Products,Export,Partner share(%)-Top 5 Export Partner,14.5158
Palau,2017,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,8.4138
Palau,2017,Australia,All Products,Export,Partner share(%)-Top 5 Export Partner,8.3241
Palau,2017,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,35.8416
Palau,2017,Singapore,All Products,Import,Partner share(%)-Top 5 Import Partner,15.2676
Palau,2017,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,12.5415
Palau,2017,"Korea, Rep.",All Products,Import,Partner share(%)-Top 5 Import Partner,7.3139
