Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Poland,2017,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,60209.648682
Poland,2017,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,14071.242382
Poland,2017,Czech Republic,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,14051.808077
Poland,2017,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,12342.727538
Poland,2017,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,10856.023169
Poland,2017,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,49468.64705
Poland,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,26474.287437
Poland,2017,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,14760.995485
Poland,2017,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,10934.773901
Poland,2017,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,8396.152697
Poland,2017,World,Animal,Export,Export(US$ Mil),9637.47244
Poland,2017,World,Vegetable,Export,Export(US$ Mil),5006.325112
Poland,2017,World,Food Products,Export,Export(US$ Mil),14970.482771
Poland,2017,World,Minerals,Export,Export(US$ Mil),362.299238
Poland,2017,World,Fuels,Export,Export(US$ Mil),5638.20395
Poland,2017,World,Chemicals,Export,Export(US$ Mil),16207.249364
Poland,2017,World,Plastic or Rubber,Export,Export(US$ Mil),15587.345705
Poland,2017,World,Hides and Skins,Export,Export(US$ Mil),1055.856555
Poland,2017,World,Wood,Export,Export(US$ Mil),11479.580321
Poland,2017,World,Textiles and Clothing,Export,Export(US$ Mil),7903.797138
Poland,2017,World,Footwear,Export,Export(US$ Mil),1636.873871
Poland,2017,World,Stone and Glass,Export,Export(US$ Mil),5317.454591
Poland,2017,World,Metals,Export,Export(US$ Mil),21872.441562
Poland,2017,World,Mach and Elec,Export,Export(US$ Mil),53175.64952
Poland,2017,World,Transportation,Export,Export(US$ Mil),31378.628033
Poland,2017,World,Miscellaneous,Export,Export(US$ Mil),20077.961131
Poland,2017,World,Raw materials,Export,Export(US$ Mil),14075.812803
Poland,2017,World,Intermediate goods,Export,Export(US$ Mil),40967.430772
Poland,2017,World,Consumer goods,Export,Export(US$ Mil),100589.625484
Poland,2017,World,Capital goods,Export,Export(US$ Mil),65396.097204
Poland,2017,World,Raw materials,Import,Import(US$ Mil),23732.488499
Poland,2017,World,Intermediate goods,Import,Import(US$ Mil),53594.4744209999
Poland,2017,World,Consumer goods,Import,Import(US$ Mil),72036.676728
Poland,2017,World,Capital goods,Import,Import(US$ Mil),65414.679029
Poland,2017,World,All Products,Export,Exports (in US$ Mil),221307.621302
Poland,2017,World,All Products,Import,Imports (in US$ Mil),217978.575741
Poland,2003,World,All Products,Tariff,Duty Free Imports (US$ Thousand),56352513
Poland,2017,...,...,Development,Trade Balance (current US$ Mil),21175.053604045
Poland,2017,...,...,Development,GDP (current US$ Mil),526465.839002568
Poland,2003,...,...,Tariff,No. Of Tariff Agreement,18
Poland,2017,...,...,Import,No. Of Import partners,233
Poland,2017,...,...,Import,No. Of Import products,4505
Poland,2017,...,...,Export,No. Of Export partners,224
Poland,2017,...,...,Export,No. Of Export products,4389
Poland,2016,...,...,Others,Population,37970087
Poland,2018,...,...,Others,Ease of Doing Business Rank,27
Poland,2018,...,...,Others,Trading Across Borders Rank,1
Poland,2016,...,...,Others,LPI Rank,33
Poland,2016,...,...,Others,LPI Score,3.425877
Poland,,...,...,Others,Services Trade Restrictions Index - Over All,11
Poland,2017,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,27.2063
Poland,2017,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,6.3582
Poland,2017,Czech Republic,All Products,Export,Partner share(%)-Top 5 Export Partner,6.3494
Poland,2017,France,All Products,Export,Partner share(%)-Top 5 Export Partner,5.5772
Poland,2017,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,4.9054
Poland,2017,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,22.6943
Poland,2017,China,All Products,Import,Partner share(%)-Top 5 Import Partner,12.1454
Poland,2017,Russian Federation,All Products,Import,Partner share(%)-Top 5 Import Partner,6.7718
Poland,2017,Italy,All Products,Import,Partner share(%)-Top 5 Import Partner,5.0164
Poland,2017,France,All Products,Import,Partner share(%)-Top 5 Import Partner,3.8518
Poland,2017,World,Animal,Export,Export Product share(%),4.3548
Poland,2017,World,Vegetable,Export,Export Product share(%),2.2622
Poland,2017,World,Food Products,Export,Export Product share(%),6.7646
Poland,2017,World,Minerals,Export,Export Product share(%),0.1637
Poland,2017,World,Fuels,Export,Export Product share(%),2.5477
Poland,2017,World,Chemicals,Export,Export Product share(%),7.3234
Poland,2017,World,Plastic or Rubber,Export,Export Product share(%),7.0433
Poland,2017,World,Hides and Skins,Export,Export Product share(%),0.4771
Poland,2017,World,Wood,Export,Export Product share(%),5.1872
Poland,2017,World,Textiles and Clothing,Export,Export Product share(%),3.5714
Poland,2017,World,Footwear,Export,Export Product share(%),0.7396
Poland,2017,World,Stone and Glass,Export,Export Product share(%),2.4027
Poland,2017,World,Metals,Export,Export Product share(%),9.8833
Poland,2017,World,Mach and Elec,Export,Export Product share(%),24.0279
Poland,2017,World,Transportation,Export,Export Product share(%),14.1787
Poland,2017,World,Miscellaneous,Export,Export Product share(%),9.0724
Poland,2017,World,Raw materials,Export,Export Product share(%),6.3603
Poland,2017,World,Intermediate goods,Export,Export Product share(%),18.5115
Poland,2017,World,Consumer goods,Export,Export Product share(%),45.4524
Poland,2017,World,Capital goods,Export,Export Product share(%),29.5499
Poland,2017,World,Raw materials,Import,Import Product share(%),10.8875
Poland,2017,World,Intermediate goods,Import,Import Product share(%),24.587
Poland,2017,World,Consumer goods,Import,Import Product share(%),33.0476
Poland,2017,World,Capital goods,Import,Import Product share(%),30.0097
Poland,2003,World,Raw materials,Tariff,Weighted Average (%),6.23976241296234
Poland,2003,World,Intermediate goods,Tariff,Weighted Average (%),1.7793923203074
Poland,2003,World,Consumer goods,Tariff,Weighted Average (%),3.20649959171464
Poland,2003,World,Capital goods,Tariff,Weighted Average (%),0.844252340869485
Poland,2017,World,All Products,Trade Indicator,World Growth (%),1.50064825967466
Poland,2017,World,All Products,Trade Indicator,Country Growth (%),5.68687656211779
Poland,2003,World,All Products,Tariff,Simple Average (%),4.44158640063168
Poland,2003,World,All Products,Tariff,Weighted Average (%),2.36476239436885
Poland,2003,World,All Products,Tariff,Maximum Rate (%),284.915191650391
Poland,2003,World,All Products,Tariff,Duty Free Tariff Lines Share (%),66.7382425537096
Poland,2017,...,...,Trade Indicator,Index of export market penetration,18.7491615010791
Poland,2017,...,...,Trade Indicator,HH Market concentration index,0.0890689155413233
Poland,2017,...,...,Development,Trade Balance (% of GDP),4.0221135039194
Poland,2017,...,...,Development,Trade in services (% of GDP),18.4574178989657
Poland,2017,...,...,Development,Trade (% of GDP),104.55810702775
Poland,2017,...,...,Development,"GNI per capita, Atlas method (current US$)",12730
