Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Portugal,2017,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,15670.4636718988
Portugal,2017,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,7776.95112995145
Portugal,2017,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,7041.08206375365
Portugal,2017,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4116.78775856373
Portugal,2017,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3213.04091295417
Portugal,2017,Spain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,24895.5248793496
Portugal,2017,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,10681.0984477671
Portugal,2017,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5751.92641276684
Portugal,2017,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4254.87505003551
Portugal,2017,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4164.6226790629
Portugal,2017,World,Animal,Export,Export(US$ Mil),1737.81220332688
Portugal,2017,World,Vegetable,Export,Export(US$ Mil),2338.4130604764
Portugal,2017,World,Food Products,Export,Export(US$ Mil),3720.87818424434
Portugal,2017,World,Minerals,Export,Export(US$ Mil),831.585781641601
Portugal,2017,World,Fuels,Export,Export(US$ Mil),4545.43730324983
Portugal,2017,World,Chemicals,Export,Export(US$ Mil),3103.94321390959
Portugal,2017,World,Plastic or Rubber,Export,Export(US$ Mil),4727.52664376751
Portugal,2017,World,Hides and Skins,Export,Export(US$ Mil),315.07040227451
Portugal,2017,World,Wood,Export,Export(US$ Mil),4719.12244401102
Portugal,2017,World,Textiles and Clothing,Export,Export(US$ Mil),5906.25759487151
Portugal,2017,World,Footwear,Export,Export(US$ Mil),2335.3471874229
Portugal,2017,World,Stone and Glass,Export,Export(US$ Mil),2336.0308906117
Portugal,2017,World,Metals,Export,Export(US$ Mil),4894.16675399325
Portugal,2017,World,Mach and Elec,Export,Export(US$ Mil),9523.56074406246
Portugal,2017,World,Transportation,Export,Export(US$ Mil),7410.48406068772
Portugal,2017,World,Miscellaneous,Export,Export(US$ Mil),3724.26315988705
Portugal,2017,World,Raw materials,Export,Export(US$ Mil),4279.02027980193
Portugal,2017,World,Intermediate goods,Export,Export(US$ Mil),13936.7952246534
Portugal,2017,World,Consumer goods,Export,Export(US$ Mil),30735.3466145758
Portugal,2017,World,Capital goods,Export,Export(US$ Mil),13113.6714462663
Portugal,2017,World,Raw materials,Import,Import(US$ Mil),13374.6493595096
Portugal,2017,World,Intermediate goods,Import,Import(US$ Mil),18309.5952223328
Portugal,2017,World,Consumer goods,Import,Import(US$ Mil),27990.4704535157
Portugal,2017,World,Capital goods,Import,Import(US$ Mil),18158.8114566629
Portugal,2017,World,All Products,Export,Exports (in US$ Mil),62169.8996284382
Portugal,2017,World,All Products,Import,Imports (in US$ Mil),77833.7921507642
Portugal,2017,...,...,Development,Trade Balance (current US$ Mil),2240.5113568452
Portugal,2017,...,...,Development,GDP (current US$ Mil),217571.08304599
Portugal,2017,...,...,Import,No. Of Import partners,184
Portugal,2017,...,...,Import,No. Of Import products,4463
