Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Occ.Pal.Terr,2016,Israel,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,770.811892
Occ.Pal.Terr,2016,Jordan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,51.479356
Occ.Pal.Terr,2016,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,23.268109
Occ.Pal.Terr,2016,Saudi Arabia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,18.336362
Occ.Pal.Terr,2016,Kuwait,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,10.90647
Occ.Pal.Terr,2016,Israel,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3123.19034
Occ.Pal.Terr,2016,Turkey,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,476.686635
Occ.Pal.Terr,2016,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,382.679222
Occ.Pal.Terr,2016,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,185.94726
Occ.Pal.Terr,2016,Jordan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,131.525281
Occ.Pal.Terr,2016,World,Animal,Export,Export(US$ Mil),5.133941
Occ.Pal.Terr,2016,World,Vegetable,Export,Export(US$ Mil),165.830984
Occ.Pal.Terr,2016,World,Food Products,Export,Export(US$ Mil),89.27097
Occ.Pal.Terr,2016,World,Minerals,Export,Export(US$ Mil),12.729853
Occ.Pal.Terr,2016,World,Fuels,Export,Export(US$ Mil),1.522074
Occ.Pal.Terr,2016,World,Chemicals,Export,Export(US$ Mil),34.879268
Occ.Pal.Terr,2016,World,Plastic or Rubber,Export,Export(US$ Mil),86.040894
Occ.Pal.Terr,2016,World,Hides and Skins,Export,Export(US$ Mil),2.48918
Occ.Pal.Terr,2016,World,Wood,Export,Export(US$ Mil),46.870589
Occ.Pal.Terr,2016,World,Textiles and Clothing,Export,Export(US$ Mil),12.956435
Occ.Pal.Terr,2016,World,Footwear,Export,Export(US$ Mil),33.486965
Occ.Pal.Terr,2016,World,Stone and Glass,Export,Export(US$ Mil),205.128032
Occ.Pal.Terr,2016,World,Metals,Export,Export(US$ Mil),89.414395
Occ.Pal.Terr,2016,World,Mach and Elec,Export,Export(US$ Mil),18.633507
Occ.Pal.Terr,2016,World,Transportation,Export,Export(US$ Mil),12.491427
Occ.Pal.Terr,2016,World,Miscellaneous,Export,Export(US$ Mil),109.620465
Occ.Pal.Terr,2016,World,Raw materials,Export,Export(US$ Mil),143.051145
Occ.Pal.Terr,2016,World,Intermediate goods,Export,Export(US$ Mil),144.3495
Occ.Pal.Terr,2016,World,Consumer goods,Export,Export(US$ Mil),604.760657
Occ.Pal.Terr,2016,World,Capital goods,Export,Export(US$ Mil),34.337674
Occ.Pal.Terr,2016,World,Raw materials,Import,Import(US$ Mil),587.815057
Occ.Pal.Terr,2016,World,Intermediate goods,Import,Import(US$ Mil),1676.594962
Occ.Pal.Terr,2016,World,Consumer goods,Import,Import(US$ Mil),2470.533914
Occ.Pal.Terr,2016,World,Capital goods,Import,Import(US$ Mil),628.702406000001
Occ.Pal.Terr,2016,World,All Products,Export,Exports (in US$ Mil),926.498977
Occ.Pal.Terr,2016,World,All Products,Import,Imports (in US$ Mil),5363.768017
Occ.Pal.Terr,2016,World,All Products,Tariff,Duty Free Imports (US$ Thousand),4186070.719
Occ.Pal.Terr,2017,...,...,Development,Trade Balance (current US$ Mil),-5374
Occ.Pal.Terr,2017,...,...,Development,GDP (current US$ Mil),14498.1
Occ.Pal.Terr,2016,...,...,Tariff,No. Of Tariff Agreement,13
Occ.Pal.Terr,2016,...,...,Import,No. Of Import partners,118
Occ.Pal.Terr,2016,...,...,Import,No. Of Import products,3132
Occ.Pal.Terr,2016,...,...,Export,No. Of Export partners,61
Occ.Pal.Terr,2016,...,...,Export,No. Of Export products,1096
Occ.Pal.Terr,2016,...,...,Others,Population,4551566
Occ.Pal.Terr,2016,Israel,All Products,Export,Partner share(%)-Top 5 Export Partner,83.1962
Occ.Pal.Terr,2016,Jordan,All Products,Export,Partner share(%)-Top 5 Export Partner,5.5563
Occ.Pal.Terr,2016,United Arab Emirates,All Products,Export,Partner share(%)-Top 5 Export Partner,2.5114
Occ.Pal.Terr,2016,Saudi Arabia,All Products,Export,Partner share(%)-Top 5 Export Partner,1.9791
Occ.Pal.Terr,2016,Kuwait,All Products,Export,Partner share(%)-Top 5 Export Partner,1.1772
Occ.Pal.Terr,2016,Israel,All Products,Import,Partner share(%)-Top 5 Import Partner,58.2275
Occ.Pal.Terr,2016,Turkey,All Products,Import,Partner share(%)-Top 5 Import Partner,8.8872
Occ.Pal.Terr,2016,China,All Products,Import,Partner share(%)-Top 5 Import Partner,7.1345
Occ.Pal.Terr,2016,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,3.4667
Occ.Pal.Terr,2016,Jordan,All Products,Import,Partner share(%)-Top 5 Import Partner,2.4521
Occ.Pal.Terr,2016,World,Animal,Export,Export Product share(%),0.5541
Occ.Pal.Terr,2016,World,Vegetable,Export,Export Product share(%),17.8987
Occ.Pal.Terr,2016,World,Food Products,Export,Export Product share(%),9.6353
Occ.Pal.Terr,2016,World,Minerals,Export,Export Product share(%),1.374
Occ.Pal.Terr,2016,World,Fuels,Export,Export Product share(%),0.1643
Occ.Pal.Terr,2016,World,Chemicals,Export,Export Product share(%),3.7646
Occ.Pal.Terr,2016,World,Plastic or Rubber,Export,Export Product share(%),9.2867
Occ.Pal.Terr,2016,World,Hides and Skins,Export,Export Product share(%),0.2687
Occ.Pal.Terr,2016,World,Wood,Export,Export Product share(%),5.0589
Occ.Pal.Terr,2016,World,Textiles and Clothing,Export,Export Product share(%),1.3984
Occ.Pal.Terr,2016,World,Footwear,Export,Export Product share(%),3.6144
