Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Qatar,2016,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,10935.048378
Qatar,2016,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,8968.702236
Qatar,2016,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,7380.697039
Qatar,2016,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4485.833855
Qatar,2016,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3757.004078
Qatar,2016,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4606.48717
Qatar,2016,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3320.17208
Qatar,2016,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2970.442049
Qatar,2016,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2914.312883
Qatar,2016,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2140.018667
Qatar,2016,World,Animal,Export,Export(US$ Mil),0.926883
Qatar,2016,World,Vegetable,Export,Export(US$ Mil),10.67534
Qatar,2016,World,Food Products,Export,Export(US$ Mil),5.009452
Qatar,2016,World,Minerals,Export,Export(US$ Mil),199.256362
Qatar,2016,World,Fuels,Export,Export(US$ Mil),46739.272953
Qatar,2016,World,Chemicals,Export,Export(US$ Mil),174.39918
Qatar,2016,World,Plastic or Rubber,Export,Export(US$ Mil),0.425648
Qatar,2016,World,Hides and Skins,Export,Export(US$ Mil),1.919295
Qatar,2016,World,Wood,Export,Export(US$ Mil),2.618048
Qatar,2016,World,Textiles and Clothing,Export,Export(US$ Mil),1.652955
Qatar,2016,World,Footwear,Export,Export(US$ Mil),0.171344
Qatar,2016,World,Stone and Glass,Export,Export(US$ Mil),0.995546
Qatar,2016,World,Metals,Export,Export(US$ Mil),56.447891
Qatar,2016,World,Mach and Elec,Export,Export(US$ Mil),0.133683
Qatar,2016,World,Transportation,Export,Export(US$ Mil),7.374111
Qatar,2016,World,Miscellaneous,Export,Export(US$ Mil),10109.269654
Qatar,2016,World,Raw materials,Export,Export(US$ Mil),9103.653503
Qatar,2016,World,Intermediate goods,Export,Export(US$ Mil),186.959083
Qatar,2016,World,Consumer goods,Export,Export(US$ Mil),37903.586919
Qatar,2016,World,Capital goods,Export,Export(US$ Mil),33.586638
Qatar,2016,World,Raw materials,Import,Import(US$ Mil),2553.804174
Qatar,2016,World,Intermediate goods,Import,Import(US$ Mil),6079.78999499999
Qatar,2016,World,Consumer goods,Import,Import(US$ Mil),11248.104342
Qatar,2016,World,Capital goods,Import,Import(US$ Mil),11061.301279
Qatar,2016,World,All Products,Export,Exports (in US$ Mil),57310.548345
Qatar,2016,World,All Products,Import,Imports (in US$ Mil),32060.069584
Qatar,2016,World,All Products,Tariff,Duty Free Imports (US$ Thousand),10543589.2
Qatar,2017,...,...,Development,Trade Balance (current US$ Mil),23011.8131868132
Qatar,2017,...,...,Development,GDP (current US$ Mil),166928.571428571
Qatar,2016,...,...,Tariff,No. Of Tariff Agreement,5
Qatar,2016,...,...,Import,No. Of Import partners,114
Qatar,2016,...,...,Import,No. Of Import products,3865
Qatar,2016,...,...,Export,No. Of Export partners,159
Qatar,2016,...,...,Export,No. Of Export products,92
Qatar,2016,...,...,Others,Population,2569804
Qatar,2018,...,...,Others,Ease of Doing Business Rank,83
Qatar,2018,...,...,Others,Trading Across Borders Rank,90
Qatar,2016,...,...,Others,LPI Rank,30
Qatar,2016,...,...,Others,LPI Score,3.599232
Qatar,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0388586
Qatar,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0469342
Qatar,,...,...,Others,Services Trade Restrictions Index - Over All,60.1
Qatar,2016,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,19.0803
Qatar,2016,"Korea, Rep.",All Products,Export,Partner share(%)-Top 5 Export Partner,15.6493
Qatar,2016,India,All Products,Export,Partner share(%)-Top 5 Export Partner,12.8784
Qatar,2016,China,All Products,Export,Partner share(%)-Top 5 Export Partner,7.8272
Qatar,2016,United Arab Emirates,All Products,Export,Partner share(%)-Top 5 Export Partner,6.5555
Qatar,2016,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,14.3683
Qatar,2016,China,All Products,Import,Partner share(%)-Top 5 Import Partner,10.3561
Qatar,2016,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,9.2652
Qatar,2016,United Arab Emirates,All Products,Import,Partner share(%)-Top 5 Import Partner,9.0902
Qatar,2016,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,6.675
Qatar,2016,World,Animal,Export,Export Product share(%),0.0016
Qatar,2016,World,Vegetable,Export,Export Product share(%),0.0186
Qatar,2016,World,Food Products,Export,Export Product share(%),0.0087
Qatar,2016,World,Minerals,Export,Export Product share(%),0.3477
Qatar,2016,World,Fuels,Export,Export Product share(%),81.5544
Qatar,2016,World,Chemicals,Export,Export Product share(%),0.3043
Qatar,2016,World,Plastic or Rubber,Export,Export Product share(%),0.0007
Qatar,2016,World,Hides and Skins,Export,Export Product share(%),0.0033
Qatar,2016,World,Wood,Export,Export Product share(%),0.0046
Qatar,2016,World,Textiles and Clothing,Export,Export Product share(%),0.0029
Qatar,2016,World,Footwear,Export,Export Product share(%),0.0003
Qatar,2016,World,Stone and Glass,Export,Export Product share(%),0.0017
Qatar,2016,World,Metals,Export,Export Product share(%),0.0985
Qatar,2016,World,Mach and Elec,Export,Export Product share(%),0.0002
Qatar,2016,World,Transportation,Export,Export Product share(%),0.0129
Qatar,2016,World,Miscellaneous,Export,Export Product share(%),17.6395
Qatar,2016,World,Raw materials,Export,Export Product share(%),15.8848
Qatar,2016,World,Intermediate goods,Export,Export Product share(%),0.3262
Qatar,2016,World,Consumer goods,Export,Export Product share(%),66.1372
Qatar,2016,World,Capital goods,Export,Export Product share(%),0.0586
Qatar,2016,World,Raw materials,Import,Import Product share(%),7.9657
Qatar,2016,World,Intermediate goods,Import,Import Product share(%),18.9637
Qatar,2016,World,Consumer goods,Import,Import Product share(%),35.0845
Qatar,2016,World,Capital goods,Import,Import Product share(%),34.5018
Qatar,2016,World,Raw materials,Tariff,Weighted Average (%),1.68757630729435
Qatar,2016,World,Intermediate goods,Tariff,Weighted Average (%),3.528409321876
Qatar,2016,World,Consumer goods,Tariff,Weighted Average (%),3.59328506941956
Qatar,2016,World,Capital goods,Tariff,Weighted Average (%),3.49136139031092
Qatar,2016,World,All Products,Trade Indicator,World Growth (%),-1.59063243474449
Qatar,2016,World,All Products,Trade Indicator,Country Growth (%),-15.0500284746092
Qatar,2016,World,All Products,Tariff,Simple Average (%),3.68366409246157
Qatar,2016,World,All Products,Tariff,Weighted Average (%),3.36781196007591
Qatar,2016,World,All Products,Tariff,Maximum Rate (%),100
Qatar,2016,World,All Products,Tariff,Duty Free Tariff Lines Share (%),28.0770743216673
Qatar,2016,...,...,Trade Indicator,Index of export market penetration,2.87108528312498
Qatar,2016,...,...,Trade Indicator,HH Market concentration index,0.0982017473304653
Qatar,2017,...,...,Development,Trade Balance (% of GDP),13.7854251012146
Qatar,2017,...,...,Development,Trade in services (% of GDP),29.4335275336559
Qatar,2017,...,...,Development,Trade (% of GDP),88.2994305651559
Qatar,2017,...,...,Development,"GNI per capita, Atlas method (current US$)",60510
