Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Romania,2017,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,16217.81221702
Romania,2017,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,7940.39346362
Romania,2017,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4776.14829212
Romania,2017,Hungary,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3320.94449481
Romania,2017,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2890.37010023
Romania,2017,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,17127.14366805
Romania,2017,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,8568.32853542
Romania,2017,Hungary,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,6379.74287222
Romania,2017,Poland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4659.98703454999
Romania,2017,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4520.40140774
Romania,2017,World,Animal,Export,Export(US$ Mil),1047.47881488
Romania,2017,World,Vegetable,Export,Export(US$ Mil),4197.4565471
Romania,2017,World,Food Products,Export,Export(US$ Mil),1972.97404559
Romania,2017,World,Minerals,Export,Export(US$ Mil),105.25710576
Romania,2017,World,Fuels,Export,Export(US$ Mil),2682.05703286
Romania,2017,World,Chemicals,Export,Export(US$ Mil),2231.16562237
Romania,2017,World,Plastic or Rubber,Export,Export(US$ Mil),4041.39420903
Romania,2017,World,Hides and Skins,Export,Export(US$ Mil),466.67283892
Romania,2017,World,Wood,Export,Export(US$ Mil),2449.06773186
Romania,2017,World,Textiles and Clothing,Export,Export(US$ Mil),4558.31118678
Romania,2017,World,Footwear,Export,Export(US$ Mil),1555.69218664
Romania,2017,World,Stone and Glass,Export,Export(US$ Mil),423.22516268
Romania,2017,World,Metals,Export,Export(US$ Mil),6000.04477995
Romania,2017,World,Mach and Elec,Export,Export(US$ Mil),19714.49824003
Romania,2017,World,Transportation,Export,Export(US$ Mil),12728.26679008
Romania,2017,World,Miscellaneous,Export,Export(US$ Mil),6453.32520545
Romania,2017,World,Raw materials,Export,Export(US$ Mil),5429.16087751
Romania,2017,World,Intermediate goods,Export,Export(US$ Mil),11028.96555371
Romania,2017,World,Consumer goods,Export,Export(US$ Mil),26938.27647971
Romania,2017,World,Capital goods,Export,Export(US$ Mil),25080.64659827
Romania,2017,World,Raw materials,Import,Import(US$ Mil),7946.86642272001
Romania,2017,World,Intermediate goods,Import,Import(US$ Mil),20012.81599796
Romania,2017,World,Consumer goods,Import,Import(US$ Mil),27684.76644128
Romania,2017,World,Capital goods,Import,Import(US$ Mil),26006.16930303
Romania,2017,World,All Products,Export,Exports (in US$ Mil),70626.88749998
Romania,2017,World,All Products,Import,Imports (in US$ Mil),85318.17745114
Romania,2005,World,All Products,Tariff,Duty Free Imports (US$ Thousand),29876480.052
Romania,2005,...,...,Tariff,No. Of Tariff Agreement,13
Romania,2017,...,...,Import,No. Of Import partners,173
Romania,2017,...,...,Import,No. Of Import products,4420
Romania,2017,...,...,Export,No. Of Export partners,200
Romania,2017,...,...,Export,No. Of Export products,3967
Romania,2018,...,...,Others,Ease of Doing Business Rank,45
Romania,2018,...,...,Others,Trading Across Borders Rank,1
Romania,2016,...,...,Others,LPI Rank,60
Romania,2016,...,...,Others,LPI Score,2.99312
Romania,,...,...,Others,Services Trade Restrictions Index - Over All,14.5
Romania,2017,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,22.9627
Romania,2017,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,11.2427
Romania,2017,France,All Products,Export,Partner share(%)-Top 5 Export Partner,6.7625
Romania,2017,Hungary,All Products,Export,Partner share(%)-Top 5 Export Partner,4.7021
Romania,2017,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,4.0925
Romania,2017,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,20.0744
Romania,2017,Italy,All Products,Import,Partner share(%)-Top 5 Import Partner,10.0428
Romania,2017,Hungary,All Products,Import,Partner share(%)-Top 5 Import Partner,7.4776
Romania,2017,Poland,All Products,Import,Partner share(%)-Top 5 Import Partner,5.4619
Romania,2017,France,All Products,Import,Partner share(%)-Top 5 Import Partner,5.2983
Romania,2017,World,Animal,Export,Export Product share(%),1.4831
Romania,2017,World,Vegetable,Export,Export Product share(%),5.9431
Romania,2017,World,Food Products,Export,Export Product share(%),2.7935
Romania,2017,World,Minerals,Export,Export Product share(%),0.149
Romania,2017,World,Fuels,Export,Export Product share(%),3.7975
