Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Russian Federation,2017,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,53485.24784756
Russian Federation,2017,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,37524.518656
Russian Federation,2017,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,34629.771934
Russian Federation,2017,Belarus,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,15537.356773
Russian Federation,2017,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,15490.522695
Russian Federation,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,48373.35322
Russian Federation,2017,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,22740.419051
Russian Federation,2017,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,12589.834013
Russian Federation,2017,Belarus,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,10691.594467
Russian Federation,2017,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,9841.237021
Russian Federation,2017,World,Animal,Export,Export(US$ Mil),3878.744653
Russian Federation,2017,World,Vegetable,Export,Export(US$ Mil),11914.890134
Russian Federation,2017,World,Food Products,Export,Export(US$ Mil),4939.813466
Russian Federation,2017,World,Minerals,Export,Export(US$ Mil),4115.09442
Russian Federation,2017,World,Fuels,Export,Export(US$ Mil),211993.270555
Russian Federation,2017,World,Chemicals,Export,Export(US$ Mil),16423.18294
Russian Federation,2017,World,Plastic or Rubber,Export,Export(US$ Mil),5954.331384
Russian Federation,2017,World,Hides and Skins,Export,Export(US$ Mil),285.76478
Russian Federation,2017,World,Wood,Export,Export(US$ Mil),12192.846022
Russian Federation,2017,World,Textiles and Clothing,Export,Export(US$ Mil),890.804445
Russian Federation,2017,World,Footwear,Export,Export(US$ Mil),198.661904
Russian Federation,2017,World,Stone and Glass,Export,Export(US$ Mil),12428.993059
Russian Federation,2017,World,Metals,Export,Export(US$ Mil),37251.428455
Russian Federation,2017,World,Mach and Elec,Export,Export(US$ Mil),12856.578968
Russian Federation,2017,World,Transportation,Export,Export(US$ Mil),7001.675492
Russian Federation,2017,World,Miscellaneous,Export,Export(US$ Mil),16825.89452256
Russian Federation,2017,World,Raw materials,Export,Export(US$ Mil),131253.805655
Russian Federation,2017,World,Intermediate goods,Export,Export(US$ Mil),75053.4850619999
Russian Federation,2017,World,Consumer goods,Export,Export(US$ Mil),119662.648922
Russian Federation,2017,World,Capital goods,Export,Export(US$ Mil),19034.961297
Russian Federation,2017,World,Raw materials,Import,Import(US$ Mil),18725.214249
Russian Federation,2017,World,Intermediate goods,Import,Import(US$ Mil),36460.22516
Russian Federation,2017,World,Consumer goods,Import,Import(US$ Mil),73889.6066747
Russian Federation,2017,World,Capital goods,Import,Import(US$ Mil),97421.5783530001
Russian Federation,2017,World,All Products,Export,Exports (in US$ Mil),359151.97519956
Russian Federation,2017,World,All Products,Import,Imports (in US$ Mil),228212.74997305
Russian Federation,2017,World,All Products,Tariff,Duty Free Imports (US$ Thousand),76831249.0207001
Russian Federation,2017,...,...,Development,Trade Balance (current US$ Mil),84414.872100756
Russian Federation,2017,...,...,Development,GDP (current US$ Mil),1577524.14596285
Russian Federation,2017,...,...,Tariff,No. Of Tariff Agreement,8
Russian Federation,2017,...,...,Import,No. Of Import partners,221
Russian Federation,2017,...,...,Import,No. Of Import products,4428
Russian Federation,2017,...,...,Export,No. Of Export partners,194
Russian Federation,2017,...,...,Export,No. Of Export products,4364
Russian Federation,2016,...,...,Others,Population,144342396
Russian Federation,2018,...,...,Others,Ease of Doing Business Rank,35
Russian Federation,2018,...,...,Others,Trading Across Borders Rank,100
Russian Federation,2016,...,...,Others,LPI Rank,99
Russian Federation,2016,...,...,Others,LPI Score,2.570864
Russian Federation,2013,...,...,Others,No Of NTM Affected Products (HS 6 Digit),55
Russian Federation,2013,...,...,Others,No Of NTM Measures,3
