Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Rwanda,2016,"Congo, Dem. Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,197.810196
Rwanda,2016,Kenya,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,99.459187
Rwanda,2016,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,87.025909
Rwanda,2016,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,54.905005
Rwanda,2016,Burundi,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,35.92325
Rwanda,2016,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,377.773207
Rwanda,2016,Uganda,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,199.798312
Rwanda,2016,Kenya,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,139.3544
Rwanda,2016,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,131.878501
Rwanda,2016,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,103.213217
Rwanda,2016,World,Animal,Export,Export(US$ Mil),10.786932
Rwanda,2016,World,Vegetable,Export,Export(US$ Mil),216.912845
Rwanda,2016,World,Food Products,Export,Export(US$ Mil),21.81892
Rwanda,2016,World,Minerals,Export,Export(US$ Mil),93.244932
Rwanda,2016,World,Fuels,Export,Export(US$ Mil),108.413093
Rwanda,2016,World,Chemicals,Export,Export(US$ Mil),8.189951
Rwanda,2016,World,Plastic or Rubber,Export,Export(US$ Mil),1.828291
Rwanda,2016,World,Hides and Skins,Export,Export(US$ Mil),9.431506
Rwanda,2016,World,Wood,Export,Export(US$ Mil),4.221007
Rwanda,2016,World,Textiles and Clothing,Export,Export(US$ Mil),7.150062
Rwanda,2016,World,Footwear,Export,Export(US$ Mil),3.691727
Rwanda,2016,World,Stone and Glass,Export,Export(US$ Mil),84.05885
Rwanda,2016,World,Metals,Export,Export(US$ Mil),8.417132
Rwanda,2016,World,Mach and Elec,Export,Export(US$ Mil),24.879478
Rwanda,2016,World,Transportation,Export,Export(US$ Mil),11.649316
Rwanda,2016,World,Miscellaneous,Export,Export(US$ Mil),6.911753
Rwanda,2016,World,Raw materials,Export,Export(US$ Mil),178.299667
Rwanda,2016,World,Intermediate goods,Export,Export(US$ Mil),144.862955
Rwanda,2016,World,Consumer goods,Export,Export(US$ Mil),269.496943
Rwanda,2016,World,Capital goods,Export,Export(US$ Mil),28.94624
Rwanda,2016,World,Raw materials,Import,Import(US$ Mil),134.823633
Rwanda,2016,World,Intermediate goods,Import,Import(US$ Mil),381.379662
Rwanda,2016,World,Consumer goods,Import,Import(US$ Mil),751.264009
Rwanda,2016,World,Capital goods,Import,Import(US$ Mil),510.701279999999
Rwanda,2016,World,All Products,Export,Exports (in US$ Mil),621.605794
Rwanda,2016,World,All Products,Import,Imports (in US$ Mil),1778.279113
Rwanda,2016,World,All Products,Tariff,Duty Free Imports (US$ Thousand),1083773.917
Rwanda,2017,...,...,Development,Trade Balance (current US$ Mil),-1327.5424052395
Rwanda,2017,...,...,Development,GDP (current US$ Mil),9135.45444214013
Rwanda,2016,...,...,Tariff,No. Of Tariff Agreement,5
Rwanda,2016,...,...,Import,No. Of Import partners,160
Rwanda,2016,...,...,Import,No. Of Import products,3463
Rwanda,2016,...,...,Export,No. Of Export partners,117
Rwanda,2016,...,...,Export,No. Of Export products,1147
Rwanda,2016,...,...,Others,Population,11917508
