Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Saudi Arabia,2016,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,164153.9650995
Saudi Arabia,2016,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6566.82363822
Saudi Arabia,2016,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4135.62169925
Saudi Arabia,2016,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2458.21826652
Saudi Arabia,2016,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2218.99850505
Saudi Arabia,2016,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,18840.78926784
Saudi Arabia,2016,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,17342.4413039
Saudi Arabia,2016,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,8181.05947607
Saudi Arabia,2016,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,7176.13133192
Saudi Arabia,2016,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,6929.71527932
Saudi Arabia,2016,World,Animal,Export,Export(US$ Mil),1556.83099821
Saudi Arabia,2016,World,Vegetable,Export,Export(US$ Mil),587.82631219
Saudi Arabia,2016,World,Food Products,Export,Export(US$ Mil),1500.33544325
Saudi Arabia,2016,World,Minerals,Export,Export(US$ Mil),285.23768603
Saudi Arabia,2016,World,Fuels,Export,Export(US$ Mil),163684.15076258
Saudi Arabia,2016,World,Chemicals,Export,Export(US$ Mil),11490.03057401
Saudi Arabia,2016,World,Plastic or Rubber,Export,Export(US$ Mil),14499.80980445
Saudi Arabia,2016,World,Hides and Skins,Export,Export(US$ Mil),66.64994754
Saudi Arabia,2016,World,Wood,Export,Export(US$ Mil),954.42383764
Saudi Arabia,2016,World,Textiles and Clothing,Export,Export(US$ Mil),488.02618316
Saudi Arabia,2016,World,Footwear,Export,Export(US$ Mil),28.84776653
Saudi Arabia,2016,World,Stone and Glass,Export,Export(US$ Mil),1533.2346975
Saudi Arabia,2016,World,Metals,Export,Export(US$ Mil),3670.9608124
Saudi Arabia,2016,World,Mach and Elec,Export,Export(US$ Mil),2629.37016511
Saudi Arabia,2016,World,Transportation,Export,Export(US$ Mil),3979.81536097
Saudi Arabia,2016,World,Miscellaneous,Export,Export(US$ Mil),616.5895481
Saudi Arabia,2016,World,Raw materials,Export,Export(US$ Mil),138212.5903358
Saudi Arabia,2016,World,Intermediate goods,Export,Export(US$ Mil),28623.25059033
Saudi Arabia,2016,World,Consumer goods,Export,Export(US$ Mil),35016.92682622
Saudi Arabia,2016,World,Capital goods,Export,Export(US$ Mil),5480.55211767
Saudi Arabia,2016,World,Raw materials,Import,Import(US$ Mil),8900.2323781
Saudi Arabia,2016,World,Intermediate goods,Import,Import(US$ Mil),26175.51263693
Saudi Arabia,2016,World,Consumer goods,Import,Import(US$ Mil),51511.76715025
Saudi Arabia,2016,World,Capital goods,Import,Import(US$ Mil),38347.998428
Saudi Arabia,2016,World,All Products,Export,Exports (in US$ Mil),207572.13989967
Saudi Arabia,2016,World,All Products,Import,Imports (in US$ Mil),129795.97053459
Saudi Arabia,2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),36249488.174
Saudi Arabia,2017,...,...,Development,Trade Balance (current US$ Mil),43125.333333333
Saudi Arabia,2017,...,...,Development,GDP (current US$ Mil),686738.4
Saudi Arabia,2015,...,...,Tariff,No. Of Tariff Agreement,1
Saudi Arabia,2016,...,...,Import,No. Of Import partners,172
Saudi Arabia,2016,...,...,Import,No. Of Import products,4321
Saudi Arabia,2016,...,...,Export,No. Of Export partners,162
Saudi Arabia,2016,...,...,Export,No. Of Export products,3352
Saudi Arabia,2016,...,...,Others,Population,32275687
Saudi Arabia,2018,...,...,Others,Ease of Doing Business Rank,92
Saudi Arabia,2018,...,...,Others,Trading Across Borders Rank,161
Saudi Arabia,2016,...,...,Others,LPI Rank,52
Saudi Arabia,2016,...,...,Others,LPI Score,3.156376
Saudi Arabia,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0143849
Saudi Arabia,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0155503
Saudi Arabia,,...,...,Others,Services Trade Restrictions Index - Over All,42.5
Saudi Arabia,2016,Unspecified,All Products,Export,Partner share(%)-Top 5 Export Partner,79.0829
Saudi Arabia,2016,United Arab Emirates,All Products,Export,Partner share(%)-Top 5 Export Partner,3.1636
Saudi Arabia,2016,China,All Products,Export,Partner share(%)-Top 5 Export Partner,1.9924
Saudi Arabia,2016,India,All Products,Export,Partner share(%)-Top 5 Export Partner,1.1843
Saudi Arabia,2016,Singapore,All Products,Export,Partner share(%)-Top 5 Export Partner,1.069
Saudi Arabia,2016,China,All Products,Import,Partner share(%)-Top 5 Import Partner,14.5157
Saudi Arabia,2016,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,13.3613
Saudi Arabia,2016,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,6.303
