Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Senegal,2017,Mali,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,592.738970952476
Senegal,2017,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,301.313936433416
Senegal,2017,Bunkers,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,151.890585423141
Senegal,2017,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,149.162257603843
Senegal,2017,Cote d'Ivoire,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,139.518974567231
Senegal,2017,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,989.930666495442
Senegal,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,654.466222652778
Senegal,2017,Nigeria,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,532.628946119439
Senegal,2017,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,491.066885480123
Senegal,2017,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,375.669529825784
Senegal,2017,World,Animal,Export,Export(US$ Mil),401.767440124798
Senegal,2017,World,Vegetable,Export,Export(US$ Mil),276.470169436313
Senegal,2017,World,Food Products,Export,Export(US$ Mil),349.868712590336
Senegal,2017,World,Minerals,Export,Export(US$ Mil),399.231616114948
Senegal,2017,World,Fuels,Export,Export(US$ Mil),441.762380957704
Senegal,2017,World,Chemicals,Export,Export(US$ Mil),300.423776378868
Senegal,2017,World,Plastic or Rubber,Export,Export(US$ Mil),46.1595273676765
Senegal,2017,World,Hides and Skins,Export,Export(US$ Mil),14.1379578347095
Senegal,2017,World,Wood,Export,Export(US$ Mil),26.2941825773433
Senegal,2017,World,Textiles and Clothing,Export,Export(US$ Mil),52.9521754531711
Senegal,2017,World,Footwear,Export,Export(US$ Mil),55.025460963349
Senegal,2017,World,Stone and Glass,Export,Export(US$ Mil),378.825501288852
Senegal,2017,World,Metals,Export,Export(US$ Mil),124.295737888121
Senegal,2017,World,Mach and Elec,Export,Export(US$ Mil),69.7297976594932
Senegal,2017,World,Transportation,Export,Export(US$ Mil),40.4566260019715
Senegal,2017,World,Miscellaneous,Export,Export(US$ Mil),11.6410277079919
Senegal,2017,World,Raw materials,Export,Export(US$ Mil),764.834491494992
Senegal,2017,World,Intermediate goods,Export,Export(US$ Mil),1110.7924613056
Senegal,2017,World,Consumer goods,Export,Export(US$ Mil),981.169605161514
Senegal,2017,World,Capital goods,Export,Export(US$ Mil),86.5307487350074
Senegal,2017,World,Raw materials,Import,Import(US$ Mil),1096.07397716777
Senegal,2017,World,Intermediate goods,Import,Import(US$ Mil),1165.02842935261
Senegal,2017,World,Consumer goods,Import,Import(US$ Mil),2942.26411254377
Senegal,2017,World,Capital goods,Import,Import(US$ Mil),1524.24654969687
Senegal,2017,World,All Products,Export,Exports (in US$ Mil),2989.04209034564
Senegal,2017,World,All Products,Import,Imports (in US$ Mil),6728.6718630714
Senegal,2017,World,All Products,Tariff,Duty Free Imports (US$ Thousand),168393.132557364
Senegal,2017,...,...,Development,Trade Balance (current US$ Mil),-2881.81797666565
Senegal,2017,...,...,Development,GDP (current US$ Mil),21070.2257347861
Senegal,2017,...,...,Tariff,No. Of Tariff Agreement,2
Senegal,2017,...,...,Import,No. Of Import partners,153
Senegal,2017,...,...,Import,No. Of Import products,3566
Senegal,2017,...,...,Export,No. Of Export partners,142
Senegal,2017,...,...,Export,No. Of Export products,1740
Senegal,2016,...,...,Others,Population,15411614
Senegal,2018,...,...,Others,Ease of Doing Business Rank,140
Senegal,2018,...,...,Others,Trading Across Borders Rank,135
Senegal,2017,...,...,Others,CPIA Trade Ratings,4.5
Senegal,2016,...,...,Others,LPI Rank,132
Senegal,2016,...,...,Others,LPI Score,2.327711
Senegal,2012,...,...,Others,No Of NTM Affected Products (HS 6 Digit),5052
Senegal,2012,...,...,Others,No Of NTM Measures,42
Senegal,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.4232293
Senegal,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.426735
Senegal,,...,...,Others,Services Trade Restrictions Index - Over All,19
Senegal,2017,Mali,All Products,Export,Partner share(%)-Top 5 Export Partner,19.8304
Senegal,2017,Switzerland,All Products,Export,Partner share(%)-Top 5 Export Partner,10.0806
Senegal,2017,Bunkers,All Products,Export,Partner share(%)-Top 5 Export Partner,5.0816
Senegal,2017,India,All Products,Export,Partner share(%)-Top 5 Export Partner,4.9903
Senegal,2017,Cote d'Ivoire,All Products,Export,Partner share(%)-Top 5 Export Partner,4.6677
Senegal,2017,France,All Products,Import,Partner share(%)-Top 5 Import Partner,14.7121
Senegal,2017,China,All Products,Import,Partner share(%)-Top 5 Import Partner,9.7265
Senegal,2017,Nigeria,All Products,Import,Partner share(%)-Top 5 Import Partner,7.9158
Senegal,2017,India,All Products,Import,Partner share(%)-Top 5 Import Partner,7.2981
Senegal,2017,Netherlands,All Products,Import,Partner share(%)-Top 5 Import Partner,5.5831
Senegal,2017,World,Animal,Export,Export Product share(%),13.4413
Senegal,2017,World,Vegetable,Export,Export Product share(%),9.2495
Senegal,2017,World,Food Products,Export,Export Product share(%),11.705
Senegal,2017,World,Minerals,Export,Export Product share(%),13.3565
Senegal,2017,World,Fuels,Export,Export Product share(%),14.7794
Senegal,2017,World,Chemicals,Export,Export Product share(%),10.0508
Senegal,2017,World,Plastic or Rubber,Export,Export Product share(%),1.5443
Senegal,2017,World,Hides and Skins,Export,Export Product share(%),0.473
Senegal,2017,World,Wood,Export,Export Product share(%),0.8797
Senegal,2017,World,Textiles and Clothing,Export,Export Product share(%),1.7715
Senegal,2017,World,Footwear,Export,Export Product share(%),1.8409
Senegal,2017,World,Stone and Glass,Export,Export Product share(%),12.6738
Senegal,2017,World,Metals,Export,Export Product share(%),4.1584
Senegal,2017,World,Mach and Elec,Export,Export Product share(%),2.3328
Senegal,2017,World,Transportation,Export,Export Product share(%),1.3535
Senegal,2017,World,Miscellaneous,Export,Export Product share(%),0.3895
Senegal,2017,World,Raw materials,Export,Export Product share(%),25.5879
Senegal,2017,World,Intermediate goods,Export,Export Product share(%),37.1622
Senegal,2017,World,Consumer goods,Export,Export Product share(%),32.8256
Senegal,2017,World,Capital goods,Export,Export Product share(%),2.8949
Senegal,2017,World,Raw materials,Import,Import Product share(%),16.2896
Senegal,2017,World,Intermediate goods,Import,Import Product share(%),17.3144
Senegal,2017,World,Consumer goods,Import,Import Product share(%),43.7273
Senegal,2017,World,Capital goods,Import,Import Product share(%),22.653
Senegal,2017,World,Raw materials,Tariff,Weighted Average (%),12.4558382018362
Senegal,2017,World,Intermediate goods,Tariff,Weighted Average (%),12.3017135183468
Senegal,2017,World,Consumer goods,Tariff,Weighted Average (%),15.105969078963
Senegal,2017,World,Capital goods,Tariff,Weighted Average (%),7.65274497751623
Senegal,2017,World,All Products,Trade Indicator,World Growth (%),1.50064825967466
Senegal,2017,World,All Products,Trade Indicator,Country Growth (%),3.10050361366534
Senegal,2017,World,All Products,Tariff,Simple Average (%),13.1685265636873
Senegal,2017,World,All Products,Tariff,Weighted Average (%),12.3023217153977
Senegal,2017,World,All Products,Tariff,Maximum Rate (%),35
Senegal,2017,World,All Products,Tariff,Duty Free Tariff Lines Share (%),1.76660279478432
Senegal,2017,...,...,Trade Indicator,Index of export market penetration,2.05485884217322
Senegal,2017,...,...,Trade Indicator,HH Market concentration index,0.143493240875274
Senegal,2017,...,...,Development,Trade Balance (% of GDP),-13.6772050425065
Senegal,2017,...,...,Development,Trade (% of GDP),57.1358464829809
Senegal,2017,...,...,Development,"GNI per capita, Atlas method (current US$)",1240
