Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
"Serbia, FR(Serbia/Montenegro)",2017,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2236.670452
"Serbia, FR(Serbia/Montenegro)",2017,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2131.406576
"Serbia, FR(Serbia/Montenegro)",2017,Bosnia and Herzegovina,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1361.802566
"Serbia, FR(Serbia/Montenegro)",2017,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,995.477684
"Serbia, FR(Serbia/Montenegro)",2017,Montenegro,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,817.50321
"Serbia, FR(Serbia/Montenegro)",2017,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2806.2046
"Serbia, FR(Serbia/Montenegro)",2017,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2225.568465
"Serbia, FR(Serbia/Montenegro)",2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1819.442633
"Serbia, FR(Serbia/Montenegro)",2017,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1588.747345
"Serbia, FR(Serbia/Montenegro)",2017,Hungary,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1071.147674
"Serbia, FR(Serbia/Montenegro)",2017,World,Animal,Export,Export(US$ Mil),206.93592
"Serbia, FR(Serbia/Montenegro)",2017,World,Vegetable,Export,Export(US$ Mil),1627.974762
"Serbia, FR(Serbia/Montenegro)",2017,World,Food Products,Export,Export(US$ Mil),1322.792411
"Serbia, FR(Serbia/Montenegro)",2017,World,Minerals,Export,Export(US$ Mil),101.345857
"Serbia, FR(Serbia/Montenegro)",2017,World,Fuels,Export,Export(US$ Mil),431.326724
"Serbia, FR(Serbia/Montenegro)",2017,World,Chemicals,Export,Export(US$ Mil),1035.132616
"Serbia, FR(Serbia/Montenegro)",2017,World,Plastic or Rubber,Export,Export(US$ Mil),1627.924027
"Serbia, FR(Serbia/Montenegro)",2017,World,Hides and Skins,Export,Export(US$ Mil),104.797052
"Serbia, FR(Serbia/Montenegro)",2017,World,Wood,Export,Export(US$ Mil),799.021796
"Serbia, FR(Serbia/Montenegro)",2017,World,Textiles and Clothing,Export,Export(US$ Mil),889.880921
"Serbia, FR(Serbia/Montenegro)",2017,World,Footwear,Export,Export(US$ Mil),340.286059
"Serbia, FR(Serbia/Montenegro)",2017,World,Stone and Glass,Export,Export(US$ Mil),243.075763
"Serbia, FR(Serbia/Montenegro)",2017,World,Metals,Export,Export(US$ Mil),2303.541907
"Serbia, FR(Serbia/Montenegro)",2017,World,Mach and Elec,Export,Export(US$ Mil),3263.005871
"Serbia, FR(Serbia/Montenegro)",2017,World,Transportation,Export,Export(US$ Mil),1529.957314
"Serbia, FR(Serbia/Montenegro)",2017,World,Miscellaneous,Export,Export(US$ Mil),1132.041119
"Serbia, FR(Serbia/Montenegro)",2017,World,Raw materials,Export,Export(US$ Mil),1797.070007
"Serbia, FR(Serbia/Montenegro)",2017,World,Intermediate goods,Export,Export(US$ Mil),4057.553644
"Serbia, FR(Serbia/Montenegro)",2017,World,Consumer goods,Export,Export(US$ Mil),8027.593058
"Serbia, FR(Serbia/Montenegro)",2017,World,Capital goods,Export,Export(US$ Mil),2727.69949
"Serbia, FR(Serbia/Montenegro)",2017,World,Raw materials,Import,Import(US$ Mil),2492.598252
"Serbia, FR(Serbia/Montenegro)",2017,World,Intermediate goods,Import,Import(US$ Mil),5594.29042499999
"Serbia, FR(Serbia/Montenegro)",2017,World,Consumer goods,Import,Import(US$ Mil),6288.914145
"Serbia, FR(Serbia/Montenegro)",2017,World,Capital goods,Import,Import(US$ Mil),4585.180017
"Serbia, FR(Serbia/Montenegro)",2017,World,All Products,Export,Exports (in US$ Mil),16959.040119
"Serbia, FR(Serbia/Montenegro)",2017,World,All Products,Import,Imports (in US$ Mil),22146.377217
"Serbia, FR(Serbia/Montenegro)",2017,World,All Products,Tariff,Duty Free Imports (US$ Thousand),13744953.548
"Serbia, FR(Serbia/Montenegro)",2017,...,...,Tariff,No. Of Tariff Agreement,16
"Serbia, FR(Serbia/Montenegro)",2017,...,...,Import,No. Of Import partners,206
"Serbia, FR(Serbia/Montenegro)",2017,...,...,Import,No. Of Import products,4283
"Serbia, FR(Serbia/Montenegro)",2017,...,...,Export,No. Of Export partners,163
"Serbia, FR(Serbia/Montenegro)",2017,...,...,Export,No. Of Export products,3856
"Serbia, FR(Serbia/Montenegro)",2018,...,...,Others,Ease of Doing Business Rank,43
"Serbia, FR(Serbia/Montenegro)",2018,...,...,Others,Trading Across Borders Rank,23
"Serbia, FR(Serbia/Montenegro)",2016,...,...,Others,LPI Rank,76
"Serbia, FR(Serbia/Montenegro)",2016,...,...,Others,LPI Score,2.762577
"Serbia, FR(Serbia/Montenegro)",2017,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,13.1887
"Serbia, FR(Serbia/Montenegro)",2017,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,12.568
"Serbia, FR(Serbia/Montenegro)",2017,Bosnia and Herzegovina,All Products,Export,Partner share(%)-Top 5 Export Partner,8.03
"Serbia, FR(Serbia/Montenegro)",2017,Russian Federation,All Products,Export,Partner share(%)-Top 5 Export Partner,5.8699
"Serbia, FR(Serbia/Montenegro)",2017,Montenegro,All Products,Export,Partner share(%)-Top 5 Export Partner,4.8205
"Serbia, FR(Serbia/Montenegro)",2017,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,12.6712
"Serbia, FR(Serbia/Montenegro)",2017,Italy,All Products,Import,Partner share(%)-Top 5 Import Partner,10.0494
"Serbia, FR(Serbia/Montenegro)",2017,China,All Products,Import,Partner share(%)-Top 5 Import Partner,8.2155
"Serbia, FR(Serbia/Montenegro)",2017,Russian Federation,All Products,Import,Partner share(%)-Top 5 Import Partner,7.1738
"Serbia, FR(Serbia/Montenegro)",2017,Hungary,All Products,Import,Partner share(%)-Top 5 Import Partner,4.8367
"Serbia, FR(Serbia/Montenegro)",2017,World,Animal,Export,Export Product share(%),1.2202
"Serbia, FR(Serbia/Montenegro)",2017,World,Vegetable,Export,Export Product share(%),9.5995
"Serbia, FR(Serbia/Montenegro)",2017,World,Food Products,Export,Export Product share(%),7.7999
"Serbia, FR(Serbia/Montenegro)",2017,World,Minerals,Export,Export Product share(%),0.5976
"Serbia, FR(Serbia/Montenegro)",2017,World,Fuels,Export,Export Product share(%),2.5433
"Serbia, FR(Serbia/Montenegro)",2017,World,Chemicals,Export,Export Product share(%),6.1037
"Serbia, FR(Serbia/Montenegro)",2017,World,Plastic or Rubber,Export,Export Product share(%),9.5992
"Serbia, FR(Serbia/Montenegro)",2017,World,Hides and Skins,Export,Export Product share(%),0.6179
"Serbia, FR(Serbia/Montenegro)",2017,World,Wood,Export,Export Product share(%),4.7115
"Serbia, FR(Serbia/Montenegro)",2017,World,Textiles and Clothing,Export,Export Product share(%),5.2472
"Serbia, FR(Serbia/Montenegro)",2017,World,Footwear,Export,Export Product share(%),2.0065
"Serbia, FR(Serbia/Montenegro)",2017,World,Stone and Glass,Export,Export Product share(%),1.4333
