Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Solomon Islands,2017,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,325.830017937249
Solomon Islands,2017,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,38.6957939447347
Solomon Islands,2017,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,19.3359164541601
Solomon Islands,2017,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,18.1929346246322
Solomon Islands,2017,Philippines,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,17.5835912988122
Solomon Islands,2017,Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,113.907061570719
Solomon Islands,2017,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,78.9216493777306
Solomon Islands,2017,New Zealand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,75.2821421481963
Solomon Islands,2017,Malaysia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,72.7591606931243
Solomon Islands,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,71.8495573518759
Solomon Islands,2017,World,Animal,Export,Export(US$ Mil),51.2800449334094
Solomon Islands,2017,World,Vegetable,Export,Export(US$ Mil),54.7008264725418
Solomon Islands,2017,World,Food Products,Export,Export(US$ Mil),12.2099042541847
Solomon Islands,2017,World,Minerals,Export,Export(US$ Mil),20.9775058028839
Solomon Islands,2017,World,Fuels,Export,Export(US$ Mil),2.49591999432E-05
Solomon Islands,2017,World,Chemicals,Export,Export(US$ Mil),0.0577646907184296
Solomon Islands,2017,World,Plastic or Rubber,Export,Export(US$ Mil),0.02610467139228
Solomon Islands,2017,World,Hides and Skins,Export,Export(US$ Mil),
Solomon Islands,2017,World,Wood,Export,Export(US$ Mil),353.326226200442
Solomon Islands,2017,World,Textiles and Clothing,Export,Export(US$ Mil),0.0243526849076088
Solomon Islands,2017,World,Footwear,Export,Export(US$ Mil),1.61822686448E-05
Solomon Islands,2017,World,Stone and Glass,Export,Export(US$ Mil),3.2709021899006
Solomon Islands,2017,World,Metals,Export,Export(US$ Mil),0.456370775687549
Solomon Islands,2017,World,Mach and Elec,Export,Export(US$ Mil),2.50220037824685
Solomon Islands,2017,World,Transportation,Export,Export(US$ Mil),0.513514284205062
Solomon Islands,2017,World,Miscellaneous,Export,Export(US$ Mil),0.36892499123696
Solomon Islands,2017,World,Raw materials,Export,Export(US$ Mil),367.710361785632
Solomon Islands,2017,World,Intermediate goods,Export,Export(US$ Mil),74.3658715677296
Solomon Islands,2017,World,Consumer goods,Export,Export(US$ Mil),24.418275786418
Solomon Islands,2017,World,Capital goods,Export,Export(US$ Mil),3.31618566013458
Solomon Islands,2017,World,Raw materials,Import,Import(US$ Mil),26.0203275729829
Solomon Islands,2017,World,Intermediate goods,Import,Import(US$ Mil),56.8505371764858
Solomon Islands,2017,World,Consumer goods,Import,Import(US$ Mil),300.406245806634
Solomon Islands,2017,World,Capital goods,Import,Import(US$ Mil),188.041006900309
Solomon Islands,2017,World,All Products,Export,Exports (in US$ Mil),499.714683471225
Solomon Islands,2017,World,All Products,Import,Imports (in US$ Mil),571.770024747899
Solomon Islands,2017,World,All Products,Tariff,Duty Free Imports (US$ Thousand),74598.1999107577
Solomon Islands,2017,...,...,Development,GDP (current US$ Mil),1303.45362223293
Solomon Islands,2017,...,...,Tariff,No. Of Tariff Agreement,3
Solomon Islands,2017,...,...,Import,No. Of Import partners,92
Solomon Islands,2017,...,...,Import,No. Of Import products,2801
Solomon Islands,2017,...,...,Export,No. Of Export partners,50
Solomon Islands,2017,...,...,Export,No. Of Export products,296
Solomon Islands,2016,...,...,Others,Population,599419
Solomon Islands,2018,...,...,Others,Ease of Doing Business Rank,116
Solomon Islands,2018,...,...,Others,Trading Across Borders Rank,156
Solomon Islands,2017,...,...,Others,CPIA Trade Ratings,3.5
Solomon Islands,2016,...,...,Others,LPI Rank,116
Solomon Islands,2016,...,...,Others,LPI Score,2.417321
Solomon Islands,2017,China,All Products,Export,Partner share(%)-Top 5 Export Partner,65.2032
Solomon Islands,2017,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,7.7436
Solomon Islands,2017,Switzerland,All Products,Export,Partner share(%)-Top 5 Export Partner,3.8694
Solomon Islands,2017,India,All Products,Export,Partner share(%)-Top 5 Export Partner,3.6407
Solomon Islands,2017,Philippines,All Products,Export,Partner share(%)-Top 5 Export Partner,3.5187
Solomon Islands,2017,Australia,All Products,Import,Partner share(%)-Top 5 Import Partner,19.9218
Solomon Islands,2017,Singapore,All Products,Import,Partner share(%)-Top 5 Import Partner,13.803
Solomon Islands,2017,New Zealand,All Products,Import,Partner share(%)-Top 5 Import Partner,13.1665
Solomon Islands,2017,Malaysia,All Products,Import,Partner share(%)-Top 5 Import Partner,12.7252
Solomon Islands,2017,China,All Products,Import,Partner share(%)-Top 5 Import Partner,12.5662
Solomon Islands,2017,World,Animal,Export,Export Product share(%),10.2619
Solomon Islands,2017,World,Vegetable,Export,Export Product share(%),10.9464
Solomon Islands,2017,World,Food Products,Export,Export Product share(%),2.4434
Solomon Islands,2017,World,Minerals,Export,Export Product share(%),4.1979
Solomon Islands,2017,World,Fuels,Export,Export Product share(%),0
Solomon Islands,2017,World,Chemicals,Export,Export Product share(%),0.0116
Solomon Islands,2017,World,Plastic or Rubber,Export,Export Product share(%),0.0052
Solomon Islands,2017,World,Hides and Skins,Export,Export Product share(%),
Solomon Islands,2017,World,Wood,Export,Export Product share(%),70.7056
Solomon Islands,2017,World,Textiles and Clothing,Export,Export Product share(%),0.0049
Solomon Islands,2017,World,Footwear,Export,Export Product share(%),0
Solomon Islands,2017,World,Stone and Glass,Export,Export Product share(%),0.6546
Solomon Islands,2017,World,Metals,Export,Export Product share(%),0.0913
Solomon Islands,2017,World,Mach and Elec,Export,Export Product share(%),0.5007
Solomon Islands,2017,World,Transportation,Export,Export Product share(%),0.1028
Solomon Islands,2017,World,Miscellaneous,Export,Export Product share(%),0.0738
Solomon Islands,2017,World,Raw materials,Export,Export Product share(%),73.5841
Solomon Islands,2017,World,Intermediate goods,Export,Export Product share(%),14.8817
Solomon Islands,2017,World,Consumer goods,Export,Export Product share(%),4.8864
Solomon Islands,2017,World,Capital goods,Export,Export Product share(%),0.6636
Solomon Islands,2017,World,Raw materials,Import,Import Product share(%),4.5508
Solomon Islands,2017,World,Intermediate goods,Import,Import Product share(%),9.9429
Solomon Islands,2017,World,Consumer goods,Import,Import Product share(%),52.5397
Solomon Islands,2017,World,Capital goods,Import,Import Product share(%),32.8875
Solomon Islands,2017,World,Raw materials,Tariff,Weighted Average (%),9.68996409818197
Solomon Islands,2017,World,Intermediate goods,Tariff,Weighted Average (%),8.27350415056932
Solomon Islands,2017,World,Consumer goods,Tariff,Weighted Average (%),29.8638563504456
Solomon Islands,2017,World,Capital goods,Tariff,Weighted Average (%),9.18349887104869
Solomon Islands,2017,World,All Products,Trade Indicator,World Growth (%),1.50064825967466
Solomon Islands,2017,World,All Products,Trade Indicator,Country Growth (%),13.3138068624818
Solomon Islands,2017,World,All Products,Tariff,Simple Average (%),10.0917185449423
Solomon Islands,2017,World,All Products,Tariff,Weighted Average (%),18.4941143101239
Solomon Islands,2017,World,All Products,Tariff,Maximum Rate (%),2278.56396484375
Solomon Islands,2017,World,All Products,Tariff,Duty Free Tariff Lines Share (%),8.52578178238813
