Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Sao Tome and Principe,2017,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3.126379531275
Sao Tome and Principe,2017,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1.75612021137
Sao Tome and Principe,2017,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1.69852005036
Sao Tome and Principe,2017,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1.46278425627
Sao Tome and Principe,2017,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.60516165141
Sao Tome and Principe,2017,Portugal,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,80.0887007880989
Sao Tome and Principe,2017,Angola,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,29.112302232675
Sao Tome and Principe,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,7.413843109635
Sao Tome and Principe,2017,Nigeria,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3.11382497871
Sao Tome and Principe,2017,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2.68378954083
Sao Tome and Principe,2017,World,Animal,Export,Export(US$ Mil),0.00290025
Sao Tome and Principe,2017,World,Vegetable,Export,Export(US$ Mil),0.460128564585
Sao Tome and Principe,2017,World,Food Products,Export,Export(US$ Mil),8.558753371155
Sao Tome and Principe,2017,World,Minerals,Export,Export(US$ Mil),
Sao Tome and Principe,2017,World,Fuels,Export,Export(US$ Mil),7.9526745E-05
Sao Tome and Principe,2017,World,Chemicals,Export,Export(US$ Mil),0.002693475
Sao Tome and Principe,2017,World,Plastic or Rubber,Export,Export(US$ Mil),0.003899168775
Sao Tome and Principe,2017,World,Hides and Skins,Export,Export(US$ Mil),0.00209506446
Sao Tome and Principe,2017,World,Wood,Export,Export(US$ Mil),0.3087235971
Sao Tome and Principe,2017,World,Textiles and Clothing,Export,Export(US$ Mil),0.11385763488
Sao Tome and Principe,2017,World,Footwear,Export,Export(US$ Mil),0.003742962345
Sao Tome and Principe,2017,World,Stone and Glass,Export,Export(US$ Mil),0.010614084615
Sao Tome and Principe,2017,World,Metals,Export,Export(US$ Mil),0.355299109875
Sao Tome and Principe,2017,World,Mach and Elec,Export,Export(US$ Mil),0.223647000885
Sao Tome and Principe,2017,World,Transportation,Export,Export(US$ Mil),0.476614869255
Sao Tome and Principe,2017,World,Miscellaneous,Export,Export(US$ Mil),0.039542244075
Sao Tome and Principe,2017,World,Raw materials,Export,Export(US$ Mil),8.93163064851
Sao Tome and Principe,2017,World,Intermediate goods,Export,Export(US$ Mil),0.09611491131
Sao Tome and Principe,2017,World,Consumer goods,Export,Export(US$ Mil),1.33849263222
Sao Tome and Principe,2017,World,Capital goods,Export,Export(US$ Mil),0.19625350671
Sao Tome and Principe,2017,World,Raw materials,Import,Import(US$ Mil),5.619147215481
Sao Tome and Principe,2017,World,Intermediate goods,Import,Import(US$ Mil),22.8678238272375
Sao Tome and Principe,2017,World,Consumer goods,Import,Import(US$ Mil),88.5888974959785
Sao Tome and Principe,2017,World,Capital goods,Import,Import(US$ Mil),29.960183524977
Sao Tome and Principe,2017,World,All Products,Export,Exports (in US$ Mil),10.56259092375
Sao Tome and Principe,2017,World,All Products,Import,Imports (in US$ Mil),147.049579310949
Sao Tome and Principe,2016,World,All Products,Tariff,Duty Free Imports (US$ Thousand),3510.112
Sao Tome and Principe,2017,...,...,Development,GDP (current US$ Mil),392.570292501299
Sao Tome and Principe,2016,...,...,Tariff,No. Of Tariff Agreement,1
Sao Tome and Principe,2017,...,...,Import,No. Of Import partners,71
Sao Tome and Principe,2017,...,...,Import,No. Of Import products,2470
Sao Tome and Principe,2017,...,...,Export,No. Of Export partners,27
Sao Tome and Principe,2017,...,...,Export,No. Of Export products,310
Sao Tome and Principe,2016,...,...,Others,Population,199910
Sao Tome and Principe,2018,...,...,Others,Ease of Doing Business Rank,169
Sao Tome and Principe,2018,...,...,Others,Trading Across Borders Rank,114
Sao Tome and Principe,2017,...,...,Others,CPIA Trade Ratings,4
Sao Tome and Principe,2016,...,...,Others,LPI Rank,133
Sao Tome and Principe,2016,...,...,Others,LPI Score,2.325633
Sao Tome and Principe,2017,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,29.5986
Sao Tome and Principe,2017,Spain,All Products,Export,Partner share(%)-Top 5 Export Partner,16.6258
Sao Tome and Principe,2017,France,All Products,Export,Partner share(%)-Top 5 Export Partner,16.0805
Sao Tome and Principe,2017,Belgium,All Products,Export,Partner share(%)-Top 5 Export Partner,13.8487
Sao Tome and Principe,2017,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,5.7293
Sao Tome and Principe,2017,Portugal,All Products,Import,Partner share(%)-Top 5 Import Partner,54.4637
Sao Tome and Principe,2017,Angola,All Products,Import,Partner share(%)-Top 5 Import Partner,19.7976
Sao Tome and Principe,2017,China,All Products,Import,Partner share(%)-Top 5 Import Partner,5.0417
Sao Tome and Principe,2017,Nigeria,All Products,Import,Partner share(%)-Top 5 Import Partner,2.1175
Sao Tome and Principe,2017,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,1.8251
Sao Tome and Principe,2017,World,Animal,Export,Export Product share(%),0.0275
Sao Tome and Principe,2017,World,Vegetable,Export,Export Product share(%),4.3562
Sao Tome and Principe,2017,World,Food Products,Export,Export Product share(%),81.0289
Sao Tome and Principe,2017,World,Minerals,Export,Export Product share(%),
Sao Tome and Principe,2017,World,Fuels,Export,Export Product share(%),0.0008
Sao Tome and Principe,2017,World,Chemicals,Export,Export Product share(%),0.0255
Sao Tome and Principe,2017,World,Plastic or Rubber,Export,Export Product share(%),0.0369
Sao Tome and Principe,2017,World,Hides and Skins,Export,Export Product share(%),0.0198
Sao Tome and Principe,2017,World,Wood,Export,Export Product share(%),2.9228
Sao Tome and Principe,2017,World,Textiles and Clothing,Export,Export Product share(%),1.0779
Sao Tome and Principe,2017,World,Footwear,Export,Export Product share(%),0.0354
Sao Tome and Principe,2017,World,Stone and Glass,Export,Export Product share(%),0.1005
Sao Tome and Principe,2017,World,Metals,Export,Export Product share(%),3.3637
Sao Tome and Principe,2017,World,Mach and Elec,Export,Export Product share(%),2.1173
Sao Tome and Principe,2017,World,Transportation,Export,Export Product share(%),4.5123
Sao Tome and Principe,2017,World,Miscellaneous,Export,Export Product share(%),0.3744
Sao Tome and Principe,2017,World,Raw materials,Export,Export Product share(%),84.5591
Sao Tome and Principe,2017,World,Intermediate goods,Export,Export Product share(%),0.91
Sao Tome and Principe,2017,World,Consumer goods,Export,Export Product share(%),12.672
Sao Tome and Principe,2017,World,Capital goods,Export,Export Product share(%),1.858
Sao Tome and Principe,2017,World,Raw materials,Import,Import Product share(%),3.8213
Sao Tome and Principe,2017,World,Intermediate goods,Import,Import Product share(%),15.5511
