Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Sudan,2017,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1706.63288212
Sudan,2017,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,734.39997098
Sudan,2017,Saudi Arabia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,600.33904401
Sudan,2017,"Egypt, Arab Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,427.76777035
Sudan,2017,Ethiopia(excludes Eritrea),All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,151.106305
Sudan,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2260.45687
Sudan,2017,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1093.602618
Sudan,2017,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,709.786504
Sudan,2017,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,704.48319
Sudan,2017,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,574.061263
Sudan,2017,World,Animal,Export,Export(US$ Mil),898.15145237
Sudan,2017,World,Vegetable,Export,Export(US$ Mil),927.36383369
Sudan,2017,World,Food Products,Export,Export(US$ Mil),84.008498
Sudan,2017,World,Minerals,Export,Export(US$ Mil),3.184881
Sudan,2017,World,Fuels,Export,Export(US$ Mil),548.81504
Sudan,2017,World,Chemicals,Export,Export(US$ Mil),14.551546
Sudan,2017,World,Plastic or Rubber,Export,Export(US$ Mil),3.601027
Sudan,2017,World,Hides and Skins,Export,Export(US$ Mil),24.691652
Sudan,2017,World,Wood,Export,Export(US$ Mil),12.564102
Sudan,2017,World,Textiles and Clothing,Export,Export(US$ Mil),138.91974382
Sudan,2017,World,Footwear,Export,Export(US$ Mil),0.019
Sudan,2017,World,Stone and Glass,Export,Export(US$ Mil),1553.549722
Sudan,2017,World,Metals,Export,Export(US$ Mil),31.111013
Sudan,2017,World,Mach and Elec,Export,Export(US$ Mil),
Sudan,2017,World,Transportation,Export,Export(US$ Mil),
Sudan,2017,World,Miscellaneous,Export,Export(US$ Mil),0.111156
Sudan,2017,World,Raw materials,Export,Export(US$ Mil),2339.93132988
Sudan,2017,World,Intermediate goods,Export,Export(US$ Mil),1679.033582
Sudan,2017,World,Consumer goods,Export,Export(US$ Mil),214.88196
Sudan,2017,World,Capital goods,Export,Export(US$ Mil),6.780702
Sudan,2017,World,Raw materials,Import,Import(US$ Mil),954.485265
Sudan,2017,World,Intermediate goods,Import,Import(US$ Mil),2370.995567
Sudan,2017,World,Consumer goods,Import,Import(US$ Mil),4133.309486
Sudan,2017,World,Capital goods,Import,Import(US$ Mil),2812.473687
Sudan,2017,World,All Products,Export,Exports (in US$ Mil),4240.64266688
Sudan,2017,World,All Products,Import,Imports (in US$ Mil),10276.864989
Sudan,2017,World,All Products,Tariff,Duty Free Imports (US$ Thousand),2761383.594
Sudan,2017,...,...,Tariff,No. Of Tariff Agreement,5
Sudan,2017,...,...,Import,No. Of Import partners,180
