Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Suriname,2017,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,461.70240412
Suriname,2017,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,324.60790208
Suriname,2017,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,155.51416399
Suriname,2017,Guyana,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,114.80591237
Suriname,2017,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,106.95944268
Suriname,2017,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,384.16221003
Suriname,2017,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,167.00232921
Suriname,2017,Trinidad and Tobago,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,117.34278528
Suriname,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,103.42811071
Suriname,2017,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,34.0122384
Suriname,2017,World,Animal,Export,Export(US$ Mil),6.11073032
Suriname,2017,World,Vegetable,Export,Export(US$ Mil),33.20875984
Suriname,2017,World,Food Products,Export,Export(US$ Mil),35.18199348
Suriname,2017,World,Minerals,Export,Export(US$ Mil),2.08315707
Suriname,2017,World,Fuels,Export,Export(US$ Mil),139.60150145
Suriname,2017,World,Chemicals,Export,Export(US$ Mil),6.02126044
Suriname,2017,World,Plastic or Rubber,Export,Export(US$ Mil),4.00391129
Suriname,2017,World,Hides and Skins,Export,Export(US$ Mil),0.17670395
Suriname,2017,World,Wood,Export,Export(US$ Mil),59.86064393
Suriname,2017,World,Textiles and Clothing,Export,Export(US$ Mil),0.7338854
Suriname,2017,World,Footwear,Export,Export(US$ Mil),0.24791027
Suriname,2017,World,Stone and Glass,Export,Export(US$ Mil),1054.66938979
Suriname,2017,World,Metals,Export,Export(US$ Mil),6.95481165
Suriname,2017,World,Mach and Elec,Export,Export(US$ Mil),17.37903585
Suriname,2017,World,Transportation,Export,Export(US$ Mil),5.37333112
Suriname,2017,World,Miscellaneous,Export,Export(US$ Mil),69.41242263
Suriname,2017,World,Raw materials,Export,Export(US$ Mil),82.42894644
Suriname,2017,World,Intermediate goods,Export,Export(US$ Mil),1065.32755512
Suriname,2017,World,Consumer goods,Export,Export(US$ Mil),204.55539279
Suriname,2017,World,Capital goods,Export,Export(US$ Mil),27.11228149
Suriname,2017,World,Raw materials,Import,Import(US$ Mil),47.77054513
Suriname,2017,World,Intermediate goods,Import,Import(US$ Mil),217.04357338
Suriname,2017,World,Consumer goods,Import,Import(US$ Mil),535.2735073
Suriname,2017,World,Capital goods,Import,Import(US$ Mil),404.57134846
Suriname,2017,World,All Products,Export,Exports (in US$ Mil),1441.01944848
