Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Slovak Republic,2017,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,17362.783985962
Slovak Republic,2017,Czech Republic,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,9739.00083178474
Slovak Republic,2017,Poland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6456.43496973324
Slovak Republic,2017,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5334.07311750181
Slovak Republic,2017,Hungary,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5089.16692964322
Slovak Republic,2017,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,14127.0795651503
Slovak Republic,2017,Czech Republic,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,8735.38427744566
Slovak Republic,2017,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,6435.69949643068
Slovak Republic,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,6151.25916522171
Slovak Republic,2017,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4759.20088029458
Slovak Republic,2017,World,Animal,Export,Export(US$ Mil),687.256764871092
Slovak Republic,2017,World,Vegetable,Export,Export(US$ Mil),1163.35090393281
Slovak Republic,2017,World,Food Products,Export,Export(US$ Mil),1373.32188739723
Slovak Republic,2017,World,Minerals,Export,Export(US$ Mil),329.472301715011
Slovak Republic,2017,World,Fuels,Export,Export(US$ Mil),3809.85756722987
Slovak Republic,2017,World,Chemicals,Export,Export(US$ Mil),2115.09002448744
Slovak Republic,2017,World,Plastic or Rubber,Export,Export(US$ Mil),5064.22489714277
Slovak Republic,2017,World,Hides and Skins,Export,Export(US$ Mil),387.454449603042
Slovak Republic,2017,World,Wood,Export,Export(US$ Mil),2445.95544056987
Slovak Republic,2017,World,Textiles and Clothing,Export,Export(US$ Mil),1798.84158966026
Slovak Republic,2017,World,Footwear,Export,Export(US$ Mil),1188.39901585847
Slovak Republic,2017,World,Stone and Glass,Export,Export(US$ Mil),1076.63351669245
