Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Sweden,2017,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,16350.6768054302
Sweden,2017,Norway,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,15431.8965140049
Sweden,2017,Finland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,10517.4140277133
Sweden,2017,Denmark,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,10440.9114344226
Sweden,2017,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,10078.3319014997
Sweden,2017,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,28807.8347684389
Sweden,2017,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,13749.2859006911
Sweden,2017,Norway,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,12482.6940799693
Sweden,2017,Denmark,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,11113.9429973333
Sweden,2017,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,7930.25512098052
Sweden,2017,World,Animal,Export,Export(US$ Mil),4558.44198004832
Sweden,2017,World,Vegetable,Export,Export(US$ Mil),1613.40187185632
Sweden,2017,World,Food Products,Export,Export(US$ Mil),3731.96871653424
Sweden,2017,World,Minerals,Export,Export(US$ Mil),3328.50072910628
Sweden,2017,World,Fuels,Export,Export(US$ Mil),9860.04201645372
Sweden,2017,World,Chemicals,Export,Export(US$ Mil),13993.8990619792
Sweden,2017,World,Plastic or Rubber,Export,Export(US$ Mil),6378.5639867404
Sweden,2017,World,Hides and Skins,Export,Export(US$ Mil),345.05999370388
Sweden,2017,World,Wood,Export,Export(US$ Mil),15705.4513622479
Sweden,2017,World,Textiles and Clothing,Export,Export(US$ Mil),2683.64905171636
Sweden,2017,World,Footwear,Export,Export(US$ Mil),447.02306753468
Sweden,2017,World,Stone and Glass,Export,Export(US$ Mil),2054.76197754828
Sweden,2017,World,Metals,Export,Export(US$ Mil),14494.6233691168
Sweden,2017,World,Mach and Elec,Export,Export(US$ Mil),37948.3498628671
Sweden,2017,World,Transportation,Export,Export(US$ Mil),21600.7471932033
Sweden,2017,World,Miscellaneous,Export,Export(US$ Mil),14361.2822469262
Sweden,2017,World,Raw materials,Export,Export(US$ Mil),9401.77738616479
Sweden,2017,World,Intermediate goods,Export,Export(US$ Mil),37921.1511956404
Sweden,2017,World,Consumer goods,Export,Export(US$ Mil),49678.9841019509
Sweden,2017,World,Capital goods,Export,Export(US$ Mil),49449.8374337313
Sweden,2017,World,Raw materials,Import,Import(US$ Mil),18836.0300270738
Sweden,2017,World,Intermediate goods,Import,Import(US$ Mil),24774.5186879801
Sweden,2017,World,Consumer goods,Import,Import(US$ Mil),55888.9508732772
Sweden,2017,World,Capital goods,Import,Import(US$ Mil),46281.8262268581
Sweden,2017,World,All Products,Export,Exports (in US$ Mil),153105.766487583
Sweden,2017,World,All Products,Import,Imports (in US$ Mil),153856.465368912
