Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Seychelles,2017,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,211.26442458
Seychelles,2017,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,107.02729465
Seychelles,2017,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,76.80528738
Seychelles,2017,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,46.63766281
Seychelles,2017,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,21.75911071
Seychelles,2017,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,344.59043751
Seychelles,2017,Spain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,136.3044428
Seychelles,2017,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,118.56761821
Seychelles,2017,"Hong Kong, China",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,83.45036587
Seychelles,2017,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,76.88415754
Seychelles,2017,World,Animal,Export,Export(US$ Mil),43.39363962
Seychelles,2017,World,Vegetable,Export,Export(US$ Mil),3.45465375
Seychelles,2017,World,Food Products,Export,Export(US$ Mil),276.93965328
Seychelles,2017,World,Minerals,Export,Export(US$ Mil),0.01079939
Seychelles,2017,World,Fuels,Export,Export(US$ Mil),152.10888329
Seychelles,2017,World,Chemicals,Export,Export(US$ Mil),0.34512779
Seychelles,2017,World,Plastic or Rubber,Export,Export(US$ Mil),0.37095447
Seychelles,2017,World,Hides and Skins,Export,Export(US$ Mil),0.00018224
Seychelles,2017,World,Wood,Export,Export(US$ Mil),0.04153462
Seychelles,2017,World,Textiles and Clothing,Export,Export(US$ Mil),0.0932423
Seychelles,2017,World,Footwear,Export,Export(US$ Mil),0.00010866
Seychelles,2017,World,Stone and Glass,Export,Export(US$ Mil),1.84707185
Seychelles,2017,World,Metals,Export,Export(US$ Mil),1.89260933
Seychelles,2017,World,Mach and Elec,Export,Export(US$ Mil),2.92531041
Seychelles,2017,World,Transportation,Export,Export(US$ Mil),100.01664142
Seychelles,2017,World,Miscellaneous,Export,Export(US$ Mil),8.14490573
Seychelles,2017,World,Raw materials,Export,Export(US$ Mil),42.58512756
Seychelles,2017,World,Intermediate goods,Export,Export(US$ Mil),23.33387887
Seychelles,2017,World,Consumer goods,Export,Export(US$ Mil),452.76508079
Seychelles,2017,World,Capital goods,Export,Export(US$ Mil),68.71763783
Seychelles,2017,World,Raw materials,Import,Import(US$ Mil),216.72878936
Seychelles,2017,World,Intermediate goods,Import,Import(US$ Mil),113.51430697
Seychelles,2017,World,Consumer goods,Import,Import(US$ Mil),659.26914384
Seychelles,2017,World,Capital goods,Import,Import(US$ Mil),355.64522245
Seychelles,2017,World,All Products,Export,Exports (in US$ Mil),591.58531815
Seychelles,2017,World,All Products,Import,Imports (in US$ Mil),1348.46264534
Seychelles,2017,World,All Products,Tariff,Duty Free Imports (US$ Thousand),1381393.299
Seychelles,2017,...,...,Development,Trade Balance (current US$ Mil),-183.90838285182
Seychelles,2017,...,...,Development,GDP (current US$ Mil),1497.95956897249
Seychelles,2017,...,...,Tariff,No. Of Tariff Agreement,4
Seychelles,2017,...,...,Import,No. Of Import partners,163
Seychelles,2017,...,...,Import,No. Of Import products,3411
Seychelles,2017,...,...,Export,No. Of Export partners,86
Seychelles,2017,...,...,Export,No. Of Export products,352
Seychelles,2016,...,...,Others,Population,94677
Seychelles,2018,...,...,Others,Ease of Doing Business Rank,95
Seychelles,2018,...,...,Others,Trading Across Borders Rank,88
Seychelles,2017,United Arab Emirates,All Products,Export,Partner share(%)-Top 5 Export Partner,35.7116
Seychelles,2017,France,All Products,Export,Partner share(%)-Top 5 Export Partner,18.0916
Seychelles,2017,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,12.983
Seychelles,2017,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,7.8835
Seychelles,2017,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,3.6781
Seychelles,2017,United Arab Emirates,All Products,Import,Partner share(%)-Top 5 Import Partner,25.5543
