Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Togo,2017,Burkina Faso,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,134.231703554296
Togo,2017,Benin,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,107.147739643869
Togo,2017,Ghana,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,56.7784693673712
Togo,2017,Niger,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,47.610994380145
Togo,2017,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,45.8246205029482
Togo,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,317.062174537991
Togo,2017,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,174.520961079914
Togo,2017,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,81.8689478683515
Togo,2017,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,80.197573790992
Togo,2017,Ghana,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,66.7573939881122
Togo,2017,World,Animal,Export,Export(US$ Mil),28.3272908471027
Togo,2017,World,Vegetable,Export,Export(US$ Mil),56.6497180502027
Togo,2017,World,Food Products,Export,Export(US$ Mil),68.8716290257483
Togo,2017,World,Minerals,Export,Export(US$ Mil),166.166058243918
Togo,2017,World,Fuels,Export,Export(US$ Mil),14.1790619638824
Togo,2017,World,Chemicals,Export,Export(US$ Mil),64.4641634961509
Togo,2017,World,Plastic or Rubber,Export,Export(US$ Mil),81.9958459287347
Togo,2017,World,Hides and Skins,Export,Export(US$ Mil),0.442027437085125
Togo,2017,World,Wood,Export,Export(US$ Mil),16.9666899108349
Togo,2017,World,Textiles and Clothing,Export,Export(US$ Mil),100.15586900504
Togo,2017,World,Footwear,Export,Export(US$ Mil),22.535760163988
Togo,2017,World,Stone and Glass,Export,Export(US$ Mil),35.4499741371792
Togo,2017,World,Metals,Export,Export(US$ Mil),21.2953709684006
Togo,2017,World,Mach and Elec,Export,Export(US$ Mil),21.7831723403778
Togo,2017,World,Transportation,Export,Export(US$ Mil),44.2651419432898
Togo,2017,World,Miscellaneous,Export,Export(US$ Mil),5.70724595982015
Togo,2017,World,Raw materials,Export,Export(US$ Mil),175.441813605878
