Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Thailand,2016,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,24381.248158
Thailand,2016,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,23571.962078
Thailand,2016,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,20423.267894
Thailand,2016,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,11390.478814
Thailand,2016,Australia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,10232.070063
Thailand,2016,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,42250.595872
Thailand,2016,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,30861.997608
Thailand,2016,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,12216.909354
Thailand,2016,Malaysia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,10953.118359
Thailand,2016,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,7311.228884
Thailand,2016,World,Animal,Export,Export(US$ Mil),3235.258214
Thailand,2016,World,Vegetable,Export,Export(US$ Mil),9684.211037
Thailand,2016,World,Food Products,Export,Export(US$ Mil),17270.755303
Thailand,2016,World,Minerals,Export,Export(US$ Mil),1005.114829
Thailand,2016,World,Fuels,Export,Export(US$ Mil),6251.276113
Thailand,2016,World,Chemicals,Export,Export(US$ Mil),9475.328438
Thailand,2016,World,Plastic or Rubber,Export,Export(US$ Mil),23655.058041
Thailand,2016,World,Hides and Skins,Export,Export(US$ Mil),1024.194359
Thailand,2016,World,Wood,Export,Export(US$ Mil),4319.68383
Thailand,2016,World,Textiles and Clothing,Export,Export(US$ Mil),6526.949355
Thailand,2016,World,Footwear,Export,Export(US$ Mil),719.205839
Thailand,2016,World,Stone and Glass,Export,Export(US$ Mil),16038.726981
Thailand,2016,World,Metals,Export,Export(US$ Mil),9518.395843
Thailand,2016,World,Mach and Elec,Export,Export(US$ Mil),66720.474545
Thailand,2016,World,Transportation,Export,Export(US$ Mil),29881.20582
Thailand,2016,World,Miscellaneous,Export,Export(US$ Mil),8267.591319
Thailand,2016,World,Raw materials,Export,Export(US$ Mil),12447.773733
Thailand,2016,World,Intermediate goods,Export,Export(US$ Mil),45393.127049
Thailand,2016,World,Consumer goods,Export,Export(US$ Mil),73652.999797
Thailand,2016,World,Capital goods,Export,Export(US$ Mil),82099.529291
Thailand,2016,World,Raw materials,Import,Import(US$ Mil),25865.321468
Thailand,2016,World,Intermediate goods,Import,Import(US$ Mil),53372.2665710001
Thailand,2016,World,Consumer goods,Import,Import(US$ Mil),41331.580865
Thailand,2016,World,Capital goods,Import,Import(US$ Mil),75145.077287
Thailand,2016,World,All Products,Export,Exports (in US$ Mil),213593.429868
Thailand,2016,World,All Products,Import,Imports (in US$ Mil),195714.246168
Thailand,2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),154633004.324
Thailand,2017,...,...,Development,Trade Balance (current US$ Mil),61653.309683616
Thailand,2017,...,...,Development,GDP (current US$ Mil),455302.682985757
Thailand,2015,...,...,Tariff,No. Of Tariff Agreement,14
Thailand,2016,...,...,Import,No. Of Import partners,232
Thailand,2016,...,...,Import,No. Of Import products,4487
Thailand,2016,...,...,Export,No. Of Export partners,226
Thailand,2016,...,...,Export,No. Of Export products,4319
