Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Trinidad and Tobago,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4487.844814
Trinidad and Tobago,2015,Argentina,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,726.197371
Trinidad and Tobago,2015,Colombia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,437.43272
Trinidad and Tobago,2015,Peru,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,419.054588
Trinidad and Tobago,2015,Chile,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,385.505726
Trinidad and Tobago,2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2970.789054
Trinidad and Tobago,2015,Gabon,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1161.696538
Trinidad and Tobago,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,659.698975
Trinidad and Tobago,2015,Colombia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,512.181901
Trinidad and Tobago,2015,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,453.276392
Trinidad and Tobago,2015,World,Animal,Export,Export(US$ Mil),19.617591
Trinidad and Tobago,2015,World,Vegetable,Export,Export(US$ Mil),29.487069
Trinidad and Tobago,2015,World,Food Products,Export,Export(US$ Mil),361.035109
Trinidad and Tobago,2015,World,Minerals,Export,Export(US$ Mil),310.083627
Trinidad and Tobago,2015,World,Fuels,Export,Export(US$ Mil),4728.98317
Trinidad and Tobago,2015,World,Chemicals,Export,Export(US$ Mil),3419.787444
Trinidad and Tobago,2015,World,Plastic or Rubber,Export,Export(US$ Mil),48.617116
Trinidad and Tobago,2015,World,Hides and Skins,Export,Export(US$ Mil),0.261561
Trinidad and Tobago,2015,World,Wood,Export,Export(US$ Mil),74.733289
Trinidad and Tobago,2015,World,Textiles and Clothing,Export,Export(US$ Mil),10.265523
Trinidad and Tobago,2015,World,Footwear,Export,Export(US$ Mil),0.331011
Trinidad and Tobago,2015,World,Stone and Glass,Export,Export(US$ Mil),18.933683
Trinidad and Tobago,2015,World,Metals,Export,Export(US$ Mil),639.392769
Trinidad and Tobago,2015,World,Mach and Elec,Export,Export(US$ Mil),146.672993
Trinidad and Tobago,2015,World,Transportation,Export,Export(US$ Mil),893.518899
Trinidad and Tobago,2015,World,Miscellaneous,Export,Export(US$ Mil),53.850186
Trinidad and Tobago,2015,World,Raw materials,Export,Export(US$ Mil),702.060119
Trinidad and Tobago,2015,World,Intermediate goods,Export,Export(US$ Mil),4061.302688
Trinidad and Tobago,2015,World,Consumer goods,Export,Export(US$ Mil),4944.14855400001
Trinidad and Tobago,2015,World,Capital goods,Export,Export(US$ Mil),1041.989192
Trinidad and Tobago,2015,World,Raw materials,Import,Import(US$ Mil),3243.928296
Trinidad and Tobago,2015,World,Intermediate goods,Import,Import(US$ Mil),1156.060484
Trinidad and Tobago,2015,World,Consumer goods,Import,Import(US$ Mil),2381.032717
Trinidad and Tobago,2015,World,Capital goods,Import,Import(US$ Mil),2508.107956
Trinidad and Tobago,2015,World,All Products,Export,Exports (in US$ Mil),10755.571039
Trinidad and Tobago,2015,World,All Products,Import,Imports (in US$ Mil),9297.80859
Trinidad and Tobago,2013,World,All Products,Tariff,Duty Free Imports (US$ Thousand),301175.927
Trinidad and Tobago,2017,...,...,Development,GDP (current US$ Mil),22079.0176266686
Trinidad and Tobago,2013,...,...,Tariff,No. Of Tariff Agreement,2
Trinidad and Tobago,2015,...,...,Import,No. Of Import partners,176
Trinidad and Tobago,2015,...,...,Import,No. Of Import products,3777
Trinidad and Tobago,2015,...,...,Export,No. Of Export partners,145
Trinidad and Tobago,2015,...,...,Export,No. Of Export products,2483
Trinidad and Tobago,2016,...,...,Others,Population,1364962
Trinidad and Tobago,2018,...,...,Others,Ease of Doing Business Rank,102
Trinidad and Tobago,2018,...,...,Others,Trading Across Borders Rank,126
Trinidad and Tobago,2016,...,...,Others,LPI Rank,121
Trinidad and Tobago,2016,...,...,Others,LPI Score,2.398418
Trinidad and Tobago,2010,...,...,Others,No Of NTM Affected Products (HS 6 Digit),1
Trinidad and Tobago,2010,...,...,Others,No Of NTM Measures,1
Trinidad and Tobago,,...,...,Others,Services Trade Restrictions Index - Over All,10.9
Trinidad and Tobago,2015,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,41.7258
Trinidad and Tobago,2015,Argentina,All Products,Export,Partner share(%)-Top 5 Export Partner,6.7518
Trinidad and Tobago,2015,Colombia,All Products,Export,Partner share(%)-Top 5 Export Partner,4.067
