Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Tunisia,2017,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4342.33483357354
Tunisia,2017,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2338.80180702866
Tunisia,2017,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1646.12121343559
Tunisia,2017,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,673.614435100324
Tunisia,2017,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,538.486469925897
Tunisia,2017,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3212.03010436316
Tunisia,2017,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3105.19263155006
Tunisia,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1850.71177948092
Tunisia,2017,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1656.82249954234
Tunisia,2017,Turkey,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,936.229540829408
Tunisia,2017,World,Animal,Export,Export(US$ Mil),208.804366874782
Tunisia,2017,World,Vegetable,Export,Export(US$ Mil),911.570416277978
Tunisia,2017,World,Food Products,Export,Export(US$ Mil),412.84747669407
Tunisia,2017,World,Minerals,Export,Export(US$ Mil),117.641327623542
Tunisia,2017,World,Fuels,Export,Export(US$ Mil),846.524149252925
Tunisia,2017,World,Chemicals,Export,Export(US$ Mil),840.393318922261
Tunisia,2017,World,Plastic or Rubber,Export,Export(US$ Mil),491.335900571206
Tunisia,2017,World,Hides and Skins,Export,Export(US$ Mil),127.462752766268
Tunisia,2017,World,Wood,Export,Export(US$ Mil),238.20739395375
Tunisia,2017,World,Textiles and Clothing,Export,Export(US$ Mil),2596.24233076581
Tunisia,2017,World,Footwear,Export,Export(US$ Mil),400.282600540389
Tunisia,2017,World,Stone and Glass,Export,Export(US$ Mil),110.794734983478
Tunisia,2017,World,Metals,Export,Export(US$ Mil),579.98398081493
Tunisia,2017,World,Mach and Elec,Export,Export(US$ Mil),4597.83616432041
Tunisia,2017,World,Transportation,Export,Export(US$ Mil),861.911765816818
Tunisia,2017,World,Miscellaneous,Export,Export(US$ Mil),857.977656314489
Tunisia,2017,World,Raw materials,Export,Export(US$ Mil),1155.90391501127
Tunisia,2017,World,Intermediate goods,Export,Export(US$ Mil),2470.69119300751
Tunisia,2017,World,Consumer goods,Export,Export(US$ Mil),7104.94132667578
Tunisia,2017,World,Capital goods,Export,Export(US$ Mil),3344.60036392124
Tunisia,2017,World,Raw materials,Import,Import(US$ Mil),1791.36654010011
Tunisia,2017,World,Intermediate goods,Import,Import(US$ Mil),6474.80207202565
Tunisia,2017,World,Consumer goods,Import,Import(US$ Mil),6887.0859874547
