Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Turkey,2017,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,15118.909842
Turkey,2017,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,9603.188772
Turkey,2017,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,9184.156725
Turkey,2017,Iraq,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,9054.612317
Turkey,2017,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,8654.62312
Turkey,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,23370.619564
Turkey,2017,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,21301.869301
Turkey,2017,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,19514.093954
Turkey,2017,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,11952.320497
Turkey,2017,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,11304.715132
Turkey,2017,World,Animal,Export,Export(US$ Mil),2114.044114
Turkey,2017,World,Vegetable,Export,Export(US$ Mil),7930.438048
Turkey,2017,World,Food Products,Export,Export(US$ Mil),6874.66804
Turkey,2017,World,Minerals,Export,Export(US$ Mil),3975.404986
Turkey,2017,World,Fuels,Export,Export(US$ Mil),4327.17491
Turkey,2017,World,Chemicals,Export,Export(US$ Mil),5088.699862
Turkey,2017,World,Plastic or Rubber,Export,Export(US$ Mil),7969.464587
Turkey,2017,World,Hides and Skins,Export,Export(US$ Mil),669.020196
Turkey,2017,World,Wood,Export,Export(US$ Mil),3081.510916
Turkey,2017,World,Textiles and Clothing,Export,Export(US$ Mil),26814.966732
Turkey,2017,World,Footwear,Export,Export(US$ Mil),811.658123
Turkey,2017,World,Stone and Glass,Export,Export(US$ Mil),13963.838067
Turkey,2017,World,Metals,Export,Export(US$ Mil),18983.94036
Turkey,2017,World,Mach and Elec,Export,Export(US$ Mil),21910.877541
Turkey,2017,World,Transportation,Export,Export(US$ Mil),26868.826066
Turkey,2017,World,Miscellaneous,Export,Export(US$ Mil),5608.407866
Turkey,2017,World,Raw materials,Export,Export(US$ Mil),11203.079619
Turkey,2017,World,Intermediate goods,Export,Export(US$ Mil),38718.208202
Turkey,2017,World,Consumer goods,Export,Export(US$ Mil),73290.487311
Turkey,2017,World,Capital goods,Export,Export(US$ Mil),31437.042834
Turkey,2017,World,Raw materials,Import,Import(US$ Mil),21799.123652
Turkey,2017,World,Intermediate goods,Import,Import(US$ Mil),78124.1936940001
Turkey,2017,World,Consumer goods,Import,Import(US$ Mil),49253.048454
Turkey,2017,World,Capital goods,Import,Import(US$ Mil),62015.446152
Turkey,2017,World,All Products,Export,Exports (in US$ Mil),156992.940414
Turkey,2017,World,All Products,Import,Imports (in US$ Mil),233799.651234
Turkey,2017,World,All Products,Tariff,Duty Free Imports (US$ Thousand),141082262.709
Turkey,2017,...,...,Development,Trade Balance (current US$ Mil),-38435.10539733
Turkey,2017,...,...,Development,GDP (current US$ Mil),851549.299635427
Turkey,2017,...,...,Tariff,No. Of Tariff Agreement,27
Turkey,2017,...,...,Import,No. Of Import partners,218
Turkey,2017,...,...,Import,No. Of Import products,4336
Turkey,2017,...,...,Export,No. Of Export partners,215
Turkey,2017,...,...,Export,No. Of Export products,4292
Turkey,2016,...,...,Others,Population,79512426
Turkey,2018,...,...,Others,Ease of Doing Business Rank,60
Turkey,2018,...,...,Others,Trading Across Borders Rank,71
Turkey,2016,...,...,Others,LPI Rank,34
Turkey,2016,...,...,Others,LPI Score,3.423693
Turkey,2013,...,...,Others,No Of NTM Affected Products (HS 6 Digit),203
Turkey,2013,...,...,Others,No Of NTM Measures,2
Turkey,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0731937
