Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Tanzania,2017,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,982.92745488
Tanzania,2017,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,699.79051202
Tanzania,2017,Vietnam,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,314.80848528
Tanzania,2017,Kenya,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,291.54087057
Tanzania,2017,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,262.39329549
Tanzania,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1504.301257
Tanzania,2017,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1167.465267
Tanzania,2017,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,596.045597
Tanzania,2017,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,469.105224
Tanzania,2017,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,415.152253
Tanzania,2017,World,Animal,Export,Export(US$ Mil),253.99661717
Tanzania,2017,World,Vegetable,Export,Export(US$ Mil),1150.24328757
Tanzania,2017,World,Food Products,Export,Export(US$ Mil),305.05191401045
Tanzania,2017,World,Minerals,Export,Export(US$ Mil),107.05910796
Tanzania,2017,World,Fuels,Export,Export(US$ Mil),47.45488521
Tanzania,2017,World,Chemicals,Export,Export(US$ Mil),133.90914343
Tanzania,2017,World,Plastic or Rubber,Export,Export(US$ Mil),32.51430615
Tanzania,2017,World,Hides and Skins,Export,Export(US$ Mil),8.19968895
Tanzania,2017,World,Wood,Export,Export(US$ Mil),72.14007254
Tanzania,2017,World,Textiles and Clothing,Export,Export(US$ Mil),270.70203061
Tanzania,2017,World,Footwear,Export,Export(US$ Mil),18.79720509
Tanzania,2017,World,Stone and Glass,Export,Export(US$ Mil),1661.450974251
Tanzania,2017,World,Metals,Export,Export(US$ Mil),52.19246973
Tanzania,2017,World,Mach and Elec,Export,Export(US$ Mil),27.4724992
Tanzania,2017,World,Transportation,Export,Export(US$ Mil),9.6780573
Tanzania,2017,World,Miscellaneous,Export,Export(US$ Mil),27.2468036
Tanzania,2017,World,Raw materials,Export,Export(US$ Mil),1488.34419844
Tanzania,2017,World,Intermediate goods,Export,Export(US$ Mil),2128.8068506
Tanzania,2017,World,Consumer goods,Export,Export(US$ Mil),501.45285083145
Tanzania,2017,World,Capital goods,Export,Export(US$ Mil),41.46096801
Tanzania,2017,World,Raw materials,Import,Import(US$ Mil),286.781823
Tanzania,2017,World,Intermediate goods,Import,Import(US$ Mil),1925.859765
Tanzania,2017,World,Consumer goods,Import,Import(US$ Mil),3388.744099
Tanzania,2017,World,Capital goods,Import,Import(US$ Mil),2066.823976
Tanzania,2017,World,All Products,Export,Exports (in US$ Mil),4178.10906277145
Tanzania,2017,World,All Products,Import,Imports (in US$ Mil),7765.411242
Tanzania,2016,World,All Products,Tariff,Duty Free Imports (US$ Thousand),3709372.409
Tanzania,2017,...,...,Development,Trade Balance (current US$ Mil),-1235.6912611196
Tanzania,2017,...,...,Development,GDP (current US$ Mil),52090.3210030556
Tanzania,2016,...,...,Tariff,No. Of Tariff Agreement,4
Tanzania,2017,...,...,Import,No. Of Import partners,178
Tanzania,2017,...,...,Import,No. Of Import products,3957
Tanzania,2017,...,...,Export,No. Of Export partners,151
Tanzania,2017,...,...,Export,No. Of Export products,2096
Tanzania,2016,...,...,Others,Population,55572201
Tanzania,2018,...,...,Others,Ease of Doing Business Rank,137
Tanzania,2018,...,...,Others,Trading Across Borders Rank,182
Tanzania,2017,...,...,Others,CPIA Trade Ratings,4
Tanzania,2016,...,...,Others,LPI Rank,61
Tanzania,2016,...,...,Others,LPI Score,2.990185
Tanzania,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.532504
Tanzania,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.5410065
Tanzania,,...,...,Others,Services Trade Restrictions Index - Over All,30.7
Tanzania,2017,India,All Products,Export,Partner share(%)-Top 5 Export Partner,23.5257
Tanzania,2017,South Africa,All Products,Export,Partner share(%)-Top 5 Export Partner,16.749
Tanzania,2017,Vietnam,All Products,Export,Partner share(%)-Top 5 Export Partner,7.5347
Tanzania,2017,Kenya,All Products,Export,Partner share(%)-Top 5 Export Partner,6.9778
Tanzania,2017,Switzerland,All Products,Export,Partner share(%)-Top 5 Export Partner,6.2802
Tanzania,2017,China,All Products,Import,Partner share(%)-Top 5 Import Partner,19.3718
Tanzania,2017,India,All Products,Import,Partner share(%)-Top 5 Import Partner,15.0342
Tanzania,2017,United Arab Emirates,All Products,Import,Partner share(%)-Top 5 Import Partner,7.6756
Tanzania,2017,Saudi Arabia,All Products,Import,Partner share(%)-Top 5 Import Partner,6.041
Tanzania,2017,South Africa,All Products,Import,Partner share(%)-Top 5 Import Partner,5.3462
Tanzania,2017,World,Animal,Export,Export Product share(%),6.0792
Tanzania,2017,World,Vegetable,Export,Export Product share(%),27.5302
Tanzania,2017,World,Food Products,Export,Export Product share(%),7.3012
Tanzania,2017,World,Minerals,Export,Export Product share(%),2.5624
Tanzania,2017,World,Fuels,Export,Export Product share(%),1.1358
Tanzania,2017,World,Chemicals,Export,Export Product share(%),3.205
Tanzania,2017,World,Plastic or Rubber,Export,Export Product share(%),0.7782
Tanzania,2017,World,Hides and Skins,Export,Export Product share(%),0.1963
Tanzania,2017,World,Wood,Export,Export Product share(%),1.7266
Tanzania,2017,World,Textiles and Clothing,Export,Export Product share(%),6.4791
Tanzania,2017,World,Footwear,Export,Export Product share(%),0.4499
Tanzania,2017,World,Stone and Glass,Export,Export Product share(%),39.7656
Tanzania,2017,World,Metals,Export,Export Product share(%),1.2492
Tanzania,2017,World,Mach and Elec,Export,Export Product share(%),0.6575
Tanzania,2017,World,Transportation,Export,Export Product share(%),0.2316
Tanzania,2017,World,Miscellaneous,Export,Export Product share(%),0.6521
