Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Uganda,2017,Kenya,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,552.0010204
Uganda,2017,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,444.89778493
Uganda,2017,South Sudan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,299.88262711
Uganda,2017,"Congo, Dem. Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,189.6057475
Uganda,2017,Rwanda,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,181.63591255
Uganda,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,985.95362792
Uganda,2017,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,736.32272308
Uganda,2017,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,659.71629569
Uganda,2017,Kenya,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,457.23268828
Uganda,2017,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,370.09243665
Uganda,2017,World,Animal,Export,Export(US$ Mil),225.34939414
Uganda,2017,World,Vegetable,Export,Export(US$ Mil),1152.02246893
Uganda,2017,World,Food Products,Export,Export(US$ Mil),335.84898408
Uganda,2017,World,Minerals,Export,Export(US$ Mil),49.43109912
Uganda,2017,World,Fuels,Export,Export(US$ Mil),186.86448855
Uganda,2017,World,Chemicals,Export,Export(US$ Mil),80.62348202
Uganda,2017,World,Plastic or Rubber,Export,Export(US$ Mil),30.18035061
Uganda,2017,World,Hides and Skins,Export,Export(US$ Mil),53.64172511
Uganda,2017,World,Wood,Export,Export(US$ Mil),43.48398227
Uganda,2017,World,Textiles and Clothing,Export,Export(US$ Mil),73.45519289
Uganda,2017,World,Footwear,Export,Export(US$ Mil),4.46327279
Uganda,2017,World,Stone and Glass,Export,Export(US$ Mil),421.74074044
Uganda,2017,World,Metals,Export,Export(US$ Mil),99.84720213
Uganda,2017,World,Mach and Elec,Export,Export(US$ Mil),41.1169921
Uganda,2017,World,Transportation,Export,Export(US$ Mil),80.79259081
Uganda,2017,World,Miscellaneous,Export,Export(US$ Mil),22.60371377
Uganda,2017,World,Raw materials,Export,Export(US$ Mil),1125.63123789
Uganda,2017,World,Intermediate goods,Export,Export(US$ Mil),1013.34160149
Uganda,2017,World,Consumer goods,Export,Export(US$ Mil),635.251086199999
Uganda,2017,World,Capital goods,Export,Export(US$ Mil),88.8201569399999
Uganda,2017,World,Raw materials,Import,Import(US$ Mil),317.2747107
Uganda,2017,World,Intermediate goods,Import,Import(US$ Mil),1493.06303419
Uganda,2017,World,Consumer goods,Import,Import(US$ Mil),2573.93529030001
Uganda,2017,World,Capital goods,Import,Import(US$ Mil),1210.897048
Uganda,2017,World,All Products,Export,Exports (in US$ Mil),2901.46567976
Uganda,2017,World,All Products,Import,Imports (in US$ Mil),5595.90363936
Uganda,2016,World,All Products,Tariff,Duty Free Imports (US$ Thousand),3184238.279
Uganda,2017,...,...,Development,Trade Balance (current US$ Mil),-1874.29440223
Uganda,2017,...,...,Development,GDP (current US$ Mil),25995.0318501658
Uganda,2016,...,...,Tariff,No. Of Tariff Agreement,5
Uganda,2017,...,...,Import,No. Of Import partners,160
Uganda,2017,...,...,Import,No. Of Import products,3839
Uganda,2017,...,...,Export,No. Of Export partners,134
Uganda,2017,...,...,Export,No. Of Export products,2172
Uganda,2016,...,...,Others,Population,41487965
Uganda,2018,...,...,Others,Ease of Doing Business Rank,122
Uganda,2018,...,...,Others,Trading Across Borders Rank,127
Uganda,2017,...,...,Others,CPIA Trade Ratings,4.5
Uganda,2016,...,...,Others,LPI Rank,58
Uganda,2016,...,...,Others,LPI Score,3.043284
Uganda,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0826278
Uganda,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1286412
Uganda,,...,...,Others,Services Trade Restrictions Index - Over All,34.5
Uganda,2017,Kenya,All Products,Export,Partner share(%)-Top 5 Export Partner,19.0249
Uganda,2017,United Arab Emirates,All Products,Export,Partner share(%)-Top 5 Export Partner,15.3336
Uganda,2017,South Sudan,All Products,Export,Partner share(%)-Top 5 Export Partner,10.3356
Uganda,2017,"Congo, Dem. Rep.",All Products,Export,Partner share(%)-Top 5 Export Partner,6.5348
Uganda,2017,Rwanda,All Products,Export,Partner share(%)-Top 5 Export Partner,6.2601
Uganda,2017,China,All Products,Import,Partner share(%)-Top 5 Import Partner,17.6192
Uganda,2017,India,All Products,Import,Partner share(%)-Top 5 Import Partner,13.1582
Uganda,2017,United Arab Emirates,All Products,Import,Partner share(%)-Top 5 Import Partner,11.7893
Uganda,2017,Kenya,All Products,Import,Partner share(%)-Top 5 Import Partner,8.1708
Uganda,2017,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,6.6136
Uganda,2017,World,Animal,Export,Export Product share(%),7.7667
Uganda,2017,World,Vegetable,Export,Export Product share(%),39.7048
Uganda,2017,World,Food Products,Export,Export Product share(%),11.5751
Uganda,2017,World,Minerals,Export,Export Product share(%),1.7037
Uganda,2017,World,Fuels,Export,Export Product share(%),6.4403
Uganda,2017,World,Chemicals,Export,Export Product share(%),2.7787
Uganda,2017,World,Plastic or Rubber,Export,Export Product share(%),1.0402
Uganda,2017,World,Hides and Skins,Export,Export Product share(%),1.8488
Uganda,2017,World,Wood,Export,Export Product share(%),1.4987
Uganda,2017,World,Textiles and Clothing,Export,Export Product share(%),2.5317
Uganda,2017,World,Footwear,Export,Export Product share(%),0.1538
Uganda,2017,World,Stone and Glass,Export,Export Product share(%),14.5354
Uganda,2017,World,Metals,Export,Export Product share(%),3.4413
Uganda,2017,World,Mach and Elec,Export,Export Product share(%),1.4171
Uganda,2017,World,Transportation,Export,Export Product share(%),2.7845
Uganda,2017,World,Miscellaneous,Export,Export Product share(%),0.779
Uganda,2017,World,Raw materials,Export,Export Product share(%),38.7953
Uganda,2017,World,Intermediate goods,Export,Export Product share(%),34.9252
Uganda,2017,World,Consumer goods,Export,Export Product share(%),21.8941
Uganda,2017,World,Capital goods,Export,Export Product share(%),3.0612
Uganda,2017,World,Raw materials,Import,Import Product share(%),5.6698
Uganda,2017,World,Intermediate goods,Import,Import Product share(%),26.6814
Uganda,2017,World,Consumer goods,Import,Import Product share(%),45.9968
Uganda,2017,World,Capital goods,Import,Import Product share(%),21.639
