Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Ukraine,2017,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3943.21784333
Ukraine,2017,Poland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2727.59409973
Ukraine,2017,Turkey,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2513.56341467
Ukraine,2017,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2474.75091252
Ukraine,2017,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2206.23203968
Ukraine,2017,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,7196.56209541
Ukraine,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5642.50011951
Ukraine,2017,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5201.33276352
Ukraine,2017,Poland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3345.238846
Ukraine,2017,Belarus,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3204.38745965
Ukraine,2017,World,Animal,Export,Export(US$ Mil),1109.8216623
Ukraine,2017,World,Vegetable,Export,Export(US$ Mil),13852.82312429
Ukraine,2017,World,Food Products,Export,Export(US$ Mil),2828.63257066
Ukraine,2017,World,Minerals,Export,Export(US$ Mil),3158.23556317
Ukraine,2017,World,Fuels,Export,Export(US$ Mil),790.374003809999
Ukraine,2017,World,Chemicals,Export,Export(US$ Mil),1644.81080647
Ukraine,2017,World,Plastic or Rubber,Export,Export(US$ Mil),561.50440627
Ukraine,2017,World,Hides and Skins,Export,Export(US$ Mil),152.22816379
Ukraine,2017,World,Wood,Export,Export(US$ Mil),1801.3918726
Ukraine,2017,World,Textiles and Clothing,Export,Export(US$ Mil),759.67447604
Ukraine,2017,World,Footwear,Export,Export(US$ Mil),180.45333537
Ukraine,2017,World,Stone and Glass,Export,Export(US$ Mil),468.01285357
Ukraine,2017,World,Metals,Export,Export(US$ Mil),10122.98720235
Ukraine,2017,World,Mach and Elec,Export,Export(US$ Mil),4241.55989964
Ukraine,2017,World,Transportation,Export,Export(US$ Mil),598.42923054
Ukraine,2017,World,Miscellaneous,Export,Export(US$ Mil),1157.45188552
Ukraine,2017,World,Raw materials,Export,Export(US$ Mil),13533.95878853
Ukraine,2017,World,Intermediate goods,Export,Export(US$ Mil),18900.65835566
Ukraine,2017,World,Consumer goods,Export,Export(US$ Mil),7476.10963249
Ukraine,2017,World,Capital goods,Export,Export(US$ Mil),3161.39411509
Ukraine,2017,World,Raw materials,Import,Import(US$ Mil),6165.92481309999
Ukraine,2017,World,Intermediate goods,Import,Import(US$ Mil),11222.4339429
Ukraine,2017,World,Consumer goods,Import,Import(US$ Mil),20356.63682839
Ukraine,2017,World,Capital goods,Import,Import(US$ Mil),11351.19357315
Ukraine,2017,World,All Products,Export,Exports (in US$ Mil),43428.39105639
Ukraine,2017,World,All Products,Import,Imports (in US$ Mil),49439.15576636
Ukraine,2017,World,All Products,Tariff,Duty Free Imports (US$ Thousand),29063240.9957101
Ukraine,2017,...,...,Development,Trade Balance (current US$ Mil),-8592.82765466261
Ukraine,2017,...,...,Development,GDP (current US$ Mil),112154.185121406
Ukraine,2017,...,...,Tariff,No. Of Tariff Agreement,10
Ukraine,2017,...,...,Import,No. Of Import partners,199
Ukraine,2017,...,...,Import,No. Of Import products,4310
Ukraine,2017,...,...,Export,No. Of Export partners,196
Ukraine,2017,...,...,Export,No. Of Export products,3712
Ukraine,2016,...,...,Others,Population,45004645
Ukraine,2018,...,...,Others,Ease of Doing Business Rank,76
Ukraine,2018,...,...,Others,Trading Across Borders Rank,119
Ukraine,2016,...,...,Others,LPI Rank,80
Ukraine,2016,...,...,Others,LPI Score,2.736683
Ukraine,2013,...,...,Others,No Of NTM Affected Products (HS 6 Digit),23
Ukraine,2013,...,...,Others,No Of NTM Measures,3
Ukraine,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1947729
Ukraine,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.2042678
Ukraine,,...,...,Others,Services Trade Restrictions Index - Over All,27.2
Ukraine,2017,Russian Federation,All Products,Export,Partner share(%)-Top 5 Export Partner,9.0798
Ukraine,2017,Poland,All Products,Export,Partner share(%)-Top 5 Export Partner,6.2807
Ukraine,2017,Turkey,All Products,Export,Partner share(%)-Top 5 Export Partner,5.7878
Ukraine,2017,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,5.6985
Ukraine,2017,India,All Products,Export,Partner share(%)-Top 5 Export Partner,5.0802
Ukraine,2017,Russian Federation,All Products,Import,Partner share(%)-Top 5 Import Partner,14.5564
Ukraine,2017,China,All Products,Import,Partner share(%)-Top 5 Import Partner,11.413
Ukraine,2017,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,10.5207
Ukraine,2017,Poland,All Products,Import,Partner share(%)-Top 5 Import Partner,6.7664
Ukraine,2017,Belarus,All Products,Import,Partner share(%)-Top 5 Import Partner,6.4815
Ukraine,2017,World,Animal,Export,Export Product share(%),2.5555
Ukraine,2017,World,Vegetable,Export,Export Product share(%),31.8981
Ukraine,2017,World,Food Products,Export,Export Product share(%),6.5133
Ukraine,2017,World,Minerals,Export,Export Product share(%),7.2723
Ukraine,2017,World,Fuels,Export,Export Product share(%),1.8199
Ukraine,2017,World,Chemicals,Export,Export Product share(%),3.7874
Ukraine,2017,World,Plastic or Rubber,Export,Export Product share(%),1.2929
Ukraine,2017,World,Hides and Skins,Export,Export Product share(%),0.3505
Ukraine,2017,World,Wood,Export,Export Product share(%),4.148
Ukraine,2017,World,Textiles and Clothing,Export,Export Product share(%),1.7493
Ukraine,2017,World,Footwear,Export,Export Product share(%),0.4155
Ukraine,2017,World,Stone and Glass,Export,Export Product share(%),1.0777
Ukraine,2017,World,Metals,Export,Export Product share(%),23.3096
Ukraine,2017,World,Mach and Elec,Export,Export Product share(%),9.7668
Ukraine,2017,World,Transportation,Export,Export Product share(%),1.378
Ukraine,2017,World,Miscellaneous,Export,Export Product share(%),2.6652
Ukraine,2017,World,Raw materials,Export,Export Product share(%),31.1639
Ukraine,2017,World,Intermediate goods,Export,Export Product share(%),43.5214
Ukraine,2017,World,Consumer goods,Export,Export Product share(%),17.2148
Ukraine,2017,World,Capital goods,Export,Export Product share(%),7.2796
Ukraine,2017,World,Raw materials,Import,Import Product share(%),12.4717
Ukraine,2017,World,Intermediate goods,Import,Import Product share(%),22.6995
Ukraine,2017,World,Consumer goods,Import,Import Product share(%),41.1751
Ukraine,2017,World,Capital goods,Import,Import Product share(%),22.9599
Ukraine,2017,World,Raw materials,Tariff,Weighted Average (%),0.908834178603814
Ukraine,2017,World,Intermediate goods,Tariff,Weighted Average (%),1.60162746277845
Ukraine,2017,World,Consumer goods,Tariff,Weighted Average (%),2.66944767701129
Ukraine,2017,World,Capital goods,Tariff,Weighted Average (%),1.26928751876503
Ukraine,2017,World,All Products,Trade Indicator,World Growth (%),1.50064825967466
Ukraine,2017,World,All Products,Trade Indicator,Country Growth (%),9.18217842394189
Ukraine,2017,World,All Products,Tariff,Simple Average (%),2.58689269229341
Ukraine,2017,World,All Products,Tariff,Weighted Average (%),1.8977023100781
Ukraine,2017,World,All Products,Tariff,Maximum Rate (%),50
Ukraine,2017,World,All Products,Tariff,Duty Free Tariff Lines Share (%),61.1837417597787
Ukraine,2017,...,...,Trade Indicator,Index of export market penetration,7.4461441511512
Ukraine,2017,...,...,Trade Indicator,HH Market concentration index,0.035443043774603
Ukraine,2017,...,...,Development,Trade Balance (% of GDP),-7.6616201574297
Ukraine,2017,...,...,Development,Trade in services (% of GDP),24.3548646628136
Ukraine,2017,...,...,Development,Trade (% of GDP),103.556246899012
Ukraine,2017,...,...,Development,"GNI per capita, Atlas method (current US$)",2390
