Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
St. Vincent and the Grenadines,2017,Barbados,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,7.8274642762316
St. Vincent and the Grenadines,2017,St. Lucia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6.8677612692689
St. Vincent and the Grenadines,2017,Dominica,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5.7999658407691
St. Vincent and the Grenadines,2017,Antigua and Barbuda,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5.3847524226496
St. Vincent and the Grenadines,2017,Trinidad and Tobago,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4.8658541156225
St. Vincent and the Grenadines,2017,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,124.954310148009
St. Vincent and the Grenadines,2017,Trinidad and Tobago,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,51.9079594938405
St. Vincent and the Grenadines,2017,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,24.3487242981403
St. Vincent and the Grenadines,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,19.1796171203637
St. Vincent and the Grenadines,2017,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,14.6268121661362
St. Vincent and the Grenadines,2017,World,Animal,Export,Export(US$ Mil),1.2774394336704
St. Vincent and the Grenadines,2017,World,Vegetable,Export,Export(US$ Mil),18.9057851534552
St. Vincent and the Grenadines,2017,World,Food Products,Export,Export(US$ Mil),9.5954535489813
St. Vincent and the Grenadines,2017,World,Minerals,Export,Export(US$ Mil),0.0250916230565
St. Vincent and the Grenadines,2017,World,Fuels,Export,Export(US$ Mil),0.0048192062919
St. Vincent and the Grenadines,2017,World,Chemicals,Export,Export(US$ Mil),0.0651778829702
St. Vincent and the Grenadines,2017,World,Plastic or Rubber,Export,Export(US$ Mil),0.5785711917986
St. Vincent and the Grenadines,2017,World,Hides and Skins,Export,Export(US$ Mil),6.88295608E-05
St. Vincent and the Grenadines,2017,World,Wood,Export,Export(US$ Mil),0.7114558366916
St. Vincent and the Grenadines,2017,World,Textiles and Clothing,Export,Export(US$ Mil),0.1449796846498
St. Vincent and the Grenadines,2017,World,Footwear,Export,Export(US$ Mil),0.0014340874548
St. Vincent and the Grenadines,2017,World,Stone and Glass,Export,Export(US$ Mil),0.0710406178482
St. Vincent and the Grenadines,2017,World,Metals,Export,Export(US$ Mil),5.895702030218
St. Vincent and the Grenadines,2017,World,Mach and Elec,Export,Export(US$ Mil),3.1893037440264
St. Vincent and the Grenadines,2017,World,Transportation,Export,Export(US$ Mil),1.5220707223722
St. Vincent and the Grenadines,2017,World,Miscellaneous,Export,Export(US$ Mil),0.3110152630585
St. Vincent and the Grenadines,2017,World,Raw materials,Export,Export(US$ Mil),8.4755106652216
St. Vincent and the Grenadines,2017,World,Intermediate goods,Export,Export(US$ Mil),16.9304261991865
St. Vincent and the Grenadines,2017,World,Consumer goods,Export,Export(US$ Mil),12.5641369654801
St. Vincent and the Grenadines,2017,World,Capital goods,Export,Export(US$ Mil),4.3293350262162
St. Vincent and the Grenadines,2017,World,Raw materials,Import,Import(US$ Mil),38.2639328063993
St. Vincent and the Grenadines,2017,World,Intermediate goods,Import,Import(US$ Mil),49.3719504413335
St. Vincent and the Grenadines,2017,World,Consumer goods,Import,Import(US$ Mil),181.421757691987
St. Vincent and the Grenadines,2017,World,Capital goods,Import,Import(US$ Mil),60.8947597783645
St. Vincent and the Grenadines,2017,World,All Products,Export,Exports (in US$ Mil),42.2994088561044
St. Vincent and the Grenadines,2017,World,All Products,Import,Imports (in US$ Mil),329.952436732863
St. Vincent and the Grenadines,2017,World,All Products,Tariff,Duty Free Imports (US$ Thousand),103542.656531314
St. Vincent and the Grenadines,2017,...,...,Development,Trade Balance (current US$ Mil),-157.070148010828
St. Vincent and the Grenadines,2017,...,...,Development,GDP (current US$ Mil),785.222509144563
St. Vincent and the Grenadines,2017,...,...,Tariff,No. Of Tariff Agreement,5
St. Vincent and the Grenadines,2017,...,...,Import,No. Of Import partners,135
St. Vincent and the Grenadines,2017,...,...,Import,No. Of Import products,2862
St. Vincent and the Grenadines,2017,...,...,Export,No. Of Export partners,43
St. Vincent and the Grenadines,2017,...,...,Export,No. Of Export products,649
St. Vincent and the Grenadines,2016,...,...,Others,Population,109643
St. Vincent and the Grenadines,2018,...,...,Others,Ease of Doing Business Rank,129
St. Vincent and the Grenadines,2018,...,...,Others,Trading Across Borders Rank,93
St. Vincent and the Grenadines,2017,...,...,Others,CPIA Trade Ratings,4
St. Vincent and the Grenadines,2017,Barbados,All Products,Export,Partner share(%)-Top 5 Export Partner,18.5049
St. Vincent and the Grenadines,2017,St. Lucia,All Products,Export,Partner share(%)-Top 5 Export Partner,16.2361
St. Vincent and the Grenadines,2017,Dominica,All Products,Export,Partner share(%)-Top 5 Export Partner,13.7117
St. Vincent and the Grenadines,2017,Antigua and Barbuda,All Products,Export,Partner share(%)-Top 5 Export Partner,12.7301
St. Vincent and the Grenadines,2017,Trinidad and Tobago,All Products,Export,Partner share(%)-Top 5 Export Partner,11.5034
