Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Vietnam,2016,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,38473.17675116
Vietnam,2016,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,21950.44454367
Vietnam,2016,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,14671.48876819
Vietnam,2016,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,11406.05803379
Vietnam,2016,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6088.07656576
Vietnam,2016,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,50037.69097179
Vietnam,2016,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,32193.12147704
Vietnam,2016,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,15098.32264727
Vietnam,2016,"Other Asia, nes",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,11241.77914797
Vietnam,2016,Thailand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,8855.14020301
Vietnam,2016,World,Animal,Export,Export(US$ Mil),5609.77369697
Vietnam,2016,World,Vegetable,Export,Export(US$ Mil),13342.85526751
Vietnam,2016,World,Food Products,Export,Export(US$ Mil),4714.90242994
Vietnam,2016,World,Minerals,Export,Export(US$ Mil),918.17615531
Vietnam,2016,World,Fuels,Export,Export(US$ Mil),3579.05966908
Vietnam,2016,World,Chemicals,Export,Export(US$ Mil),2669.79827915
Vietnam,2016,World,Plastic or Rubber,Export,Export(US$ Mil),5648.94665044
Vietnam,2016,World,Hides and Skins,Export,Export(US$ Mil),3536.56344258
Vietnam,2016,World,Wood,Export,Export(US$ Mil),3149.90523921
Vietnam,2016,World,Textiles and Clothing,Export,Export(US$ Mil),28705.704796
Vietnam,2016,World,Footwear,Export,Export(US$ Mil),13877.36802935
Vietnam,2016,World,Stone and Glass,Export,Export(US$ Mil),2653.29367061
Vietnam,2016,World,Metals,Export,Export(US$ Mil),6274.8450738
Vietnam,2016,World,Mach and Elec,Export,Export(US$ Mil),66845.4545902
Vietnam,2016,World,Transportation,Export,Export(US$ Mil),3137.1738878
Vietnam,2016,World,Miscellaneous,Export,Export(US$ Mil),11916.96575677
Vietnam,2016,World,Raw materials,Export,Export(US$ Mil),18715.91646187
Vietnam,2016,World,Intermediate goods,Export,Export(US$ Mil),21777.50684037
Vietnam,2016,World,Consumer goods,Export,Export(US$ Mil),70751.2494245
Vietnam,2016,World,Capital goods,Export,Export(US$ Mil),65090.03887623
Vietnam,2016,World,Raw materials,Import,Import(US$ Mil),14536.28500361
Vietnam,2016,World,Intermediate goods,Import,Import(US$ Mil),57961.29652993
Vietnam,2016,World,Consumer goods,Import,Import(US$ Mil),28432.26909468
Vietnam,2016,World,Capital goods,Import,Import(US$ Mil),73842.5696793801
Vietnam,2016,World,All Products,Export,Exports (in US$ Mil),176580.78663472
Vietnam,2016,World,All Products,Import,Imports (in US$ Mil),174978.35026405
Vietnam,2016,World,All Products,Tariff,Duty Free Imports (US$ Thousand),101509507.313
Vietnam,2017,...,...,Development,Trade Balance (current US$ Mil),6270.96362572501
Vietnam,2017,...,...,Development,GDP (current US$ Mil),223779.865815183
Vietnam,2016,...,...,Tariff,No. Of Tariff Agreement,10
Vietnam,2016,...,...,Import,No. Of Import partners,143
Vietnam,2016,...,...,Import,No. Of Import products,4399
Vietnam,2016,...,...,Export,No. Of Export partners,143
