Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Samoa,2017,American Samoa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,11.82143342138
Samoa,2017,Australia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,9.51665721502
Samoa,2017,New Zealand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,8.735118796948
Samoa,2017,Tokelau,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3.624132274072
Samoa,2017,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2.513397429888
Samoa,2017,New Zealand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,94.074842628866
Samoa,2017,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,58.975099968213
Samoa,2017,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,39.693663305153
Samoa,2017,Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,37.395168315725
Samoa,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,32.261765509336
Samoa,2017,World,Animal,Export,Export(US$ Mil),13.565479500396
Samoa,2017,World,Vegetable,Export,Export(US$ Mil),6.112114524956
Samoa,2017,World,Food Products,Export,Export(US$ Mil),5.310914964608
Samoa,2017,World,Minerals,Export,Export(US$ Mil),0.12124549128
Samoa,2017,World,Fuels,Export,Export(US$ Mil),12.906154416668
Samoa,2017,World,Chemicals,Export,Export(US$ Mil),0.253761645616
Samoa,2017,World,Plastic or Rubber,Export,Export(US$ Mil),0.472027666644
Samoa,2017,World,Hides and Skins,Export,Export(US$ Mil),0.003081586992
Samoa,2017,World,Wood,Export,Export(US$ Mil),0.168985952932
Samoa,2017,World,Textiles and Clothing,Export,Export(US$ Mil),0.14753275782
Samoa,2017,World,Footwear,Export,Export(US$ Mil),0.137488715164
Samoa,2017,World,Stone and Glass,Export,Export(US$ Mil),0.318141015152
Samoa,2017,World,Metals,Export,Export(US$ Mil),0.585883759224
Samoa,2017,World,Mach and Elec,Export,Export(US$ Mil),3.698755506684
Samoa,2017,World,Transportation,Export,Export(US$ Mil),0.05574791876
Samoa,2017,World,Miscellaneous,Export,Export(US$ Mil),0.54449877398
Samoa,2017,World,Raw materials,Export,Export(US$ Mil),19.415141972044
Samoa,2017,World,Intermediate goods,Export,Export(US$ Mil),2.128083911844
Samoa,2017,World,Consumer goods,Export,Export(US$ Mil),22.13943383004
Samoa,2017,World,Capital goods,Export,Export(US$ Mil),0.254446178936
Samoa,2017,World,Raw materials,Import,Import(US$ Mil),41.331382474899
Samoa,2017,World,Intermediate goods,Import,Import(US$ Mil),65.155764479883
Samoa,2017,World,Consumer goods,Import,Import(US$ Mil),193.28089043021
Samoa,2017,World,Capital goods,Import,Import(US$ Mil),56.339663700111
Samoa,2017,World,All Products,Export,Exports (in US$ Mil),44.401814196876
