Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
South Africa,2017,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,8666.17520365048
South Africa,2017,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6619.57162666331
South Africa,2017,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5809.86305544807
South Africa,2017,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5465.3889902651
South Africa,2017,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4162.37199738299
South Africa,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,15223.9325573471
South Africa,2017,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,9555.38148972317
South Africa,2017,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5486.49529163897
South Africa,2017,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3914.81286517389
South Africa,2017,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3842.324394297
South Africa,2017,World,Animal,Export,Export(US$ Mil),1090.6196125871
South Africa,2017,World,Vegetable,Export,Export(US$ Mil),5170.16188014594
South Africa,2017,World,Food Products,Export,Export(US$ Mil),3695.15163897663
South Africa,2017,World,Minerals,Export,Export(US$ Mil),11758.8185143464
South Africa,2017,World,Fuels,Export,Export(US$ Mil),10557.4762765069
South Africa,2017,World,Chemicals,Export,Export(US$ Mil),5368.84701456547
South Africa,2017,World,Plastic or Rubber,Export,Export(US$ Mil),1785.38732068881
South Africa,2017,World,Hides and Skins,Export,Export(US$ Mil),349.621562571401
South Africa,2017,World,Wood,Export,Export(US$ Mil),2279.00076163655
South Africa,2017,World,Textiles and Clothing,Export,Export(US$ Mil),1308.23622682148
South Africa,2017,World,Footwear,Export,Export(US$ Mil),229.033320421492
South Africa,2017,World,Stone and Glass,Export,Export(US$ Mil),14523.7267760558
South Africa,2017,World,Metals,Export,Export(US$ Mil),10545.3332609857
South Africa,2017,World,Mach and Elec,Export,Export(US$ Mil),7142.73970826869
South Africa,2017,World,Transportation,Export,Export(US$ Mil),10586.0723476164
South Africa,2017,World,Miscellaneous,Export,Export(US$ Mil),1877.73350494966
