Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Zambia,2017,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3633.00896023
Zambia,2017,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1329.64138777
Zambia,2017,"Congo, Dem. Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,544.11918728
Zambia,2017,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,495.19144643
Zambia,2017,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,453.90562489
Zambia,2017,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2457.05381102
Zambia,2017,"Congo, Dem. Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1804.49789174
Zambia,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1120.72627859
Zambia,2017,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,468.02371166
Zambia,2017,Kuwait,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,466.70042543
Zambia,2017,World,Animal,Export,Export(US$ Mil),18.10680052
Zambia,2017,World,Vegetable,Export,Export(US$ Mil),225.21876858
Zambia,2017,World,Food Products,Export,Export(US$ Mil),357.8004466
Zambia,2017,World,Minerals,Export,Export(US$ Mil),195.41410764
Zambia,2017,World,Fuels,Export,Export(US$ Mil),77.36960553
Zambia,2017,World,Chemicals,Export,Export(US$ Mil),367.88719219
Zambia,2017,World,Plastic or Rubber,Export,Export(US$ Mil),24.49152416
Zambia,2017,World,Hides and Skins,Export,Export(US$ Mil),9.16620492
Zambia,2017,World,Wood,Export,Export(US$ Mil),129.51975902
Zambia,2017,World,Textiles and Clothing,Export,Export(US$ Mil),41.97764388
Zambia,2017,World,Footwear,Export,Export(US$ Mil),1.22268266
Zambia,2017,World,Stone and Glass,Export,Export(US$ Mil),143.83666698
Zambia,2017,World,Metals,Export,Export(US$ Mil),6397.095093
Zambia,2017,World,Mach and Elec,Export,Export(US$ Mil),138.02537032
Zambia,2017,World,Transportation,Export,Export(US$ Mil),22.37212534
Zambia,2017,World,Miscellaneous,Export,Export(US$ Mil),8.0546993
Zambia,2017,World,Raw materials,Export,Export(US$ Mil),439.96489483
Zambia,2017,World,Intermediate goods,Export,Export(US$ Mil),7009.66947071
Zambia,2017,World,Consumer goods,Export,Export(US$ Mil),561.84790861
Zambia,2017,World,Capital goods,Export,Export(US$ Mil),139.40150473
Zambia,2017,World,Raw materials,Import,Import(US$ Mil),1801.95852135
Zambia,2017,World,Intermediate goods,Import,Import(US$ Mil),2750.58637525
Zambia,2017,World,Consumer goods,Import,Import(US$ Mil),2173.15535092
Zambia,2017,World,Capital goods,Import,Import(US$ Mil),2021.18294776
Zambia,2017,World,All Products,Export,Exports (in US$ Mil),8157.55869064
Zambia,2017,World,All Products,Import,Imports (in US$ Mil),8773.91664779
Zambia,2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),6312290.494
Zambia,2017,...,...,Development,Trade Balance (current US$ Mil),-296.234045905779
Zambia,2017,...,...,Development,GDP (current US$ Mil),25868.142073452
Zambia,2015,...,...,Tariff,No. Of Tariff Agreement,3
Zambia,2017,...,...,Import,No. Of Import partners,179
Zambia,2017,...,...,Import,No. Of Import products,3901
Zambia,2017,...,...,Export,No. Of Export partners,109
Zambia,2017,...,...,Export,No. Of Export products,1729
Zambia,2016,...,...,Others,Population,16591390
Zambia,2018,...,...,Others,Ease of Doing Business Rank,85
Zambia,2018,...,...,Others,Trading Across Borders Rank,150
Zambia,2017,...,...,Others,CPIA Trade Ratings,4
Zambia,2016,...,...,Others,LPI Rank,114
Zambia,2016,...,...,Others,LPI Score,2.429813
Zambia,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0455071
Zambia,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1184496
Zambia,,...,...,Others,Services Trade Restrictions Index - Over All,21
Zambia,2017,Switzerland,All Products,Export,Partner share(%)-Top 5 Export Partner,44.5355
Zambia,2017,China,All Products,Export,Partner share(%)-Top 5 Export Partner,16.2995
Zambia,2017,"Congo, Dem. Rep.",All Products,Export,Partner share(%)-Top 5 Export Partner,6.6701
Zambia,2017,Singapore,All Products,Export,Partner share(%)-Top 5 Export Partner,6.0703
Zambia,2017,South Africa,All Products,Export,Partner share(%)-Top 5 Export Partner,5.5642
Zambia,2017,South Africa,All Products,Import,Partner share(%)-Top 5 Import Partner,28.0041
Zambia,2017,"Congo, Dem. Rep.",All Products,Import,Partner share(%)-Top 5 Import Partner,20.5666
Zambia,2017,China,All Products,Import,Partner share(%)-Top 5 Import Partner,12.7734
Zambia,2017,United Arab Emirates,All Products,Import,Partner share(%)-Top 5 Import Partner,5.3343
Zambia,2017,Kuwait,All Products,Import,Partner share(%)-Top 5 Import Partner,5.3192
Zambia,2017,World,Animal,Export,Export Product share(%),0.222
Zambia,2017,World,Vegetable,Export,Export Product share(%),2.7609
Zambia,2017,World,Food Products,Export,Export Product share(%),4.3861
Zambia,2017,World,Minerals,Export,Export Product share(%),2.3955
Zambia,2017,World,Fuels,Export,Export Product share(%),0.9484
Zambia,2017,World,Chemicals,Export,Export Product share(%),4.5098
Zambia,2017,World,Plastic or Rubber,Export,Export Product share(%),0.3002
Zambia,2017,World,Hides and Skins,Export,Export Product share(%),0.1124
Zambia,2017,World,Wood,Export,Export Product share(%),1.5877
Zambia,2017,World,Textiles and Clothing,Export,Export Product share(%),0.5146
Zambia,2017,World,Footwear,Export,Export Product share(%),0.015
Zambia,2017,World,Stone and Glass,Export,Export Product share(%),1.7632
Zambia,2017,World,Metals,Export,Export Product share(%),78.4192
Zambia,2017,World,Mach and Elec,Export,Export Product share(%),1.692
Zambia,2017,World,Transportation,Export,Export Product share(%),0.2743
Zambia,2017,World,Miscellaneous,Export,Export Product share(%),0.0987
Zambia,2017,World,Raw materials,Export,Export Product share(%),5.3933
Zambia,2017,World,Intermediate goods,Export,Export Product share(%),85.9285
Zambia,2017,World,Consumer goods,Export,Export Product share(%),6.8875
Zambia,2017,World,Capital goods,Export,Export Product share(%),1.7089
Zambia,2017,World,Raw materials,Import,Import Product share(%),20.5377
Zambia,2017,World,Intermediate goods,Import,Import Product share(%),31.3496
Zambia,2017,World,Consumer goods,Import,Import Product share(%),24.7684
Zambia,2017,World,Capital goods,Import,Import Product share(%),23.0363
Zambia,2015,World,Raw materials,Tariff,Weighted Average (%),0.373709198602519
Zambia,2015,World,Intermediate goods,Tariff,Weighted Average (%),2.21152885924959
Zambia,2015,World,Consumer goods,Tariff,Weighted Average (%),8.49198743916728
Zambia,2015,World,Capital goods,Tariff,Weighted Average (%),2.77867701465324
Zambia,2017,World,All Products,Trade Indicator,World Growth (%),1.50064825967466
Zambia,2017,World,All Products,Trade Indicator,Country Growth (%),2.54214882736845
Zambia,2015,World,All Products,Tariff,Simple Average (%),10.6358400088714
Zambia,2015,World,All Products,Tariff,Weighted Average (%),3.95333534270642
Zambia,2015,World,All Products,Tariff,Maximum Rate (%),30
Zambia,2015,World,All Products,Tariff,Duty Free Tariff Lines Share (%),43.3062993000778
Zambia,2017,...,...,Trade Indicator,Index of export market penetration,1.61301167231456
Zambia,2017,...,...,Trade Indicator,HH Market concentration index,0.292651901650756
Zambia,2017,...,...,Development,Trade Balance (% of GDP),-1.14516939432529
Zambia,2017,...,...,Development,Trade in services (% of GDP),9.23774994885889
Zambia,2017,...,...,Development,Trade (% of GDP),71.4658797977809
Zambia,2017,...,...,Development,"GNI per capita, Atlas method (current US$)",1290
