Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Zimbabwe,2016,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2250.259981
Zimbabwe,2016,Mozambique,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,267.696913
Zimbabwe,2016,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,116.682893
Zimbabwe,2016,Zambia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,72.206536
Zimbabwe,2016,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,45.69811
Zimbabwe,2016,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2152.125
Zimbabwe,2016,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1117.928
Zimbabwe,2016,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,365.496489
Zimbabwe,2016,Zambia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,182.254601
Zimbabwe,2016,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,165.983102
Zimbabwe,2016,World,Animal,Export,Export(US$ Mil),10.470997
Zimbabwe,2016,World,Vegetable,Export,Export(US$ Mil),61.067249
Zimbabwe,2016,World,Food Products,Export,Export(US$ Mil),1000.852969
Zimbabwe,2016,World,Minerals,Export,Export(US$ Mil),375.875973
Zimbabwe,2016,World,Fuels,Export,Export(US$ Mil),7.382267
Zimbabwe,2016,World,Chemicals,Export,Export(US$ Mil),10.801172
Zimbabwe,2016,World,Plastic or Rubber,Export,Export(US$ Mil),5.053902
Zimbabwe,2016,World,Hides and Skins,Export,Export(US$ Mil),29.116347
Zimbabwe,2016,World,Wood,Export,Export(US$ Mil),34.123735
Zimbabwe,2016,World,Textiles and Clothing,Export,Export(US$ Mil),37.990379
Zimbabwe,2016,World,Footwear,Export,Export(US$ Mil),3.195627
Zimbabwe,2016,World,Stone and Glass,Export,Export(US$ Mil),1021.870814
Zimbabwe,2016,World,Metals,Export,Export(US$ Mil),169.971404
Zimbabwe,2016,World,Mach and Elec,Export,Export(US$ Mil),30.077802
Zimbabwe,2016,World,Transportation,Export,Export(US$ Mil),12.278768
Zimbabwe,2016,World,Miscellaneous,Export,Export(US$ Mil),22.180608
Zimbabwe,2016,World,Raw materials,Export,Export(US$ Mil),1476.737066
Zimbabwe,2016,World,Intermediate goods,Export,Export(US$ Mil),1175.295917
Zimbabwe,2016,World,Consumer goods,Export,Export(US$ Mil),126.95763
Zimbabwe,2016,World,Capital goods,Export,Export(US$ Mil),51.317553
Zimbabwe,2016,World,Raw materials,Import,Import(US$ Mil),512.335073
Zimbabwe,2016,World,Intermediate goods,Import,Import(US$ Mil),1198.909609
Zimbabwe,2016,World,Consumer goods,Import,Import(US$ Mil),2472.316439
Zimbabwe,2016,World,Capital goods,Import,Import(US$ Mil),992.547562
Zimbabwe,2016,World,All Products,Export,Exports (in US$ Mil),2832.31001
